Triangle,Trait,ANumber,Sequence
STIRLSETORD2,Triangle ,A358623,[0 0 1 0 0 1 0 0 0 1 3 0 0 0 1 10 0 0 0 0 1 25 15 0 0 0 0 1 56 105 0]
STIRLSETORD2,Reverse  ,A.....?,[0 0 1 0 0 0 1 0 0 0 3 1 0 0 0 0 10 1 0 0 0 0 15 25 1 0 0 0 0 0 105]
STIRLSETORD2,Sum      ,A000296,[1 1 4 11 41 162 715 3425 17722 98253 580317 3633280 24011157]
STIRLSETORD2,EvenSum  ,A097763,[0 0 3 10 25 56 224 1506 9951 57992 315425 1761552 11022180 78474748]
STIRLSETORD2,OddSum   ,A097762,[1 1 1 1 16 106 491 1919 7771 40261 264892 1871728 12988977 88413417]
STIRLSETORD2,AltSum   ,A000587,[-1 -1 2 9 9 -50 -267 -413 2180 17731 50533 -110176 -1966797 -9938669]
STIRLSETORD2,AccSum   ,A.....?,[2 3 13 45 191 868 4306 22963 130939 793661 5089877 34398884]
STIRLSETORD2,AccRevSum,A.....?,[2 3 13 45 191 868 4306 22963 130939 793661 5089877 34398884]
STIRLSETORD2,RevAccSum,A.....?,[2 2 11 32 137 590 2844 14712 81725 483628 3034561 20100316 140033402]
STIRLSETORD2,DiagSum  ,A.....?,[0 1 1 1 4 11 26 72 225 737 2525 9098 34421 136324 563590 2425875]
STIRLSETORD2,RowGcd   ,A.....?,[1 1 3 10 5 7 7 2 3 11 11 13 13 1 1 34 17 19]
STIRLSETORD2,RowMax   ,A.....?,[1 1 3 10 25 105 490 1918 9450 56980 302995 1636635 12122110 81431350]
STIRLSETORD2,Middle   ,A259877,[1 1 3 10 15 105 105 1260 945 17325 10395 270270 135135 4729725]
STIRLSETORD2,Central  ,A001147,[3 15 105 945 10395 135135 2027025 34459425]
STIRLSETORD2,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLSETORD2,RightSide,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLSETORD2,PosHalf  ,A337038,[2 4 20 96 552 3536 25104 194816 1637408 14792768 142761280]
STIRLSETORD2,NegHalf  ,A334190,[-2 4 4 -64 248 -48 -6512 51200 -171296 -830400 17870400 -144684032]
STIRLSETORD2,BinConV  ,A.....?,[2 3 22 105 681 4858 38130 328737 3064195 30647496 327006747]
STIRLSETORD2,IBinConV ,A.....?,[-2 3 14 -95 69 2506 -16766 -6495 949895 -7070624 -7563117 646135854]
STIRLSETORD2,TransNat0,A.....?,[1 1 7 21 96 428 2129 11287 64003 385375 2454244 16467036 116022245]
STIRLSETORD2,TransNat1,A.....?,[2 2 11 32 137 590 2844 14712 81725 483628 3034561 20100316 140033402]
STIRLSETORD2,DiagRow0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLSETORD2,DiagRow1 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLSETORD2,DiagRow2 ,A083927,[3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLSETORD2,DiagRow3 ,A.....?,[10 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLSETORD2,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLSETORD2,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLSETORD2,DiagCol2 ,A000247,[3 10 25 56 119 246 501 1012 2035 4082 8177 16368 32751 65518 131053]
STIRLSETORD2,DiagCol3 ,A.....?,[0 15 105 490 1918 6825 22935 74316 235092 731731 2252341 6879678]
STIRLSETORD2,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLSETORD2,PolyRow1 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLSETORD2,PolyRow2 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
STIRLSETORD2,PolyRow3 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
STIRLSETORD2,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLSETORD2,PolyCol1 ,A000296,[1 1 4 11 41 162 715 3425 17722 98253 580317 3633280 24011157]
STIRLSETORD2,PolyCol2 ,A194689,[2 2 14 42 222 1066 6078 36490 238046 1653610 12214270 95361866]
STIRLSETORD2,PolyCol3 ,A.....?,[3 3 30 93 633 3342 22809 156063 1183872 9453711 80455125 721576560]
STIRLSETORD2,PolyDiag ,A337057,[2 3 52 255 4146 38766 688584 9685017 195875110 3655101703]
stirling_set2, 39 traits, 25 A-numbers, 64%
