Triangle,Trait,ANumber,Sequence
STIRLSETANAB,Triangle ,A154602,[1 3 4 1 11 19 9 1 49 104 70 16 1 257 641 550 190 25 1 1539 4380 4531]
STIRLSETANAB,Reverse  ,A.....?,[1 1 4 3 1 9 19 11 1 16 70 104 49 1 25 190 550 641 257 1 36 425 2080]
STIRLSETANAB,Inverse  ,A.....?,[1 1 -4 1 -1 17 -9 1 1 -96 74 -16 1 -1 729 -690 210 -25 1 1 -7060]
STIRLSETANAB,RevInv   ,A.....?,[-1 1 -4 1 1 -9 17 -1 1 -16 74 -96 1 1 -25 210 -690 729 -1 1 -36 475]
STIRLSETANAB,Sum      ,A055882,[8 40 240 1664 12992 112256 1059840 10827264 118758400 1389711360]
STIRLSETANAB,EvenSum  ,A.....?,[4 20 120 832 6496 56128 529920 5413632 59379200 694855680 8629446656]
STIRLSETANAB,OddSum   ,A.....?,[4 20 120 832 6496 56128 529920 5413632 59379200 694855680 8629446656]
STIRLSETANAB,AltSum   ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLSETANAB,AccSum   ,A.....?,[18 120 904 7568 69376 689216 7361664 83996672 1018293760 13056668672]
STIRLSETANAB,AccRevSum,A.....?,[18 120 904 7568 69376 689216 7361664 83996672 1018293760 13056668672]
STIRLSETANAB,RevAccSum,A.....?,[14 80 536 4080 34560 321088 3236736 35103232 406807040 5009579008]
STIRLSETANAB,DiagSum  ,A.....?,[4 15 69 370 2251 15245 113430 917829 8010197 74889352 745824909]
STIRLSETANAB,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLSETANAB,RowMax   ,A.....?,[4 19 104 641 4531 39515 365324 3575820 36971461 402741581 4991365808]
STIRLSETANAB,Middle   ,A.....?,[4 19 70 550 2080 22491 87206 1192086 4719624 77684398 312957436]
STIRLSETANAB,Central  ,A.....?,[70 2080 87206 4719624 312957436 24567605920 2228251766598]
STIRLSETANAB,LeftSide ,A004211,[3 11 49 257 1539 10299 75905 609441 5284451 49134923 487026929]
STIRLSETANAB,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLSETANAB,PosHalf  ,A.....?,[21 183 1929 23691 329565 5095551 86394513 1589803923 31491693093]
STIRLSETANAB,NegHalf  ,A004213,[5 -29 201 -1657 15821 -170389 2032785 -26546673 376085653]
STIRLSETANAB,BinConV  ,A.....?,[12 96 950 10988 143976 2094032 33318534 573707692 10600961800]
STIRLSETANAB,IBinConV ,A.....?,[-4 20 -10 -776 7784 -25432 -416634 8540368 -72453016 -140179304]
STIRLSETANAB,TransNat0,A.....?,[6 40 296 2416 21568 208832 2176896 24275968 288048640 3619867648]
STIRLSETANAB,TransNat1,A.....?,[14 80 536 4080 34560 321088 3236736 35103232 406807040 5009579008]
STIRLSETANAB,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLSETANAB,DiagRow1 ,A000290,[9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 361 400 441]
STIRLSETANAB,DiagRow2 ,A.....?,[70 190 425 833 1484 2460 3855 5775 8338 11674 15925 21245 27800]
STIRLSETANAB,DiagRow3 ,A.....?,[550 2080 6265 16016 36204 74400 141735 253880 432146 704704 1107925]
STIRLSETANAB,DiagCol0 ,A004211,[3 11 49 257 1539 10299 75905 609441 5284451 49134923 487026929]
STIRLSETANAB,DiagCol1 ,A.....?,[19 104 641 4380 32803 266768 2337505 21925236 218946003 2316939256]
STIRLSETANAB,DiagCol2 ,A.....?,[70 550 4531 39515 365324 3575820 36971461 402741581 4610187154]
STIRLSETANAB,DiagCol3 ,A.....?,[190 2080 22491 247072 2792476 32659840 396255541 4991365808]
STIRLSETANAB,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLSETANAB,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
STIRLSETANAB,PolyRow2 ,A005563,[15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 440 483]
STIRLSETANAB,PolyRow3 ,A.....?,[93 176 295 456 665 928 1251 1640 2101 2640 3263 3976 4785 5696 6715]
STIRLSETANAB,PolyCol0 ,A004211,[3 11 49 257 1539 10299 75905 609441 5284451 49134923 487026929]
STIRLSETANAB,PolyCol1 ,A055882,[8 40 240 1664 12992 112256 1059840 10827264 118758400 1389711360]
STIRLSETANAB,PolyCol2 ,A.....?,[15 93 681 5691 53079 544053 6058545 72652179 931542207 12697268205]
STIRLSETANAB,PolyCol3 ,A308543,[24 176 1504 14528 155520 1819392 23019008 312413184 4518705152]
STIRLSETANAB,PolyDiag ,A.....?,[15 176 2865 59712 1517607 45521408 1574116353 61652866560]
stirling_setB, 41 traits, 16 A-numbers, 39%
