Triangle,Trait,ANumber,Sequence
SYLVESTERPOL,Triangle ,A341101,[2 0 1 4 0 2 6 8 0 6 19 24 16 0 24 80 110 80 32 0 120 418 615 500 240]
SYLVESTERPOL,Reverse  ,A.....?,[0 4 1 0 8 6 2 0 16 24 19 6 0 32 80 110 80 24 0 64 240 500 615 418]
SYLVESTERPOL,Sum      ,A000522,[5 16 65 326 1957 13700 109601 986410 9864101 108505112 1302061345]
SYLVESTERPOL,EvenSum  ,A.....?,[4 6 35 160 982 6846 54805 493200 4932056 54252550 651030679]
SYLVESTERPOL,OddSum   ,A.....?,[1 10 30 166 975 6854 54796 493210 4932045 54252562 651030666]
SYLVESTERPOL,AltSum   ,A000027,[3 -4 5 -6 7 -8 9 -10 11 -12 13 -14 15 -16 17 -18 19 -20]
SYLVESTERPOL,AccSum   ,A.....?,[6 26 145 962 7314 62526 593737 6204370 70795718 876281826]
SYLVESTERPOL,AccRevSum,A.....?,[6 26 145 962 7314 62526 593737 6204370 70795718 876281826]
SYLVESTERPOL,RevAccSum,A.....?,[14 54 245 1320 8342 60774 502273 4646140 47573494 534284630]
SYLVESTERPOL,DiagSum  ,A.....?,[2 1 6 12 51 224 1264 8339 63726 552238 5351033 57309548 672108878]
SYLVESTERPOL,RowGcd   ,A.....?,[4 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2]
SYLVESTERPOL,RowMax   ,A.....?,[4 8 24 110 615 4046 30604 261656 2579380 28167920 334925404]
SYLVESTERPOL,Middle   ,A.....?,[1 2 19 80 615 4046 28777 259056 1769985 20268050 135131755]
SYLVESTERPOL,Central  ,A.....?,[19 615 28777 1769985 135131755 12330989671 1309509778577]
SYLVESTERPOL,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
SYLVESTERPOL,RightSide,A000079,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
SYLVESTERPOL,PosHalf  ,A084262,[6 28 188 1656 17992 232016 3460368 58574368 1109200736 23230928832]
SYLVESTERPOL,NegHalf  ,A.....?,[2 4 -4 56 -488 5552 -73456 1117216 -19197664 367902272 -7780394048]
SYLVESTERPOL,BinConV  ,A.....?,[6 32 250 2452 28294 372276 5476902 88843388 1572182524 30095481528]
SYLVESTERPOL,IBinConV ,A.....?,[2 -4 10 52 -626 3600 -4378 -209092 3583684 -37666352 228658456]
SYLVESTERPOL,TransNat0,A.....?,[9 38 180 994 6385 47074 392672 3659730 37709393 425779518 5228835524]
SYLVESTERPOL,TransNat1,A.....?,[14 54 245 1320 8342 60774 502273 4646140 47573494 534284630]
SYLVESTERPOL,DiagRow0 ,A000079,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
SYLVESTERPOL,DiagRow1 ,A001788,[6 24 80 240 672 1792 4608 11520 28160 67584 159744 372736 860160]
SYLVESTERPOL,DiagRow2 ,A.....?,[19 110 500 1960 6944 22848 71040 211200 605440 1683968 4566016]
SYLVESTERPOL,DiagRow3 ,A.....?,[80 615 3570 17360 74592 292320 1066560 3674880 12080640 38182144]
SYLVESTERPOL,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
SYLVESTERPOL,DiagCol1 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
SYLVESTERPOL,DiagCol2 ,A.....?,[19 80 418 2604 18828 154944 1429776 14620320 164089440 2005361280]
SYLVESTERPOL,DiagCol3 ,A.....?,[110 615 4046 30604 261656 2495340 26263512 302411736 3781675872]
SYLVESTERPOL,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SYLVESTERPOL,PolyRow1 ,A004271,[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50]
SYLVESTERPOL,PolyRow2 ,A007742,[18 39 68 105 150 203 264 333 410 495 588 689 798 915 1040 1173 1314]
SYLVESTERPOL,PolyRow3 ,A.....?,[92 276 616 1160 1956 3052 4496 6336 8620 11396 14712 18616 23156]
SYLVESTERPOL,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
SYLVESTERPOL,PolyCol1 ,A000522,[5 16 65 326 1957 13700 109601 986410 9864101 108505112 1302061345]
SYLVESTERPOL,PolyCol2 ,A081923,[18 92 536 3552 26608 223456 2085504 21450752 241320704 2949474816]
SYLVESTERPOL,PolyCol3 ,A.....?,[39 276 2133 18018 166203 1670112 18221193 215014014 2733237999]
SYLVESTERPOL,PolyDiag ,A295183,[18 276 5960 165870 5648832 227507336 10577029248 557457222330]
sylvester, 39 traits, 17 A-numbers, 43%
