Triangle,Trait,ANumber,Sequence
SYMPOLYNOMIA,Triangle ,A165675,[1 2 3 1 6 11 5 1 24 50 26 7 1 120 274 154 47 9 1 720 1764 1044 342]
SYMPOLYNOMIA,Reverse  ,A105954,[1 1 3 2 1 5 11 6 1 7 26 50 24 1 9 47 154 274 120 1 11 74 342 1044]
SYMPOLYNOMIA,Inverse  ,A.....?,[1 1 -3 1 0 4 -5 1 0 0 9 -7 1 0 0 0 16 -9 1 0 0 0 0 25 -11 1 0 0 0 0]
SYMPOLYNOMIA,RevInv   ,A.....?,[-1 1 -3 1 1 -5 4 0 1 -7 9 0 0 1 -9 16 0 0 0 1 -11 25 0 0 0 0 1 -13]
SYMPOLYNOMIA,Sum      ,A093345,[6 23 108 605 3956 29649 250892 2367629 24662700 281153801 3482350724]
SYMPOLYNOMIA,EvenSum  ,A.....?,[3 11 51 283 1839 13719 115675 1088459 11311047 128686087 1591143315]
SYMPOLYNOMIA,OddSum   ,A.....?,[3 12 57 322 2117 15930 135217 1279170 13351653 152467714 1891207409]
SYMPOLYNOMIA,AltSum   ,A.....?,[0 -1 -6 -39 -278 -2211 -19542 -190711 -2040606 -23781627 -300064094]
SYMPOLYNOMIA,AccSum   ,A.....?,[13 68 413 2866 22457 196634 1906165 20290322 235457201 2959959922]
SYMPOLYNOMIA,AccRevSum,A.....?,[13 68 413 2866 22457 196634 1906165 20290322 235457201 2959959922]
SYMPOLYNOMIA,RevAccSum,A.....?,[11 47 235 1369 9191 70207 602755 5753597 60495199 695039491]
SYMPOLYNOMIA,DiagSum  ,A.....?,[3 9 36 175 1021 6965 54480 480843 4727469 51234337 606792460]
SYMPOLYNOMIA,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SYMPOLYNOMIA,RowMax   ,A000254,[3 11 50 274 1764 13068 109584 1026576 10628640 120543840 1486442880]
SYMPOLYNOMIA,Middle   ,A.....?,[3 11 26 154 342 2754 5944 60216 127860 1557660 3272688 46536624]
SYMPOLYNOMIA,Central  ,A.....?,[26 342 5944 127860 3272688 97053936 3270729600 123418922400]
SYMPOLYNOMIA,LeftSide ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
SYMPOLYNOMIA,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SYMPOLYNOMIA,PosHalf  ,A.....?,[15 103 903 9663 122287 1787991 29671479 551104591 11328415263]
SYMPOLYNOMIA,NegHalf  ,A.....?,[3 -13 75 -517 3875 -26301 29531 5729003 -227270157 7253745395]
SYMPOLYNOMIA,BinConV  ,A.....?,[9 55 409 3546 34981 386163 4711281 62903242 911810321 14254347735]
SYMPOLYNOMIA,IBinConV ,A.....?,[-3 13 -47 136 1 -5935 88481 -1060568 11963541 -131894883 1423461073]
SYMPOLYNOMIA,TransNat0,A.....?,[5 24 127 764 5235 40558 351863 3385968 35832499 413885690 5183638503]
SYMPOLYNOMIA,TransNat1,A.....?,[11 47 235 1369 9191 70207 602755 5753597 60495199 695039491]
SYMPOLYNOMIA,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SYMPOLYNOMIA,DiagRow1 ,A004273,[5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51]
SYMPOLYNOMIA,DiagRow2 ,A080663,[26 47 74 107 146 191 242 299 362 431 506 587 674 767 866 971 1082]
SYMPOLYNOMIA,DiagRow3 ,A165676,[154 342 638 1066 1650 2414 3382 4578 6026 7750 9774 12122 14818]
SYMPOLYNOMIA,DiagCol0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
SYMPOLYNOMIA,DiagCol1 ,A000254,[11 50 274 1764 13068 109584 1026576 10628640 120543840 1486442880]
SYMPOLYNOMIA,DiagCol2 ,A001705,[26 154 1044 8028 69264 663696 6999840 80627040 1007441280]
SYMPOLYNOMIA,DiagCol3 ,A001711,[47 342 2754 24552 241128 2592720 30334320 383970240 5231113920]
SYMPOLYNOMIA,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SYMPOLYNOMIA,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
SYMPOLYNOMIA,PolyRow2 ,A002378,[12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420 462]
SYMPOLYNOMIA,PolyRow3 ,A.....?,[56 111 194 311 468 671 926 1239 1616 2063 2586 3191 3884 4671 5558]
SYMPOLYNOMIA,PolyCol0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
SYMPOLYNOMIA,PolyCol1 ,A093345,[6 23 108 605 3956 29649 250892 2367629 24662700 281153801 3482350724]
SYMPOLYNOMIA,PolyCol2 ,A.....?,[12 56 300 1836 12760 99912 873696 8458976 89952192 1043100480]
SYMPOLYNOMIA,PolyCol3 ,A.....?,[20 111 678 4569 34038 280197 2541654 25295193 274793742 3241326429]
SYMPOLYNOMIA,PolyDiag ,A.....?,[12 111 1344 19965 350856 7117677 163705344 4209578829 119679019200]
sympoly, 41 traits, 20 A-numbers, 48%
