Triangle,Trait,ANumber,Sequence
TERNARYTREES,Triangle ,A355172,[1 0 1 3 0 1 5 12 0 1 7 25 55 0 1 9 42 130 273 0 1 11 63 245 700 1428]
TERNARYTREES,Reverse  ,A.....?,[0 3 1 0 12 5 1 0 55 25 7 1 0 273 130 42 9 1 0 1428 700 245 63 11 1 0]
TERNARYTREES,Sum      ,A006629,[4 18 88 455 2448 13566 76912 444015 2601300 15426840 92431584]
TERNARYTREES,EvenSum  ,A.....?,[3 5 62 139 1684 4297 52284 143366 1755839 5040716 62096408 184034460]
TERNARYTREES,OddSum   ,A.....?,[1 13 26 316 764 9269 24628 300649 845461 10386124 30335176 374650888]
TERNARYTREES,AltSum   ,A.....?,[2 -8 36 -177 920 -4972 27656 -157283 910378 -5345408 31761232]
TERNARYTREES,AccSum   ,A102893,[5 25 130 700 3876 21945 126500 740025 4382625 26225628 158331880]
TERNARYTREES,AccRevSum,A102893,[5 25 130 700 3876 21945 126500 740025 4382625 26225628 158331880]
TERNARYTREES,RevAccSum,A.....?,[11 65 398 2485 15708 100149 642620 4144140 26832975 174323292]
TERNARYTREES,DiagSum  ,A.....?,[1 1 4 6 20 35 109 207 622 1243 3653 7560 21883 46461 133004 287970]
TERNARYTREES,RowGcd   ,A058665,[3 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1]
TERNARYTREES,RowMax   ,A001764,[3 12 55 273 1428 7752 43263 246675 1430715 8414640 50067108]
TERNARYTREES,Middle   ,A.....?,[1 1 7 9 63 88 627 910 6578 9750 71253 106981 788392 1193808 8855691]
TERNARYTREES,Central  ,A.....?,[7 63 627 6578 71253 788392 8855691 100591491]
TERNARYTREES,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
TERNARYTREES,RightSide,A001764,[3 12 55 273 1428 7752 43263 246675 1430715 8414640 50067108]
TERNARYTREES,PosHalf  ,A.....?,[5 26 141 789 4520 26368 156053 934451 5650213 34445894 211475644]
TERNARYTREES,NegHalf  ,A.....?,[1 6 25 125 648 3504 19489 110835 641505 3766530 22378956 134302876]
TERNARYTREES,BinConV  ,A.....?,[5 30 201 1438 10734 82512 647945 5170710 41782726 341013236]
TERNARYTREES,IBinConV ,A246434,[1 0 -7 -42 -198 -858 -3575 -14586 -58786 -235144 -936054 -3714500]
TERNARYTREES,TransNat0,A.....?,[7 47 310 2030 13260 86583 565708 3700125 24231675 158896452]
TERNARYTREES,TransNat1,A.....?,[11 65 398 2485 15708 100149 642620 4144140 26832975 174323292]
TERNARYTREES,DiagRow0 ,A001764,[3 12 55 273 1428 7752 43263 246675 1430715 8414640 50067108]
TERNARYTREES,DiagRow1 ,A102893,[5 25 130 700 3876 21945 126500 740025 4382625 26225628 158331880]
TERNARYTREES,DiagRow2 ,A102594,[7 42 245 1428 8379 49588 296010 1781325 10798788 65900296 404565252]
TERNARYTREES,DiagRow3 ,A230547,[9 63 408 2565 15939 98670 610740 3786588 23535820 146710476]
TERNARYTREES,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
TERNARYTREES,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
TERNARYTREES,DiagCol2 ,A004273,[7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51]
TERNARYTREES,DiagCol3 ,A071355,[42 63 88 117 150 187 228 273 322 375 432 493 558 627 700 777 858 943]
TERNARYTREES,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
TERNARYTREES,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
TERNARYTREES,PolyRow2 ,A049451,[14 30 52 80 114 154 200 252 310 374 444 520 602 690 784 884 990 1102]
TERNARYTREES,PolyRow3 ,A.....?,[118 372 852 1630 2778 4368 6472 9162 12510 16588 21468 27222 33922]
TERNARYTREES,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
TERNARYTREES,PolyCol1 ,A006629,[4 18 88 455 2448 13566 76912 444015 2601300 15426840 92431584]
TERNARYTREES,PolyCol2 ,A.....?,[14 118 1110 11190 118262 1293302 14513654 166200310 1934366710]
TERNARYTREES,PolyCol3 ,A.....?,[30 372 5196 78087 1232760 20161776 338627928 5806446033 101228109222]
TERNARYTREES,PolyDiag ,A.....?,[14 372 15796 939855 72399498 6865123692 774137880008 101258263989207]
ternary_tree, 39 traits, 22 A-numbers, 56%
