Triangle,Trait,ANumber,Sequence
WARDSETNUMBR,Triangle ,A269939,[1 0 1 3 0 1 10 15 0 1 25 105 105 0 1 56 490 1260 945 0 1 119 1918]
WARDSETNUMBR,Reverse  ,A.....?,[0 3 1 0 15 10 1 0 105 105 25 1 0 945 1260 490 56 1 0 10395 17325]
WARDSETNUMBR,Sum      ,A000311,[4 26 236 2752 39208 660032 12818912 282137824 6939897856]
WARDSETNUMBR,EvenSum  ,A.....?,[3 10 130 1316 19964 327496 6429616 140887472 3471763328 94313132992]
WARDSETNUMBR,OddSum   ,A.....?,[1 16 106 1436 19244 332536 6389296 141250352 3468134528 94353049792]
WARDSETNUMBR,AltSum   ,A000142,[2 -6 24 -120 720 -5040 40320 -362880 3628800 -39916800 479001600]
WARDSETNUMBR,AccSum   ,A.....?,[5 38 394 5164 81668 1510928 31986400 762118432 20175223232]
WARDSETNUMBR,AccRevSum,A.....?,[5 38 394 5164 81668 1510928 31986400 762118432 20175223232]
WARDSETNUMBR,RevAccSum,A.....?,[11 92 1022 14100 231996 4429360 96202720 2341397632 63103551040]
WARDSETNUMBR,DiagSum  ,A000296,[1 1 4 11 41 162 715 3425 17722 98253 580317 3633280 24011157]
WARDSETNUMBR,RowGcd   ,A110560,[3 5 5 7 7 1 1 11 11 13 13 1 1 17 17 19 19 1]
WARDSETNUMBR,RowMax   ,A.....?,[3 15 105 1260 17325 270270 4729725 94594500 2343240900 62199262125]
WARDSETNUMBR,Middle   ,A.....?,[1 1 25 56 1918 6825 302995 1487200 81431350 510880370 33309926650]
WARDSETNUMBR,Central  ,A.....?,[25 1918 302995 81431350 33309926650 19282395272140 15006064187108995]
WARDSETNUMBR,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
WARDSETNUMBR,RightSide,A001147,[3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
WARDSETNUMBR,PosHalf  ,A.....?,[5 39 423 5889 100125 2010951 46589967 1223110881 35883307125]
WARDSETNUMBR,NegHalf  ,A001662,[1 -1 -13 -47 73 2447 16811 -15551 -1726511 -18994849 -10979677]
WARDSETNUMBR,BinConV  ,A.....?,[5 48 679 12710 296246 8267448 268799091 9978566310 416461324630]
WARDSETNUMBR,IBinConV ,A.....?,[1 -12 -169 -1010 11614 484736 7251635 -31586634 -5267648770]
WARDSETNUMBR,TransNat0,A.....?,[7 66 786 11348 192788 3769328 83383808 2059259808 56163653184]
WARDSETNUMBR,TransNat1,A.....?,[11 92 1022 14100 231996 4429360 96202720 2341397632 63103551040]
WARDSETNUMBR,DiagRow0 ,A001147,[3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
WARDSETNUMBR,DiagRow1 ,A000457,[10 105 1260 17325 270270 4729725 91891800 1964187225 45831035250]
WARDSETNUMBR,DiagRow2 ,A000497,[25 490 9450 190575 4099095 94594500 2343240900 62199262125]
WARDSETNUMBR,DiagRow3 ,A000504,[56 1918 56980 1636635 47507460 1422280860 44346982680 1446733012725]
WARDSETNUMBR,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
WARDSETNUMBR,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
WARDSETNUMBR,DiagCol2 ,A000247,[25 56 119 246 501 1012 2035 4082 8177 16368 32751 65518 131053]
WARDSETNUMBR,DiagCol3 ,A000478,[490 1918 6825 22935 74316 235092 731731 2252341 6879678 20900922]
WARDSETNUMBR,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
WARDSETNUMBR,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
WARDSETNUMBR,PolyRow2 ,A049451,[14 30 52 80 114 154 200 252 310 374 444 520 602 690 784 884 990 1102]
WARDSETNUMBR,PolyRow3 ,A.....?,[162 498 1124 2130 3606 5642 8328 11754 16010 21186 27372 34658 43134]
WARDSETNUMBR,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
WARDSETNUMBR,PolyCol1 ,A000311,[4 26 236 2752 39208 660032 12818912 282137824 6939897856]
WARDSETNUMBR,PolyCol2 ,A201465,[14 162 2622 54546 1386702 41660226 1444071006 56728401138]
WARDSETNUMBR,PolyCol3 ,A201466,[30 498 11568 345432 12606240 543678672 27054328512 1525746223488]
WARDSETNUMBR,PolyDiag ,A.....?,[14 498 34004 3803280 632374098 146428634576 45056223763272]
ward_set, 39 traits, 23 A-numbers, 58%
