Triangle,Trait,ANumber,Sequence
OEIS Similars: A061356 A137452 A139526,,,
abel,Triangle ,A137452,[1 0 1 0 2 1 0 9 6 1 0 64 48 12 1 0 625 500 150 20 1 0 7776 6480 ]
abel,TriRev   ,nothing,[1 1 0 1 2 0 1 6 9 0 1 12 48 64 0 1 20 150 500 625 0 1 30 360 2160 ]
abel,TriInv   ,A059297,[1 0 1 0 -2 1 0 3 -6 1 0 -4 24 -12 1 0 5 -80 90 -20 1 0 -6 240 -540 ]
abel,TriRevInv,A059299,[1 1 0 1 -2 0 1 -6 3 0 1 -12 24 -4 0 1 -20 90 -80 5 0 1 -30 240 ]
abel,TriAcc   ,nothing,[1 0 1 0 2 3 0 9 15 16 0 64 112 124 125 0 625 1125 1275 1295 1296 0 ]
abel,TriRevAcc,nothing,[1 1 0 3 2 0 16 15 9 0 125 124 112 64 0 1296 1295 1275 1125 625 0 ]
abel,TriAccRev,nothing,[1 1 1 1 3 3 1 7 16 16 1 13 61 125 125 1 21 171 671 1296 1296 1 31 ]
abel,TriDiag  ,nothing,[1 0 0 1 0 2 0 9 1 0 64 6 0 625 48 1 0 7776 500 12 0 117649 6480 ]
abel,TriPoly  ,A232006,[1 0 1 0 1 1 0 3 2 1 0 16 8 3 1 0 125 50 15 4 1 0 1296 432 108 24 5 ]
abel,TriConv  ,nothing,[1 0 1 0 2 5 0 9 24 118 0 64 176 876 6545 0 625 1750 8775 65820 ]
abel,TriBin   ,nothing,[1 0 1 0 2 5 0 9 24 46 0 64 176 348 593 0 625 1750 3525 6120 9726 0 ]
abel,TriInvBin,nothing,[1 0 1 0 2 -3 0 9 -12 10 0 64 -80 60 -15 0 625 -750 525 -80 -474 0 ]
abel,Sum      ,A000272,[1 1 3 16 125 1296 16807 262144 4782969 100000000 2357947691 ]
abel,EvenSum  ,A274278,[1 0 1 6 49 520 6841 107744 1979713 41611392 985263601 25958682112 ]
abel,OddSum   ,A195136,[0 1 2 10 76 776 9966 154400 2803256 58388608 1372684090 ]
abel,AltSum   ,A177885,[1 -1 -1 -4 -27 -256 -3125 -46656 -823543 -16777216 -387420489 ]
abel,AccSum   ,nothing,[1 1 5 40 425 5616 88837 1638400 34543665 820000000 21650246981 ]
abel,AccRevSum,nothing,[1 1 5 40 425 5616 88837 1638400 34543665 820000000 21650246981 ]
abel,RevAccSum,nothing,[1 2 7 40 325 3456 45619 720896 13286025 280000000 6645125311 ]
abel,DiagSum  ,nothing,[1 0 1 2 10 70 674 8288 124280 2200174 44918105 1038958770 ]
abel,RowLcm   ,nothing,[1 1 2 18 192 7500 38880 7058940 220200960 12053081880 63000000000 ]
abel,RowGcd   ,A008684,[1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ]
abel,RowMax   ,A000169,[1 1 2 9 64 625 7776 117649 2097152 43046721 1000000000 25937424601 ]
abel,Middle   ,nothing,[1 0 2 9 48 500 2160 36015 143360 3306744 12600000 372027810 ]
abel,Central  ,nothing,[1 2 48 2160 143360 12600000 1379524608 180889572864 27638114549760 ]
abel,LeftSide ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
abel,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
abel,PosHalf  ,A052750,[1 1 5 49 729 14641 371293 11390625 410338673 16983563041 ]
abel,NegHalf  ,A085527,[1 1 -3 25 -343 6561 -161051 4826809 -170859375 6975757441 ]
