Triangle,Anum,Trait,Sequence
Baxter,A359363,Tabl,[1 0 1 0 1 1 0 1 4 1 0 1 10 10 1 0 1 20 50 20 1 0 1 35 175 175 35 1 ]
Baxter,A359363,RevTabl,[1 1 0 1 1 0 1 4 1 0 1 10 10 1 0 1 20 50 20 1 0 1 35 175 175 35 1 0 ]
Baxter,,InvTabl,[1 0 1 0 -1 1 0 3 -4 1 0 -21 30 -10 1 0 289 -420 150 -20 1 0 -6931 ]
Baxter,,RevInvTabl,[1 1 0 1 -1 0 1 -4 3 0 1 -10 30 -21 0 1 -20 150 -420 289 0 1 -35 ]
Baxter,,InvRevTabl,[]
Baxter,,AccTabl,[1 0 1 0 1 2 0 1 5 6 0 1 11 21 22 0 1 21 71 91 92 0 1 36 211 386 ]
Baxter,,RevAccTabl,[1 1 0 2 1 0 6 5 1 0 22 21 11 1 0 92 91 71 21 1 0 422 421 386 211 ]
Baxter,,AccRevTabl,[1 1 1 1 2 2 1 5 6 6 1 11 21 22 22 1 21 71 91 92 92 1 36 211 386 ]
Baxter,,AntiDiagTabl,[1 0 0 1 0 1 0 1 1 0 1 4 0 1 10 1 0 1 20 10 0 1 35 50 1 0 1 56 175 ]
Baxter,,BinTabl,[1 0 1 0 1 3 0 1 6 16 0 1 12 43 105 0 1 22 113 344 806 0 1 37 283 ]
Baxter,,InvBinTabl,[1 0 1 0 1 -1 0 1 2 -8 0 1 8 -17 17 0 1 18 -7 -64 206 0 1 33 73 ]
Baxter,,DiffxTabl,[1 0 2 0 2 3 0 2 12 4 0 2 30 40 5 0 2 60 200 100 6 0 2 105 700 875 ]
Baxter,A001181,RowSum,[1 1 2 6 22 92 422 2074 10754 58202 326240 1882960 11140560 ]
Baxter,,EvenSum,[1 0 1 4 11 40 211 1092 5377 28464 163120 950048 5570280 33537088 ]
Baxter,,OddSum,[0 1 1 2 11 52 211 982 5377 29738 163120 932912 5570280 33792904 ]
Baxter,A217800,AltSum,[1 -1 0 2 0 -12 0 110 0 -1274 0 17136 0 -255816 0 4124406 0 ]
Baxter,,AntiDiagSum,[1 0 1 1 2 5 12 31 87 252 751 2312 7293 23455 76815 255615 862352 ]
Baxter,A350265,AccSum,[1 1 3 12 55 276 1477 8296 48393 291010 1794320 11297760 72413640 ]
Baxter,,AccRevSum,[1 2 5 18 77 368 1899 10370 59147 349212 2120560 13180720 83554200 ]
Baxter,,RowLcm,[1 1 1 4 10 100 175 1960 8232 493920 2910600 18295200 18687240 ]
Baxter,,RowGcd,[1 1 1 4 10 10 35 14 84 24 33 11 143 13 13 2 68 136 323 19 ]
Baxter,,RowMax,[1 1 1 4 10 50 175 980 4116 24696 116424 731808 3737448 24293412 ]
Baxter,,ColMiddle,[1 0 1 1 10 20 175 490 4116 14112 116424 457380 3737448 16195608 ]
Baxter,,ColECentral,[1 1 10 175 4116 116424 3737448 131589315 4971151900 198520691512 ]
Baxter,,ColOCentral,[0 1 20 490 14112 457380 16195608 614083470 24584605760 ]
Baxter,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Baxter,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Baxter,,BinConv,[1 1 3 16 105 806 6867 63316 620433 6383026 68335124 756256788 ]
Baxter,,InvBinConv,[1 1 -1 -8 17 206 -565 -8420 26369 445186 -1513092 -27773844 ]
Baxter,A350265,TransNat0,[0 1 3 12 55 276 1477 8296 48393 291010 1794320 11297760 72413640 ]
Baxter,,TransNat1,[1 2 5 18 77 368 1899 10370 59147 349212 2120560 13180720 83554200 ]
Baxter,,TransSqrs,[0 1 5 26 147 876 5427 34630 226193 1505626 10180040 69742960 ]
Baxter,A000292,DiagRow1,[0 1 4 10 20 35 56 84 120 165 220 286 364 455 560 680 816 969 1140 ]
Baxter,A006542,DiagRow2,[0 1 10 50 175 490 1176 2520 4950 9075 15730 26026 41405 63700 ]
Baxter,A047819,DiagRow3,[0 1 20 175 980 4116 14112 41580 108900 259545 572572 1184183 ]
Baxter,A000012,DiagCol1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Baxter,A000292,DiagCol2,[1 4 10 20 35 56 84 120 165 220 286 364 455 560 680 816 969 1140 ]
Baxter,A006542,DiagCol3,[1 10 50 175 490 1176 2520 4950 9075 15730 26026 41405 63700 95200 ]
Baxter,,PolyTabl,[1 0 1 0 1 1 0 2 2 1 0 6 6 3 1 0 22 26 12 4 1 0 92 138 66 20 5 1 0 ]
Baxter,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Baxter,A002378,PolyRow2,[0 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
Baxter,,PolyRow3,[0 6 26 66 132 230 366 546 776 1062 1410 1826 2316 2886 3542 4290 ]
Baxter,,PolyCol2,[1 2 6 26 138 834 5526 39218 293586 2293666 18557190 154584522 ]
Baxter,,PolyCol3,[1 3 12 66 444 3396 28452 255198 2413668 23819214 243386400 ]
Baxter,,PolyDiag,[1 1 6 66 1060 22380 584682 18171118 653559048 26658514026 ]
Baxter,,PosHalf,[1 1 3 13 69 417 2763 19609 146793 1146833 9278595 77292261 ]
Baxter,,NegHalf,[1 1 -1 -3 13 17 -241 121 5081 -13327 -106705 609589 1850661 ]
