Triangle,Anum,Trait,Sequence
Bell,A011971,Tabl,[1 1 2 2 3 5 5 7 10 15 15 20 27 37 52 52 67 87 114 151 203 203 255 ]
Bell,A123346,RevTabl,[1 2 1 5 3 2 15 10 7 5 52 37 27 20 15 203 151 114 87 67 52 877 674 ]
Bell,,InvTabl,[]
Bell,,RevInvTabl,[]
Bell,,InvRevTabl,[]
Bell,,AccTabl,[1 1 3 2 5 10 5 12 22 37 15 35 62 99 151 52 119 206 320 471 674 203 ]
Bell,,RevAccTabl,[1 3 1 10 5 2 37 22 12 5 151 99 62 35 15 674 471 320 206 119 52 ]
Bell,,AccRevTabl,[1 2 3 5 8 10 15 25 32 37 52 89 116 136 151 203 354 468 555 622 674 ]
Bell,,AntiDiagTabl,[1 1 2 2 5 3 15 7 5 52 20 10 203 67 27 15 877 255 87 37 4140 1080 ]
Bell,,BinTabl,[1 1 3 2 5 13 5 12 29 71 15 35 82 193 457 52 119 273 628 1449 3355 ]
Bell,,InvBinTabl,[1 1 1 2 1 1 5 2 1 1 15 5 2 1 1 52 15 5 2 1 1 203 52 15 5 2 1 1 877 ]
Bell,,DiffxTabl,[1 1 4 2 6 15 5 14 30 60 15 40 81 148 260 52 134 261 456 755 1218 ]
Bell,A005493,RowSum,[1 3 10 37 151 674 3263 17007 94828 562595 3535027 23430840 ]
Bell,,EvenSum,[1 1 7 15 94 290 1925 7541 54217 254189 1979704 10725568 90086877 ]
Bell,,OddSum,[0 2 3 22 57 384 1338 9466 40611 308406 1555323 12705272 73168008 ]
Bell,,AltSum,[1 -1 4 -7 37 -94 587 -1925 13606 -54217 424381 -1979704 16918869 ]
Bell,,AntiDiagSum,[1 1 4 8 27 82 312 1256 5708 28059 149742 856168 5219507 33719235 ]
Bell,A124325,AccSum,[1 4 17 76 362 1842 9991 57568 351125 2259302 15288000 108478124 ]
Bell,A278677,AccRevSum,[1 5 23 109 544 2876 16113 95495 597155 3929243 27132324 196122796 ]
Bell,,RowLcm,[1 2 30 210 259740 6087317964 150538831664272170 ]
Bell,A000319,RowGcd,[1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Bell,A000110,RowMax,[1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
Bell,A216078,ColMiddle,[1 1 3 7 27 87 409 1657 9089 43833 272947 1515903 10515147 65766991 ]
Bell,A094577,ColECentral,[1 3 27 409 9089 272947 10515147 501178937 28773452321 ]
Bell,A020556,ColOCentral,[1 7 87 1657 43833 1515903 65766991 3473600465 218310229201 ]
Bell,A000110,ColLeft,[1 1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
Bell,A000110,ColRight,[1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
Bell,A126390,BinConv,[1 3 13 71 457 3355 27509 248127 2434129 25741939 291397789 ]
Bell,A000012,InvBinConv,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Bell,,TransNat0,[0 2 13 72 393 2202 12850 78488 502327 3366648 23597297 172691956 ]
Bell,A278677,TransNat1,[1 5 23 109 544 2876 16113 95495 597155 3929243 27132324 196122796 ]
Bell,,TransSqrs,[0 2 23 182 1293 8932 62014 439442 3202127 24081458 187213595 ]
Bell,A005493,DiagRow1,[1 3 10 37 151 674 3263 17007 94828 562595 3535027 23430840 ]
Bell,A011965,DiagRow2,[2 7 27 114 523 2589 13744 77821 467767 2972432 19895813 139824045 ]
Bell,A011966,DiagRow3,[5 20 87 409 2066 11155 64077 389946 2504665 16923381 119928232 ]
Bell,A011968,DiagCol1,[2 3 7 20 67 255 1080 5017 25287 137122 794545 4892167 31858034 ]
Bell,A011969,DiagCol2,[5 10 27 87 322 1335 6097 30304 162409 931667 5686712 36750201 ]
Bell,A011970,DiagCol3,[15 37 114 409 1657 7432 36401 192713 1094076 6618379 42436913 ]
Bell,,PolyTabl,[1 1 1 2 3 1 5 10 5 1 15 37 28 7 1 52 151 179 56 9 1 203 674 1291 ]
Bell,A004273,PolyRow1,[1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 ]
Bell,,PolyRow2,[2 10 28 56 94 142 200 268 346 434 532 640 758 886 1024 1172 1330 ]
Bell,,PolyRow3,[5 37 179 521 1153 2165 3647 5689 8381 11813 16075 21257 27449 ]
Bell,A095676,PolyCol2,[1 5 28 179 1291 10358 91337 876289 9070546 100596161 1188403063 ]
Bell,,PolyCol3,[1 7 56 521 5529 65674 860387 12290251 189680754 3139572183 ]
Bell,,PolyDiag,[1 3 28 521 16207 745562 46937813 3842472699 394463953204 ]
Bell,,PosHalf,[1 4 19 103 634 4393 33893 288158 2674849 26888251 290614732 ]
Bell,,NegHalf,[1 0 7 -17 166 -931 8333 -67902 668341 -6733957 74909152 -875130273 ]
