Triangle,Anum,Trait,Sequence
Bessel,A132062,Tabl,[1 0 1 0 1 1 0 3 3 1 0 15 15 6 1 0 105 105 45 10 1 0 945 945 420 ]
Bessel,A104548,RevTabl,[1 1 0 1 1 0 1 3 3 0 1 6 15 15 0 1 10 45 105 105 0 1 15 105 420 945 ]
Bessel,A122848,InvTabl,[1 0 1 0 -1 1 0 0 -3 1 0 0 3 -6 1 0 0 0 15 -10 1 0 0 0 -15 45 -15 1 ]
Bessel,A144299,RevInvTabl,[1 1 0 1 -1 0 1 -3 0 0 1 -6 3 0 0 1 -10 15 0 0 0 1 -15 45 -15 0 0 0 ]
Bessel,,InvRevTabl,[]
Bessel,,AccTabl,[1 0 1 0 1 2 0 3 6 7 0 15 30 36 37 0 105 210 255 265 266 0 945 1890 ]
Bessel,,RevAccTabl,[1 1 0 2 1 0 7 6 3 0 37 36 30 15 0 266 265 255 210 105 0 2431 2430 ]
Bessel,,AccRevTabl,[1 1 1 1 2 2 1 4 7 7 1 7 22 37 37 1 11 56 161 266 266 1 16 121 541 ]
Bessel,,AntiDiagTabl,[1 0 0 1 0 1 0 3 1 0 15 3 0 105 15 1 0 945 105 6 0 10395 945 45 1 0 ]
Bessel,,BinTabl,[1 0 1 0 1 3 0 3 9 19 0 15 45 96 175 0 105 315 675 1240 2076 0 945 ]
Bessel,,InvBinTabl,[1 0 1 0 1 -1 0 3 -3 1 0 15 -15 6 7 0 105 -105 45 40 -124 0 945 ]
Bessel,,DiffxTabl,[1 0 2 0 2 3 0 6 9 4 0 30 45 24 5 0 210 315 180 50 6 0 1890 2835 ]
Bessel,A144301,RowSum,[1 1 2 7 37 266 2431 27007 353522 5329837 90960751 1733584106 ]
Bessel,A036244,EvenSum,[1 0 1 3 16 115 1051 11676 152839 2304261 39325276 749484505 ]
Bessel,A025164,OddSum,[0 1 1 4 21 151 1380 15331 200683 3025576 51635475 984099601 ]
Bessel,A000806,AltSum,[1 -1 0 -1 -5 -36 -329 -3655 -47844 -721315 -12310199 -234615096 ]
Bessel,,AntiDiagSum,[1 0 1 1 4 18 121 1056 11386 145960 2166991 36550095 690151981 ]
Bessel,,AccSum,[1 1 3 16 118 1101 12421 164473 2501661 42992218 823976596 ]
Bessel,,AccRevSum,[1 2 5 19 104 761 7027 78590 1033559 15635989 267552416 5109791567 ]
Bessel,,RowLcm,[1 1 1 3 30 630 3780 207900 8108100 56756700 1929727800 ]
Bessel,A069834,RowGcd,[1 1 1 3 3 5 15 21 7 9 45 55 33 39 91 105 15 17 153 171 ]
Bessel,A330797,RowMax,[1 1 1 3 15 105 945 10395 135135 2027025 34459425 654729075 ]
Bessel,,ColMiddle,[1 0 1 3 15 105 420 4725 17325 270270 945945 18918900 64324260 ]
Bessel,,ColECentral,[1 1 15 420 17325 945945 64324260 5237832600 496939367925 ]
Bessel,,ColOCentral,[0 3 105 4725 270270 18918900 1571349780 151242416325 ]
Bessel,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Bessel,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Bessel,,BinConv,[1 1 3 19 175 2076 29911 505093 9757539 211883500 5102919316 ]
Bessel,,InvBinConv,[1 1 -1 1 7 -124 1591 -19991 256691 -3335228 41759236 -430787224 ]
Bessel,A107103,TransNat0,[0 1 3 12 67 495 4596 51583 680037 10306152 176591665 3376207461 ]
Bessel,,TransNat1,[1 2 5 19 104 761 7027 78590 1033559 15635989 267552416 5109791567 ]
Bessel,,TransSqrs,[0 1 5 24 145 1115 10596 120715 1607999 24555060 423178255 ]
Bessel,A000217,DiagRow1,[0 1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 ]
Bessel,A050534,DiagRow2,[0 3 15 45 105 210 378 630 990 1485 2145 3003 4095 5460 7140 9180 ]
Bessel,A240440,DiagRow3,[0 15 105 420 1260 3150 6930 13860 25740 45045 75075 120120 185640 ]
Bessel,A001147,DiagCol1,[1 1 3 15 105 945 10395 135135 2027025 34459425 654729075 ]
Bessel,A001147,DiagCol2,[1 3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575 ]
Bessel,A001879,DiagCol3,[1 6 45 420 4725 62370 945945 16216200 310134825 6547290750 ]
Bessel,,PolyTabl,[1 0 1 0 1 1 0 2 2 1 0 7 6 3 1 0 37 26 12 4 1 0 266 154 63 20 5 1 0 ]
Bessel,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Bessel,A002378,PolyRow2,[0 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
Bessel,A024001,PolyRow3,[0 7 26 63 124 215 342 511 728 999 1330 1727 2196 2743 3374 4095 ]
Bessel,A107104,PolyCol2,[1 2 6 26 154 1182 11254 128522 1715802 26251118 453132214 ]
Bessel,,PolyCol3,[1 3 12 63 423 3528 35559 422901 5817744 91072269 1600588269 ]
Bessel,,PolyDiag,[1 1 6 63 940 18150 429786 12051697 390433464 14347598445 ]
Bessel,A080893,PosHalf,[1 1 3 19 193 2721 49171 1084483 28245729 848456353 28875761731 ]
Bessel,A002119,NegHalf,[1 1 -1 7 -71 1001 -18089 398959 -10391023 312129649 -10622799089 ]
