Triangle,Anum,Trait,Sequence
Bessel2,A359760,Tabl,[1 1 0 1 0 1 1 0 3 0 1 0 6 0 3 1 0 10 0 15 0 1 0 15 0 45 0 15 1 0 ]
Bessel2,A066325,RevTabl,[1 0 1 1 0 1 0 3 0 1 3 0 6 0 1 0 15 0 10 0 1 15 0 45 0 15 0 1 0 105 ]
Bessel2,,InvTabl,[]
Bessel2,,RevInvTabl,[]
Bessel2,A066325,InvRevTabl,[1 0 1 -1 0 1 0 -3 0 1 3 0 -6 0 1 0 15 0 -10 0 1 -15 0 45 0 -15 0 1 ]
Bessel2,,AccTabl,[1 1 1 1 1 2 1 1 4 4 1 1 7 7 10 1 1 11 11 26 26 1 1 16 16 61 61 76 ]
Bessel2,,RevAccTabl,[1 1 1 2 1 1 4 4 1 1 10 7 7 1 1 26 26 11 11 1 1 76 61 61 16 16 1 1 ]
Bessel2,,AccRevTabl,[1 0 1 1 1 2 0 3 3 4 3 3 9 9 10 0 15 15 25 25 26 15 15 60 60 75 75 ]
Bessel2,,AntiDiagTabl,[1 1 1 0 1 0 1 0 1 1 0 3 1 0 6 0 1 0 10 0 1 0 15 0 3 1 0 21 0 15 1 ]
Bessel2,,BinTabl,[1 1 1 1 1 2 1 1 4 10 1 1 7 19 40 1 1 11 31 76 176 1 1 16 46 136 ]
Bessel2,,InvBinTabl,[1 1 -1 1 -1 2 1 -1 4 -10 1 -1 7 -19 40 1 -1 11 -31 76 -176 1 -1 16 ]
Bessel2,,DiffxTabl,[1 1 0 1 0 3 1 0 9 0 1 0 18 0 15 1 0 30 0 75 0 1 0 45 0 225 0 105 1 ]
Bessel2,A000085,RowSum,[1 1 2 4 10 26 76 232 764 2620 9496 35696 140152 568504 2390480 ]
Bessel2,A000085,EvenSum,[1 1 2 4 10 26 76 232 764 2620 9496 35696 140152 568504 2390480 ]
Bessel2,A000004,OddSum,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Bessel2,A000085,AltSum,[1 1 2 4 10 26 76 232 764 2620 9496 35696 140152 568504 2390480 ]
Bessel2,,AntiDiagSum,[1 1 1 1 2 4 7 11 19 37 74 142 271 539 1117 2329 4832 10126 21709 ]
Bessel2,A000085,AccSum,[1 2 4 10 26 76 232 764 2620 9496 35696 140152 568504 2390480 ]
Bessel2,,AccRevSum,[1 1 4 10 34 106 376 1324 5020 19324 78256 323896 1393624 6137080 ]
Bessel2,,RowLcm,[1 1 1 3 6 30 45 105 420 3780 9450 103950 623700 540540 945945 ]
Bessel2,A069834,RowGcd,[1 1 1 3 3 5 15 21 7 9 45 55 33 39 91 105 15 17 153 171 ]
Bessel2,,RowMax,[1 1 1 3 6 15 45 105 420 1260 4725 17325 62370 270270 945945 ]
Bessel2,,ColMiddle,[1 1 0 0 6 10 0 0 210 378 0 0 13860 25740 0 0 1351350 2552550 0 0 ]
Bessel2,A359761,ColECentral,[1 0 6 0 210 0 13860 0 1351350 0 ]
Bessel2,,ColOCentral,[1 0 10 0 378 0 25740 0 2552550 0 ]
Bessel2,A000012,ColLeft,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Bessel2,A123022,ColRight,[1 0 1 0 3 0 15 0 105 0 945 0 10395 0 135135 0 2027025 0 34459425 0 ]
Bessel2,A344501,BinConv,[1 1 2 10 40 176 916 4852 27350 163270 1009396 6504356 43400512 ]
Bessel2,A344501,InvBinConv,[1 -1 2 -10 40 -176 916 -4852 27350 -163270 1009396 -6504356 ]
Bessel2,,TransNat0,[0 0 2 6 24 80 300 1092 4256 16704 68760 288200 1253472 5568576 ]
Bessel2,,TransNat1,[1 1 4 10 34 106 376 1324 5020 19324 78256 323896 1393624 6137080 ]
