Triangle,Anum,Trait,Sequence
Binomial,A007318,Tabl,[1 1 1 1 2 1 1 3 3 1 1 4 6 4 1 1 5 10 10 5 1 1 6 15 20 15 6 1 1 7 ]
Binomial,A007318,RevTabl,[1 1 1 1 2 1 1 3 3 1 1 4 6 4 1 1 5 10 10 5 1 1 6 15 20 15 6 1 1 7 ]
Binomial,A007318,InvTabl,[1 -1 1 1 -2 1 -1 3 -3 1 1 -4 6 -4 1 -1 5 -10 10 -5 1 1 -6 15 -20 ]
Binomial,A007318,RevInvTabl,[1 1 -1 1 -2 1 1 -3 3 -1 1 -4 6 -4 1 1 -5 10 -10 5 -1 1 -6 15 -20 ]
Binomial,A007318,InvRevTabl,[1 -1 1 1 -2 1 -1 3 -3 1 1 -4 6 -4 1 -1 5 -10 10 -5 1 1 -6 15 -20 ]
Binomial,A008949,AccTabl,[1 1 2 1 3 4 1 4 7 8 1 5 11 15 16 1 6 16 26 31 32 1 7 22 42 57 63 ]
Binomial,A055248,RevAccTabl,[1 2 1 4 3 1 8 7 4 1 16 15 11 5 1 32 31 26 16 6 1 64 63 57 42 22 7 ]
Binomial,A008949,AccRevTabl,[1 1 2 1 3 4 1 4 7 8 1 5 11 15 16 1 6 16 26 31 32 1 7 22 42 57 63 ]
Binomial,A011973,AntiDiagTabl,[1 1 1 1 1 2 1 3 1 1 4 3 1 5 6 1 1 6 10 4 1 7 15 10 1 1 8 21 20 5 1 ]
Binomial,A046899,BinTabl,[1 1 2 1 3 6 1 4 10 20 1 5 15 35 70 1 6 21 56 126 252 1 7 28 84 210 ]
Binomial,,InvBinTabl,[1 1 0 1 1 -2 1 2 -2 0 1 3 -1 -3 6 1 4 1 -6 6 0 1 5 4 -8 2 10 -20 1 ]
Binomial,A103406,DiffxTabl,[1 1 2 1 4 3 1 6 9 4 1 8 18 16 5 1 10 30 40 25 6 1 12 45 80 75 36 7 ]
Binomial,A000079,RowSum,[1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 ]
Binomial,A011782,EvenSum,[1 1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 ]
Binomial,A034008,OddSum,[0 1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 ]
Binomial,A000007,AltSum,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Binomial,A000045,AntiDiagSum,[1 1 2 3 5 8 13 21 34 55 89 144 233 377 610 987 1597 2584 4181 6765 ]
Binomial,A001792,AccSum,[1 3 8 20 48 112 256 576 1280 2816 6144 13312 28672 61440 131072 ]
Binomial,A001792,AccRevSum,[1 3 8 20 48 112 256 576 1280 2816 6144 13312 28672 61440 131072 ]
Binomial,A002944,RowLcm,[1 1 2 3 12 10 60 105 280 252 2520 2310 27720 25740 24024 45045 ]
Binomial,A014963,RowGcd,[1 1 2 3 2 5 1 7 2 3 1 11 1 13 1 1 2 17 1 19 ]
Binomial,A001405,RowMax,[1 1 2 3 6 10 20 35 70 126 252 462 924 1716 3432 6435 12870 24310 ]
Binomial,A001405,ColMiddle,[1 1 2 3 6 10 20 35 70 126 252 462 924 1716 3432 6435 12870 24310 ]
Binomial,A000984,ColECentral,[1 2 6 20 70 252 924 3432 12870 48620 ]
Binomial,A001700,ColOCentral,[1 3 10 35 126 462 1716 6435 24310 92378 ]
Binomial,A000012,ColLeft,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Binomial,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Binomial,A000984,BinConv,[1 2 6 20 70 252 924 3432 12870 48620 184756 705432 2704156 ]
Binomial,A126869,InvBinConv,[1 0 -2 0 6 0 -20 0 70 0 -252 0 924 0 -3432 0 12870 0 -48620 0 ]
Binomial,A001787,TransNat0,[0 1 4 12 32 80 192 448 1024 2304 5120 11264 24576 53248 114688 ]
Binomial,A001792,TransNat1,[1 3 8 20 48 112 256 576 1280 2816 6144 13312 28672 61440 131072 ]
Binomial,A001788,TransSqrs,[0 1 6 24 80 240 672 1792 4608 11520 28160 67584 159744 372736 ]
Binomial,A000027,DiagRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
Binomial,A000217,DiagRow2,[1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 ]
