Triangle,Anum,Trait,Sequence
Catalan,A128899,Tabl,[1 0 1 0 2 1 0 5 4 1 0 14 14 6 1 0 42 48 27 8 1 0 132 165 110 44 10 ]
Catalan,A050166,RevTabl,[1 1 0 1 2 0 1 4 5 0 1 6 14 14 0 1 8 27 48 42 0 1 10 44 110 165 132 ]
Catalan,A128908,InvTabl,[1 0 1 0 -2 1 0 3 -4 1 0 -4 10 -6 1 0 5 -20 21 -8 1 0 -6 35 -56 36 ]
Catalan,A053123,RevInvTabl,[1 1 0 1 -2 0 1 -4 3 0 1 -6 10 -4 0 1 -8 21 -20 5 0 1 -10 36 -56 35 ]
Catalan,,InvRevTabl,[]
Catalan,A050158,AccTabl,[1 0 1 0 2 3 0 5 9 10 0 14 28 34 35 0 42 90 117 125 126 0 132 297 ]
Catalan,,RevAccTabl,[1 1 0 3 2 0 10 9 5 0 35 34 28 14 0 126 125 117 90 42 0 462 461 451 ]
Catalan,,AccRevTabl,[1 1 1 1 3 3 1 5 10 10 1 7 21 35 35 1 9 36 84 126 126 1 11 55 165 ]
Catalan,A114494,AntiDiagTabl,[1 0 0 1 0 2 0 5 1 0 14 4 0 42 14 1 0 132 48 6 0 429 165 27 1 0 ]
Catalan,,BinTabl,[1 0 1 0 2 5 0 5 14 28 0 14 42 90 165 0 42 132 297 572 1001 0 132 ]
Catalan,,InvBinTabl,[1 0 1 0 2 -3 0 5 -6 4 0 14 -14 6 5 0 42 -36 9 20 -39 0 132 -99 11 ]
Catalan,,DiffxTabl,[1 0 2 0 4 3 0 10 12 4 0 28 42 24 5 0 84 144 108 40 6 0 264 495 440 ]
Catalan,A088218,RowSum,[1 1 3 10 35 126 462 1716 6435 24310 92378 352716 1352078 5200300 ]
Catalan,A001791,EvenSum,[1 0 1 4 15 56 210 792 3003 11440 43758 167960 646646 2496144 ]
Catalan,A000984,OddSum,[0 1 2 6 20 70 252 924 3432 12870 48620 184756 705432 2704156 ]
Catalan,A115140,AltSum,[1 -1 -1 -2 -5 -14 -42 -132 -429 -1430 -4862 -16796 -58786 -208012 ]
Catalan,A000957,AntiDiagSum,[1 0 1 2 6 18 57 186 622 2120 7338 25724 91144 325878 1174281 ]
Catalan,A296770,AccSum,[1 1 5 24 111 500 2210 9632 41531 177564 754014 3184016 13382710 ]
Catalan,A114121,AccRevSum,[1 2 7 26 99 382 1486 5812 22819 89846 354522 1401292 5546382 ]
Catalan,,RowLcm,[1 1 2 20 42 3024 660 34320 450450 13613600 4232592 1777688640 ]
Catalan,A286299,RowGcd,[1 1 2 1 2 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 ]
Catalan,,RowMax,[1 1 2 5 14 48 165 572 2002 7072 25194 90440 326876 1225785 4601610 ]
Catalan,,ColMiddle,[1 0 2 5 14 48 110 429 910 3808 7752 33915 67298 303600 592020 ]
Catalan,A359108,ColECentral,[1 2 14 110 910 7752 67298 592020 5259150 47071640 ]
Catalan,,ColOCentral,[0 5 48 429 3808 33915 303600 2731365 24682944 223926516 ]
Catalan,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Catalan,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Catalan,A025174,BinConv,[1 1 5 28 165 1001 6188 38760 245157 1562275 10015005 64512240 ]
Catalan,,InvBinConv,[1 1 -3 4 5 -39 84 8 -603 1795 -1243 -9096 37388 -50036 -119640 ]
Catalan,A000302,TransNat0,[0 1 4 16 64 256 1024 4096 16384 65536 262144 1048576 4194304 ]
Catalan,A114121,TransNat1,[1 2 7 26 99 382 1486 5812 22819 89846 354522 1401292 5546382 ]
Catalan,A002457,TransSqrs,[0 1 6 30 140 630 2772 12012 51480 218790 923780 3879876 16224936 ]
Catalan,A005843,DiagRow1,[0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 ]
Catalan,A014106,DiagRow2,[0 5 14 27 44 65 90 119 152 189 230 275 324 377 434 495 560 629 702 ]
Catalan,,DiagRow3,[0 14 48 110 208 350 544 798 1120 1518 2000 2574 3248 4030 4928 ]
Catalan,A000108,DiagCol1,[1 2 5 14 42 132 429 1430 4862 16796 58786 208012 742900 2674440 ]
Catalan,A002057,DiagCol2,[1 4 14 48 165 572 2002 7072 25194 90440 326876 1188640 4345965 ]
Catalan,A003517,DiagCol3,[1 6 27 110 429 1638 6188 23256 87210 326876 1225785 4601610 ]
Catalan,,PolyTabl,[1 0 1 0 1 1 0 3 2 1 0 10 8 3 1 0 35 34 15 4 1 0 126 148 78 24 5 1 ]
Catalan,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Catalan,A005563,PolyRow2,[0 3 8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 ]
Catalan,,PolyRow3,[0 10 34 78 148 250 390 574 808 1098 1450 1870 2364 2938 3598 4350 ]
Catalan,A067336,PolyCol2,[1 2 8 34 148 652 2892 12882 57540 257500 1153888 5175700 23231864 ]
Catalan,A104530,PolyCol3,[1 3 15 78 411 2178 11574 61596 328083 1748346 9319650 49688004 ]
Catalan,,PolyDiag,[1 1 8 78 920 12910 211932 4005372 85904688 2064940470 55043183360 ]
Catalan,A194723,PosHalf,[1 1 5 29 181 1181 7941 54573 381333 2699837 19319845 139480397 ]
Catalan,A064062,NegHalf,[1 1 -3 13 -67 381 -2307 14589 -95235 636925 -4341763 30056445 ]
