Triangle,Anum,Trait,Sequence
CatalanAer,A053121,Tabl,[1 0 1 1 0 1 0 2 0 1 2 0 3 0 1 0 5 0 4 0 1 5 0 9 0 5 0 1 0 14 0 14 ]
CatalanAer,A052173,RevTabl,[1 1 0 1 0 1 1 0 2 0 1 0 3 0 2 1 0 4 0 5 0 1 0 5 0 9 0 5 1 0 6 0 14 ]
CatalanAer,A049310,InvTabl,[1 0 1 -1 0 1 0 -2 0 1 1 0 -3 0 1 0 3 0 -4 0 1 -1 0 6 0 -5 0 1 0 -4 ]
CatalanAer,,InvRevTabl,[]
CatalanAer,A053119,RevInvTabl,[1 1 0 1 0 -1 1 0 -2 0 1 0 -3 0 1 1 0 -4 0 3 0 1 0 -5 0 6 0 -1 1 0 ]
CatalanAer,,AccTabl,[1 0 1 1 1 2 0 2 2 3 2 2 5 5 6 0 5 5 9 9 10 5 5 14 14 19 19 20 0 14 ]
CatalanAer,,RevAccTabl,[1 1 0 2 1 1 3 2 2 0 6 5 5 2 2 10 9 9 5 5 0 20 19 19 14 14 5 5 35 ]
CatalanAer,A107430,AccRevTabl,[1 1 1 1 1 2 1 1 3 3 1 1 4 4 6 1 1 5 5 10 10 1 1 6 6 15 15 20 1 1 7 ]
CatalanAer,A033184,AntiDiagTabl,[1 0 1 1 0 0 2 2 1 0 0 0 5 5 3 1 0 0 0 0 14 14 9 4 1 0 0 0 0 0 42 ]
CatalanAer,,DiffxTabl,[1 0 2 1 0 3 0 4 0 4 2 0 9 0 5 0 10 0 16 0 6 5 0 27 0 25 0 7 0 28 0 ]
CatalanAer,,BinTabl,[1 0 1 1 1 2 0 2 4 7 2 2 5 11 21 0 5 10 19 36 66 5 5 14 32 64 120 ]
CatalanAer,,InvBinTabl,[1 0 1 1 -1 2 0 2 -4 7 2 -2 5 -11 21 0 5 -10 19 -36 66 5 -5 14 -32 ]
CatalanAer,A001405,RowSum,[1 1 2 3 6 10 20 35 70 126 252 462 924 1716 3432 6435 12870 24310 ]
CatalanAer,A126869,EvenSum,[1 0 2 0 6 0 20 0 70 0 252 0 924 0 3432 0 12870 0 48620 0 ]
CatalanAer,A138364,OddSum,[0 1 0 3 0 10 0 35 0 126 0 462 0 1716 0 6435 0 24310 0 92378 ]
CatalanAer,A001405,AltSum,[1 -1 2 -3 6 -10 20 -35 70 -126 252 -462 924 -1716 3432 -6435 12870 ]
CatalanAer,A090192,AntiDiagSum,[1 0 2 0 5 0 14 0 42 0 132 0 429 0 1430 0 4862 0 16796 0 ]
CatalanAer,A296663,AccSum,[1 1 4 7 20 38 96 187 444 874 2000 3958 8840 17548 38528 76627 ]
CatalanAer,A000079,AccRevSum,[1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 ]
CatalanAer,,RowLcm,[1 1 1 2 6 20 45 42 140 3024 3150 660 207900 34320 21021 450450 ]
CatalanAer,A059233,RowGcd,[1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 ]
CatalanAer,A101461,RowMax,[1 1 1 2 3 5 9 14 28 48 90 165 297 572 1001 2002 3640 7072 13260 ]
CatalanAer,A208983,ColMiddle,[1 0 0 2 3 0 0 14 20 0 0 110 154 0 0 910 1260 0 0 7752 ]
CatalanAer,A126596,ColECentral,[1 0 3 0 20 0 154 0 1260 0 ]
CatalanAer,A359108,ColOCentral,[0 2 0 14 0 110 0 910 0 7752 ]
CatalanAer,A090192,ColLeft,[1 0 1 0 2 0 5 0 14 0 42 0 132 0 429 0 1430 0 4862 0 ]
CatalanAer,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
CatalanAer,A344500,BinConv,[1 1 2 7 21 66 216 715 2395 8101 27598 94568 325612 1125632 3904512 ]
CatalanAer,A344500,InvBinConv,[1 1 2 7 21 66 216 715 2395 8101 27598 94568 325612 1125632 3904512 ]
CatalanAer,,TransSqrs,[0 1 4 11 28 66 152 339 748 1622 3496 7454 15832 33380 70192 146819 ]
CatalanAer,A045621,TransNat0,[0 1 2 5 10 22 44 93 186 386 772 1586 3172 6476 12952 26333 52666 ]
CatalanAer,A000079,TransNat1,[1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 ]
CatalanAer,A000004,DiagRow1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
CatalanAer,A000027,DiagRow2,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
CatalanAer,A000004,DiagRow3,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
CatalanAer,A090192,DiagCol1,[1 0 2 0 5 0 14 0 42 0 132 0 429 0 1430 0 4862 0 16796 0 ]
CatalanAer,A000245,DiagCol2,[1 0 3 0 9 0 28 0 90 0 297 0 1001 0 3432 0 11934 0 41990 0 ]
CatalanAer,A002057,DiagCol3,[1 0 4 0 14 0 48 0 165 0 572 0 2002 0 7072 0 25194 0 90440 0 ]
