Triangle,Trait,ANumber,Sequence
OEIS Similars: A111999 A259456 A269940,,,
central_cycle,Triangle ,A269940,[1 0 1 0 2 3 0 6 20 15 0 24 130 210 105 0 120 924 2380 2520 945 0 ]
central_cycle,TriRev   ,A000000,[1 1 0 3 2 0 15 20 6 0 105 210 130 24 0 945 2520 2380 924 120 0 ]
central_cycle,TriAcc   ,A000000,[1 0 1 0 2 5 0 6 26 41 0 24 154 364 469 0 120 1044 3424 5944 6889 0 ]
central_cycle,TriRevAcc,A000000,[1 1 0 5 2 0 41 26 6 0 469 364 154 24 0 6889 5944 3424 1044 120 0 ]
central_cycle,TriAccRev,A000000,[1 1 1 3 5 5 15 35 41 41 105 315 445 469 469 945 3465 5845 6769 ]
central_cycle,TriDiag  ,A106828,[1 0 0 1 0 2 0 6 3 0 24 20 0 120 130 15 0 720 924 210 0 5040 7308 ]
central_cycle,TriPoly  ,A000000,[1 0 1 0 1 1 0 5 2 1 0 41 16 3 1 0 469 212 33 4 1 0 6889 3928 603 ]
central_cycle,TriConv  ,A000000,[1 0 1 0 2 13 0 6 72 661 0 24 438 5894 72601 0 120 3012 54900 ]
central_cycle,TriBin   ,A000000,[1 0 1 0 2 7 0 6 32 93 0 24 178 672 1821 0 120 1164 5512 18064 ]
central_cycle,TriInvBin,A000000,[1 0 1 0 2 -1 0 6 8 -27 0 24 82 -108 -51 0 120 684 -32 -1936 3505 0 ]
central_cycle,Sum      ,A032188,[1 1 5 41 469 6889 123605 2620169 64074901 1775623081 54989743445 ]
central_cycle,EvenSum  ,A000000,[1 0 3 20 235 3444 61803 1310084 32037451 887811540 27494871723 ]
central_cycle,OddSum   ,A000000,[0 1 2 21 234 3445 61802 1310085 32037450 887811541 27494871722 ]
central_cycle,AltSum   ,A000012,[1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 ]
central_cycle,AccSum   ,A000000,[1 1 7 73 1011 17421 358583 8575169 233499227 7129778357 ]
central_cycle,AccRevSum,A000000,[1 1 7 73 1011 17421 358583 8575169 233499227 7129778357 ]
central_cycle,RevAccSum,A000000,[1 2 13 132 1803 30802 630257 15006352 407249783 12402075534 ]
central_cycle,DiagSum  ,A000166,[1 0 1 2 9 44 265 1854 14833 133496 1334961 14684570 176214841 ]
central_cycle,RowLcm   ,A000000,[1 1 6 60 10920 1413720 39840292800 6652505239380000 ]
central_cycle,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
central_cycle,RowMax   ,A000000,[1 1 3 20 210 2520 44100 866250 18858840 520059540 14980405440 ]
central_cycle,Middle   ,A000000,[1 0 2 6 130 924 26432 303660 11098780 177331440 7934927000 ]
central_cycle,Central  ,A000000,[1 2 130 26432 11098780 7934927000 8637235647040 13306928148113600 ]
central_cycle,LeftSide ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
central_cycle,RightSide,A001147,[1 1 3 15 105 945 10395 135135 2027025 34459425 654729075 ]
central_cycle,PosHalf  ,A000000,[1 1 7 79 1237 24817 607519 17560063 585330109 22104345409 ]
central_cycle,NegHalf  ,A001662,[1 1 -1 -1 13 -47 -73 2447 -16811 -15551 1726511 -18994849 10979677 ]
central_cycle,Bin      ,A000000,[1 1 7 93 1821 47185 1522375 58808449 2646575953 135989069049 ]
central_cycle,InvBin   ,A000000,[1 1 -1 -27 -51 3505 40655 -828919 -29640527 145577529 27107045415 ]
central_cycle,TransSqrs,A000000,[0 1 14 221 4114 89181 2213910 62017301 1936315234 66696441109 ]
central_cycle,TransNat0,A000000,[0 1 8 91 1334 23913 506652 12386183 343174882 10626452453 ]
central_cycle,TransNat1,A000000,[1 2 13 132 1803 30802 630257 15006352 407249783 12402075534 ]
central_cycle,DiagRow0 ,A001147,[1 1 3 15 105 945 10395 135135 2027025 34459425 654729075 ]
central_cycle,DiagRow1 ,A000906,[0 2 20 210 2520 34650 540540 9459450 183783600 3928374450 ]
central_cycle,DiagRow2 ,A000907,[0 6 130 2380 44100 866250 18288270 416215800 10199989800 ]
central_cycle,DiagRow3 ,A001784,[0 24 924 26432 705320 18858840 520059540 14980405440 453247114320 ]
central_cycle,DiagCol0 ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
central_cycle,DiagCol1 ,A000142,[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
central_cycle,DiagCol2 ,A000276,[3 20 130 924 7308 64224 623376 6636960 76998240 967524480 ]
central_cycle,DiagCol3 ,A000483,[15 210 2380 26432 303660 3678840 47324376 647536032 9418945536 ]
central_cycle,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
central_cycle,PolyRow1 ,A001477,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ]
central_cycle,PolyRow2 ,A045944,[0 5 16 33 56 85 120 161 208 261 320 385 456 533 616 705 800 901 ]
central_cycle,PolyRow3 ,A000000,[0 41 212 603 1304 2405 3996 6167 9008 12609 17060 22451 28872 ]
central_cycle,PolyCol0 ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
central_cycle,PolyCol1 ,A032188,[1 1 5 41 469 6889 123605 2620169 64074901 1775623081 54989743445 ]
central_cycle,PolyCol2 ,A000000,[1 2 16 212 3928 93536 2721808 93593216 3713245504 166956801728 ]
central_cycle,PolyCol3 ,A000000,[1 3 33 603 15417 506691 20351601 966015531 52906036329 ]
central_cycle,PolyDiag ,A000000,[1 1 16 603 42496 4849325 817557840 191243348471 59305251856384 ]
# central_cycle, 49 traits, 22 A-numbers,44%
