Triangle,Anum,Trait,Sequence
CentralSet,A269945,Tabl,[1 0 1 0 1 1 0 1 5 1 0 1 21 14 1 0 1 85 147 30 1 0 1 341 1408 627 ]
CentralSet,A008957,RevTabl,[1 1 0 1 1 0 1 5 1 0 1 14 21 1 0 1 30 147 85 1 0 1 55 627 1408 341 ]
CentralSet,A269944,InvTabl,[1 0 1 0 -1 1 0 4 -5 1 0 -36 49 -14 1 0 576 -820 273 -30 1 0 -14400 ]
CentralSet,A008955,RevInvTabl,[1 1 0 1 -1 0 1 -5 4 0 1 -14 49 -36 0 1 -30 273 -820 576 0 1 -55 ]
CentralSet,,InvRevTabl,[]
CentralSet,,AccTabl,[1 0 1 0 1 2 0 1 6 7 0 1 22 36 37 0 1 86 233 263 264 0 1 342 1750 ]
CentralSet,,RevAccTabl,[1 1 0 2 1 0 7 6 1 0 37 36 22 1 0 264 263 233 86 1 0 2433 2432 2377 ]
CentralSet,,AccRevTabl,[1 1 1 1 2 2 1 6 7 7 1 15 36 37 37 1 31 178 263 264 264 1 56 683 ]
CentralSet,,AntiDiagTabl,[1 0 0 1 0 1 0 1 1 0 1 5 0 1 21 1 0 1 85 14 0 1 341 147 1 0 1 1365 ]
CentralSet,,BinTabl,[1 0 1 0 1 3 0 1 7 19 0 1 23 80 187 0 1 87 405 1132 2476 0 1 343 ]
CentralSet,,InvBinTabl,[1 0 1 0 1 -1 0 1 3 -11 0 1 19 -46 67 0 1 83 -105 -52 476 0 1 339 ]
CentralSet,,DiffxTabl,[1 0 2 0 2 3 0 2 15 4 0 2 63 56 5 0 2 255 588 150 6 0 2 1023 5632 ]
CentralSet,A135920,RowSum,[1 1 2 7 37 264 2433 27913 386906 6346119 121159373 2655174768 ]
CentralSet,,EvenSum,[1 0 1 5 22 115 969 12896 206793 3528877 64056886 1297918107 ]
CentralSet,,OddSum,[0 1 1 2 15 149 1464 15017 180113 2817242 57102487 1357256661 ]
CentralSet,,AltSum,[1 -1 0 3 7 -34 -495 -2121 26680 711635 6954399 -59338554 ]
CentralSet,,AntiDiagSum,[1 0 1 1 2 6 23 100 490 2804 19103 151823 1357237 13334473 ]
CentralSet,,AccSum,[1 1 3 14 96 847 9335 125211 1991467 36918672 787155058 19074645427 ]
CentralSet,,AccRevSum,[1 2 5 21 126 1001 10129 126006 1877593 32888637 666757418 ]
CentralSet,,RowLcm,[1 1 1 5 42 24990 12439680 3123120 943260039381660 ]
CentralSet,A145737,RowGcd,[1 1 1 5 7 1 11 13 1 17 19 1 23 1 1 29 31 1 1 37 ]
CentralSet,,RowMax,[1 1 1 5 21 147 1408 13013 196053 3255330 53157079 1217854704 ]
CentralSet,,ColMiddle,[1 0 1 1 21 85 1408 13013 196053 3255330 46587905 1217854704 ]
CentralSet,A298851,ColECentral,[1 1 21 1408 196053 46587905 16875270660 8657594647800 ]
CentralSet,,ColOCentral,[0 1 85 13013 3255330 1217854704 638816292660 448016038000965 ]
CentralSet,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
CentralSet,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
CentralSet,,BinConv,[1 1 3 19 187 2476 43017 927207 24103963 740949940 26435241416 ]
CentralSet,,InvBinConv,[1 1 -1 -11 67 476 -13975 67803 3944843 -123221396 431500536 ]
CentralSet,,TransNat0,[0 1 3 14 89 737 7696 98093 1490687 26542518 545598045 12787451789 ]
CentralSet,,TransNat1,[1 2 5 21 126 1001 10129 126006 1877593 32888637 666757418 ]
CentralSet,,TransSqrs,[0 1 5 30 227 2169 25480 358993 5959213 114813254 2534015395 ]
CentralSet,A000330,DiagRow1,[0 1 5 14 30 55 91 140 204 285 385 506 650 819 1015 1240 1496 1785 ]
CentralSet,A060493,DiagRow2,[0 1 21 147 627 2002 5278 12138 25194 48279 86779 148005 241605 ]
CentralSet,A351105,DiagRow3,[0 1 85 1408 11440 61490 251498 846260 2458676 6369275 15047175 ]
CentralSet,A000012,DiagCol1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
CentralSet,A002450,DiagCol2,[1 5 21 85 341 1365 5461 21845 87381 349525 1398101 5592405 ]
CentralSet,A002451,DiagCol3,[1 14 147 1408 13013 118482 1071799 9668036 87099705 784246870 ]
CentralSet,,PolyTabl,[1 0 1 0 1 1 0 2 2 1 0 7 6 3 1 0 37 30 12 4 1 0 264 214 75 20 5 1 0 ]
CentralSet,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
CentralSet,A002378,PolyRow2,[0 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
CentralSet,,PolyRow3,[0 7 30 75 148 255 402 595 840 1143 1510 1947 2460 3055 3738 4515 ]
CentralSet,,PolyCol2,[1 2 6 30 214 2030 24486 362622 6430198 133915022 3224320710 ]
CentralSet,,PolyCol3,[1 3 12 75 651 7410 105969 1845291 38230932 925255515 25774036275 ]
CentralSet,,PolyDiag,[1 1 6 75 1492 42380 1603338 77175007 4572924232 325372117815 ]
CentralSet,,PosHalf,[1 1 3 15 121 1345 19371 351663 7791217 205355905 6332211795 ]
CentralSet,,NegHalf,[1 1 -1 -5 49 -135 -3441 80899 -776287 -12602319 862026335 ]
