Triangle,Anum,Trait,Sequence
ChebyshevS,A049310,Tabl,[1 0 1 -1 0 1 0 -2 0 1 1 0 -3 0 1 0 3 0 -4 0 1 -1 0 6 0 -5 0 1 0 -4 ]
ChebyshevS,A053119,RevTabl,[1 1 0 1 0 -1 1 0 -2 0 1 0 -3 0 1 1 0 -4 0 3 0 1 0 -5 0 6 0 -1 1 0 ]
ChebyshevS,A053121,InvTabl,[1 0 1 1 0 1 0 2 0 1 2 0 3 0 1 0 5 0 4 0 1 5 0 9 0 5 0 1 0 14 0 14 ]
ChebyshevS,,InvRevTabl,[]
ChebyshevS,A052173,RevInvTabl,[1 1 0 1 0 1 1 0 2 0 1 0 3 0 2 1 0 4 0 5 0 1 0 5 0 9 0 5 1 0 6 0 14 ]
ChebyshevS,,AccTabl,[1 0 1 -1 -1 0 0 -2 -2 -1 1 1 -2 -2 -1 0 3 3 -1 -1 0 -1 -1 5 5 0 0 ]
ChebyshevS,,RevAccTabl,[1 1 0 0 -1 -1 -1 -2 -2 0 -1 -2 -2 1 1 0 -1 -1 3 3 0 1 0 0 5 5 -1 ]
ChebyshevS,,AccRevTabl,[1 1 1 1 1 0 1 1 -1 -1 1 1 -2 -2 -1 1 1 -3 -3 0 0 1 1 -4 -4 2 2 1 1 ]
ChebyshevS,A007318,AntiDiagTabl,[1 0 -1 1 0 0 1 -2 1 0 0 0 -1 3 -3 1 0 0 0 0 1 -4 6 -4 1 0 0 0 0 0 ]
ChebyshevS,,DiffxTabl,[1 0 2 -1 0 3 0 -4 0 4 1 0 -9 0 5 0 6 0 -16 0 6 -1 0 18 0 -25 0 7 0 ]
ChebyshevS,,BinTabl,[1 0 1 -1 -1 0 0 -2 -4 -5 1 1 -2 -8 -16 0 3 6 5 -4 -24 -1 -1 5 17 ]
ChebyshevS,,InvBinTabl,[1 0 1 -1 1 0 0 -2 4 -5 1 -1 -2 8 -16 0 3 -6 5 4 -24 -1 1 5 -17 30 ]
ChebyshevS,A000484,RowSum,[1 1 0 -1 -1 0 1 1 0 -1 -1 0 1 1 0 -1 -1 0 1 1 ]
ChebyshevS,A014021,EvenSum,[1 0 0 0 -1 0 1 0 0 0 -1 0 1 0 0 0 -1 0 1 0 ]
ChebyshevS,A010051,OddSum,[0 1 0 -1 0 0 0 1 0 -1 0 0 0 1 0 -1 0 0 0 1 ]
ChebyshevS,A000484,AltSum,[1 -1 0 1 -1 0 1 -1 0 1 -1 0 1 -1 0 1 -1 0 1 -1 ]
ChebyshevS,A000007,AntiDiagSum,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
ChebyshevS,,AccSum,[1 1 -2 -5 -3 4 9 5 -6 -13 -7 8 17 9 -10 -21 -11 12 25 13 ]
ChebyshevS,,AccRevSum,[1 2 2 0 -3 -4 -1 4 6 2 -5 -8 -3 6 10 4 -7 -12 -5 8 ]
ChebyshevS,A073618,RowLcm,[1 1 1 -2 -3 12 30 60 210 840 1260 2520 13860 27720 180180 360360 ]
ChebyshevS,,RowGcd,[1 1 1 -2 -3 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 ]
ChebyshevS,A073028,RowMax,[1 1 1 2 3 4 6 10 15 21 35 56 84 126 210 330 495 792 1287 2002 ]
ChebyshevS,A081204,ColMiddle,[1 0 0 -2 -3 0 0 10 15 0 0 -56 -84 0 0 330 495 0 0 -2002 ]
ChebyshevS,A005809,ColECentral,[1 0 -3 0 15 0 -84 0 495 0 ]
ChebyshevS,A165817,ColOCentral,[0 -2 0 10 0 -56 0 330 0 -2002 ]
ChebyshevS,A000035,ColLeft,[1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 ]
ChebyshevS,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
ChebyshevS,A278415,BinConv,[1 1 0 -5 -16 -24 15 197 576 724 -1200 -8832 -22801 -21293 76440 ]
ChebyshevS,A278415,InvBinConv,[1 1 0 -5 -16 -24 15 197 576 724 -1200 -8832 -22801 -21293 76440 ]
ChebyshevS,,TransSqrs,[0 1 4 7 4 -8 -20 -15 12 39 32 -16 -64 -55 20 95 84 -24 -132 -119 ]
ChebyshevS,A186731,TransNat0,[0 1 2 1 -2 -4 -2 3 6 3 -4 -8 -4 5 10 5 -6 -12 -6 7 ]
ChebyshevS,,TransNat1,[1 2 2 0 -3 -4 -1 4 6 2 -5 -8 -3 6 10 4 -7 -12 -5 8 ]
ChebyshevS,A000004,DiagRow1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
ChebyshevS,A000027,DiagRow2,[-1 -2 -3 -4 -5 -6 -7 -8 -9 -10 -11 -12 -13 -14 -15 -16 -17 -18 -19 ]
ChebyshevS,A000004,DiagRow3,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
ChebyshevS,A027656,DiagCol1,[1 0 -2 0 3 0 -4 0 5 0 -6 0 7 0 -8 0 9 0 -10 0 ]
ChebyshevS,A000217,DiagCol2,[1 0 -3 0 6 0 -10 0 15 0 -21 0 28 0 -36 0 45 0 -55 0 ]
ChebyshevS,A000292,DiagCol3,[1 0 -4 0 10 0 -20 0 35 0 -56 0 84 0 -120 0 165 0 -220 0 ]
ChebyshevS,,PolyTabl,[1 0 1 -1 1 1 0 0 2 1 1 -1 3 3 1 0 -1 4 8 4 1 -1 0 5 21 15 5 1 0 1 ]
ChebyshevS,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
ChebyshevS,A067998,PolyRow2,[-1 0 3 8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 ]
ChebyshevS,A242135,PolyRow3,[0 -1 4 21 56 115 204 329 496 711 980 1309 1704 2171 2716 3345 4064 ]
ChebyshevS,A000027,PolyCol2,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
ChebyshevS,A001906,PolyCol3,[1 3 8 21 55 144 377 987 2584 6765 17711 46368 121393 317811 832040 ]
ChebyshevS,A097690,PolyDiag,[1 1 3 21 209 2640 40391 726103 15003009 350382231 9127651499 ]
ChebyshevS,A106853,PosHalf,[1 1 -3 -7 5 33 13 -119 -171 305 989 -231 -4187 -3263 13485 26537 ]
ChebyshevS,A106853,NegHalf,[1 1 -3 -7 5 33 13 -119 -171 305 989 -231 -4187 -3263 13485 26537 ]
