Triangle,Anum,Trait,Sequence
ChebyshevT,A053120,Tabl,[1 0 1 -1 0 2 0 -3 0 4 1 0 -8 0 8 0 5 0 -20 0 16 -1 0 18 0 -48 0 32 ]
ChebyshevT,A039991,RevTabl,[1 1 0 2 0 -1 4 0 -3 0 8 0 -8 0 1 16 0 -20 0 5 0 32 0 -48 0 18 0 -1 ]
ChebyshevT,,InvTabl,[]
ChebyshevT,,RevInvTabl,[]
ChebyshevT,,InvRevTabl,[]
ChebyshevT,,AccTabl,[1 0 1 -1 -1 1 0 -3 -3 1 1 1 -7 -7 1 0 5 5 -15 -15 1 -1 -1 17 17 ]
ChebyshevT,,RevAccTabl,[1 1 0 1 -1 -1 1 -3 -3 0 1 -7 -7 1 1 1 -15 -15 5 5 0 1 -31 -31 17 ]
ChebyshevT,,AccRevTabl,[1 1 1 2 2 1 4 4 1 1 8 8 0 0 1 16 16 -4 -4 1 1 32 32 -16 -16 2 2 1 ]
ChebyshevT,A079628,AntiDiagTabl,[1 0 -1 1 0 0 1 -3 2 0 0 0 -1 5 -8 4 0 0 0 0 1 -7 18 -20 8 0 0 0 0 ]
ChebyshevT,,BinTabl,[1 0 1 -1 -1 1 0 -3 -6 -5 1 1 -7 -23 -39 0 5 10 -5 -60 -159 -1 -1 ]
ChebyshevT,,InvBinTabl,[1 0 1 -1 1 1 0 -3 6 -5 1 -1 -7 23 -39 0 5 -10 -5 60 -159 -1 1 17 ]
ChebyshevT,,DiffxTabl,[1 0 2 -1 0 6 0 -6 0 16 1 0 -24 0 40 0 10 0 -80 0 96 -1 0 54 0 -240 ]
ChebyshevT,A000012,RowSum,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
ChebyshevT,A000035,EvenSum,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 ]
ChebyshevT,A000035,OddSum,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 ]
ChebyshevT,A000012,AltSum,[1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 ]
ChebyshevT,A000007,AntiDiagSum,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
ChebyshevT,A165900,AccSum,[1 1 -1 -5 -11 -19 -29 -41 -55 -71 -89 -109 -131 -155 -181 -209 ]
ChebyshevT,A002522,AccRevSum,[1 2 5 10 17 26 37 50 65 82 101 122 145 170 197 226 257 290 325 362 ]
ChebyshevT,,RowLcm,[1 1 2 12 8 80 288 448 1280 34560 89600 394240 1935360 5591040 ]
ChebyshevT,,RowGcd,[1 1 2 1 8 1 2 1 32 1 2 1 8 1 2 1 128 1 2 1 ]
ChebyshevT,,RowMax,[1 1 2 4 8 20 48 112 256 576 1280 2816 6912 16640 39424 92160 ]
ChebyshevT,,ColMiddle,[1 0 0 -3 -8 0 0 56 160 0 0 -1232 -3584 0 0 28800 84480 0 0 -695552 ]
ChebyshevT,A036909,ColECentral,[1 0 -8 0 160 0 -3584 0 84480 0 ]
ChebyshevT,,ColOCentral,[0 -3 0 56 0 -1232 0 28800 0 -695552 ]
ChebyshevT,A000035,ColLeft,[1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 ]
ChebyshevT,A011782,ColRight,[1 1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 ]
ChebyshevT,,BinConv,[1 1 1 -5 -39 -159 -419 -377 3265 23953 96361 242419 117417 ]
ChebyshevT,,InvBinConv,[1 1 1 -5 -39 -159 -419 -377 3265 23953 96361 242419 117417 ]
ChebyshevT,A000290,TransNat0,[0 1 4 9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 361 ]
ChebyshevT,A002522,TransNat1,[1 2 5 10 17 26 37 50 65 82 101 122 145 170 197 226 257 290 325 362 ]
ChebyshevT,A014820,TransSqrs,[0 1 8 33 96 225 456 833 1408 2241 3400 4961 7008 9633 12936 17025 ]
ChebyshevT,A000004,DiagRow1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
ChebyshevT,A001792,DiagRow2,[-1 -3 -8 -20 -48 -112 -256 -576 -1280 -2816 -6144 -13312 -28672 ]
ChebyshevT,A000004,DiagRow3,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
ChebyshevT,A193356,DiagCol1,[1 0 -3 0 5 0 -7 0 9 0 -11 0 13 0 -15 0 17 0 -19 0 ]
ChebyshevT,A001105,DiagCol2,[2 0 -8 0 18 0 -32 0 50 0 -72 0 98 0 -128 0 162 0 -200 0 ]
ChebyshevT,A002492,DiagCol3,[4 0 -20 0 56 0 -120 0 220 0 -364 0 560 0 -816 0 1140 0 -1540 0 ]
ChebyshevT,A101124,PolyTabl,[1 0 1 -1 1 1 0 1 2 1 1 1 7 3 1 0 1 26 17 4 1 -1 1 97 99 31 5 1 0 1 ]
ChebyshevT,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
ChebyshevT,A056220,PolyRow2,[-1 1 7 17 31 49 71 97 127 161 199 241 287 337 391 449 511 577 647 ]
ChebyshevT,A144129,PolyRow3,[0 1 26 99 244 485 846 1351 2024 2889 3970 5291 6876 8749 10934 ]
ChebyshevT,A001075,PolyCol2,[1 2 7 26 97 362 1351 5042 18817 70226 262087 978122 3650401 ]
ChebyshevT,A001541,PolyCol3,[1 3 17 99 577 3363 19601 114243 665857 3880899 22619537 131836323 ]
ChebyshevT,A115066,PolyDiag,[1 1 7 99 1921 47525 1431431 50843527 2081028097 96450076809 ]
ChebyshevT,A104537,PosHalf,[1 1 -2 -8 -8 16 64 64 -128 -512 -512 1024 4096 4096 -8192 -32768 ]
ChebyshevT,A104537,NegHalf,[1 1 -2 -8 -8 16 64 64 -128 -512 -512 1024 4096 4096 -8192 -32768 ]
