Triangle,Anum,Trait,Sequence
ChebyshevU,A053117,Tabl,[1 0 2 -1 0 4 0 -4 0 8 1 0 -12 0 16 0 6 0 -32 0 32 -1 0 24 0 -80 0 ]
ChebyshevU,A053118,RevTabl,[1 2 0 4 0 -1 8 0 -4 0 16 0 -12 0 1 32 0 -32 0 6 0 64 0 -80 0 24 0 ]
ChebyshevU,,InvTabl,[]
ChebyshevU,,RevInvTabl,[]
ChebyshevU,,InvRevTabl,[]
ChebyshevU,,AccTabl,[1 0 2 -1 -1 3 0 -4 -4 4 1 1 -11 -11 5 0 6 6 -26 -26 6 -1 -1 23 23 ]
ChebyshevU,,RevAccTabl,[1 2 0 3 -1 -1 4 -4 -4 0 5 -11 -11 1 1 6 -26 -26 6 6 0 7 -57 -57 23 ]
ChebyshevU,,AccRevTabl,[1 2 2 4 4 3 8 8 4 4 16 16 4 4 5 32 32 0 0 6 6 64 64 -16 -16 8 8 7 ]
ChebyshevU,A013609,AntiDiagTabl,[1 0 -1 2 0 0 1 -4 4 0 0 0 -1 6 -12 8 0 0 0 0 1 -8 24 -32 16 0 0 0 ]
ChebyshevU,,BinTabl,[1 0 2 -1 -1 3 0 -4 -8 -4 1 1 -11 -35 -55 0 6 12 -14 -104 -258 -1 ]
ChebyshevU,,InvBinTabl,[1 0 2 -1 1 3 0 -4 8 -4 1 -1 -11 35 -55 0 6 -12 -14 104 -258 -1 1 ]
ChebyshevU,,DiffxTabl,[1 0 4 -1 0 12 0 -8 0 32 1 0 -36 0 80 0 12 0 -128 0 192 -1 0 72 0 ]
ChebyshevU,A000027,RowSum,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
ChebyshevU,A193356,EvenSum,[1 0 3 0 5 0 7 0 9 0 11 0 13 0 15 0 17 0 19 0 ]
ChebyshevU,A237420,OddSum,[0 2 0 4 0 6 0 8 0 10 0 12 0 14 0 16 0 18 0 20 ]
ChebyshevU,A000027,AltSum,[1 -2 3 -4 5 -6 7 -8 9 -10 11 -12 13 -14 15 -16 17 -18 19 -20 ]
ChebyshevU,A000035,AntiDiagSum,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 ]
ChebyshevU,,AccSum,[1 2 1 -4 -15 -34 -63 -104 -159 -230 -319 -428 -559 -714 -895 -1104 ]
ChebyshevU,A006527,AccRevSum,[1 4 11 24 45 76 119 176 249 340 451 584 741 924 1135 1376 1649 ]
ChebyshevU,,RowLcm,[1 2 4 8 48 96 960 1920 26880 107520 322560 645120 14192640 ]
ChebyshevU,,RowGcd,[1 2 4 4 4 2 8 8 8 2 4 4 4 2 16 16 16 2 4 4 ]
ChebyshevU,,RowMax,[1 2 4 8 16 32 80 192 448 1024 2304 5120 11520 28160 67584 159744 ]
ChebyshevU,,ColMiddle,[1 0 0 -4 -12 0 0 80 240 0 0 -1792 -5376 0 0 42240 126720 0 0 ]
ChebyshevU,A006588,ColECentral,[1 0 -12 0 240 0 -5376 0 126720 0 ]
ChebyshevU,,ColOCentral,[0 -4 0 80 0 -1792 0 42240 0 -1025024 ]
ChebyshevU,A000035,ColLeft,[1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 ]
ChebyshevU,A000079,ColRight,[1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 ]
ChebyshevU,,BinConv,[1 2 3 -4 -55 -258 -777 -1160 3393 34970 158763 459252 544505 ]
ChebyshevU,,InvBinConv,[1 2 3 -4 -55 -258 -777 -1160 3393 34970 158763 459252 544505 ]
ChebyshevU,A007290,TransNat0,[0 2 8 20 40 70 112 168 240 330 440 572 728 910 1120 1360 1632 1938 ]
ChebyshevU,A006527,TransNat1,[1 4 11 24 45 76 119 176 249 340 451 584 741 924 1135 1376 1649 ]
ChebyshevU,,TransSqrs,[0 2 16 68 208 518 1120 2184 3936 6666 10736 16588 24752 35854 ]
ChebyshevU,A000004,DiagRow1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
ChebyshevU,A001787,DiagRow2,[-1 -4 -12 -32 -80 -192 -448 -1024 -2304 -5120 -11264 -24576 -53248 ]
ChebyshevU,A000004,DiagRow3,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
ChebyshevU,A237420,DiagCol1,[2 0 -4 0 6 0 -8 0 10 0 -12 0 14 0 -16 0 18 0 -20 0 ]
