Triangle,Anum,Trait,Sequence
CompositionMax,A126198,Tabl,[1 0 1 0 1 2 0 1 3 4 0 1 5 7 8 0 1 8 13 15 16 0 1 13 24 29 31 32 0 ]
CompositionMax,,RevTabl,[1 1 0 2 1 0 4 3 1 0 8 7 5 1 0 16 15 13 8 1 0 32 31 29 24 13 1 0 64 ]
CompositionMax,,InvTabl,[]
CompositionMax,,InvRevTabl,[]
CompositionMax,,RevInvTabl,[]
CompositionMax,,AccTabl,[1 0 1 0 1 3 0 1 4 8 0 1 6 13 21 0 1 9 22 37 53 0 1 14 38 67 98 130 ]
CompositionMax,,RevAccTabl,[1 1 0 3 1 0 8 4 1 0 21 13 6 1 0 53 37 22 9 1 0 130 98 67 38 14 1 0 ]
CompositionMax,,AccRevTabl,[1 1 1 2 3 3 4 7 8 8 8 15 20 21 21 16 31 44 52 53 53 32 63 92 116 ]
CompositionMax,,AntiDiagTabl,[1 0 0 1 0 1 0 1 2 0 1 3 0 1 5 4 0 1 8 7 0 1 13 13 8 0 1 21 24 15 0 ]
CompositionMax,,DiffxTabl,[1 0 2 0 2 6 0 2 9 16 0 2 15 28 40 0 2 24 52 75 96 0 2 39 96 145 ]
CompositionMax,,BinTabl,[1 0 1 0 1 4 0 1 5 16 0 1 7 25 70 0 1 10 40 119 306 0 1 15 66 207 ]
CompositionMax,,InvBinTabl,[1 0 1 0 1 0 0 1 1 -2 0 1 3 -5 6 0 1 6 -8 7 -4 0 1 11 -12 7 1 -10 0 ]
CompositionMax,A039671,RowSum,[1 1 3 8 21 53 130 310 724 1661 3757 8398 18588 40800 88918 192592 ]
CompositionMax,,EvenSum,[1 0 2 3 13 23 74 140 395 766 2003 3932 9780 19320 46396 91990 ]
CompositionMax,,OddSum,[0 1 1 5 8 30 56 170 329 895 1754 4466 8808 21480 42522 100602 ]
CompositionMax,,AltSum,[1 -1 1 -2 5 -7 18 -30 66 -129 249 -534 972 -2160 3874 -8612 15623 ]
CompositionMax,,AntiDiagSum,[1 0 1 1 3 4 10 16 35 61 124 224 440 810 1564 2917 5591 10524 20132 ]
CompositionMax,,AccSum,[1 1 4 13 41 122 348 950 2509 6437 16131 39628 95728 227930 535974 ]
CompositionMax,,AccRevSum,[1 2 8 27 85 249 692 1840 4731 11834 28953 69546 164504 384070 ]
CompositionMax,,RowLcm,[1 1 2 12 280 3120 1121952 2705472 2798064000 58511872024320 ]
CompositionMax,A062557,RowGcd,[1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
CompositionMax,A011782,RowMax,[1 1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 ]
CompositionMax,,ColMiddle,[1 0 1 1 5 8 24 44 108 208 464 912 1936 3840 7936 15808 32192 64256 ]
CompositionMax,A008464,ColECentral,[1 1 5 24 108 464 1936 7936 32192 129792 ]
CompositionMax,A100575,ColOCentral,[0 1 8 44 208 912 3840 15808 64256 259328 ]
CompositionMax,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
CompositionMax,A011782,ColRight,[1 1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 ]
CompositionMax,,BinConv,[1 1 4 16 70 306 1334 5734 24420 102940 430360 1785829 7364042 ]
CompositionMax,,InvBinConv,[1 1 0 -2 6 -4 -10 50 -140 310 -456 199 1298 -5953 19032 -51192 ]
CompositionMax,,TransSqrs,[0 1 9 49 212 790 2660 8306 24509 69171 188414 498542 1287768 ]
CompositionMax,,TransNat0,[0 1 5 19 64 196 562 1530 4007 10173 25196 61148 145916 343270 ]
CompositionMax,,TransNat1,[1 2 8 27 85 249 692 1840 4731 11834 28953 69546 164504 384070 ]
CompositionMax,A000225,DiagRow1,[0 1 3 7 15 31 63 127 255 511 1023 2047 4095 8191 16383 32767 65535 ]
CompositionMax,A344920,DiagRow2,[0 1 5 13 29 61 125 253 509 1021 2045 4093 8189 16381 32765 65533 ]
CompositionMax,A159741,DiagRow3,[0 1 8 24 56 120 248 504 1016 2040 4088 8184 16376 32760 65528 ]
CompositionMax,A000012,DiagCol1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
CompositionMax,A000045,DiagCol2,[2 3 5 8 13 21 34 55 89 144 233 377 610 987 1597 2584 4181 6765 ]
CompositionMax,A000073,DiagCol3,[4 7 13 24 44 81 149 274 504 927 1705 3136 5768 10609 19513 35890 ]
CompositionMax,,PolyTabl,[1 0 1 0 1 1 0 3 2 1 0 8 10 3 1 0 21 46 21 4 1 0 53 206 138 36 5 1 ]
CompositionMax,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
CompositionMax,A014105,PolyRow2,[0 3 10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 ]
CompositionMax,,PolyRow3,[0 8 46 138 308 580 978 1526 2248 3168 4310 5698 7356 9308 11578 ]
CompositionMax,,PolyCol2,[1 2 10 46 206 890 3750 15510 63378 256902 1036038 4164690 16708062 ]
CompositionMax,,PolyCol3,[1 3 21 138 885 5529 33978 206634 1249086 7524723 45245001 ]
CompositionMax,,PolyDiag,[1 1 10 138 2580 61205 1777290 61294450 2451008136 111513860901 ]
CompositionMax,,PosHalf,[1 1 4 14 50 178 642 2322 8466 31026 114354 423666 1577202 5897586 ]
CompositionMax,,NegHalf,[1 1 0 2 6 -10 70 -170 598 -1354 3382 -4490 -3978 88566 -530954 ]
