Triangle,Trait,ANumber,Sequence
OEIS Similars: A048004,,,
compo,Triangle ,A000000,[1 0 1 0 1 1 0 1 2 1 0 1 4 2 1 0 1 7 5 2 1 0 1 12 11 5 2 1 0 1 20 ]
compo,TriRev   ,A000000,[1 1 0 1 1 0 1 2 1 0 1 2 4 1 0 1 2 5 7 1 0 1 2 5 11 12 1 0 1 2 5 12 ]
compo,TriInv   ,A000000,[1 0 1 0 -1 1 0 1 -2 1 0 1 0 -2 1 0 -1 3 -1 -2 1 0 -3 4 1 -1 -2 1 0 ]
compo,TriRevInv,A000000,[1 1 0 1 -1 0 1 -2 1 0 1 -2 0 1 0 1 -2 -1 3 -1 0 1 -2 -1 1 4 -3 0 1 ]
compo,TriAcc   ,A000000,[1 0 1 0 1 2 0 1 3 4 0 1 5 7 8 0 1 8 13 15 16 0 1 13 24 29 31 32 0 ]
compo,TriRevAcc,A000000,[1 1 0 2 1 0 4 3 1 0 8 7 5 1 0 16 15 13 8 1 0 32 31 29 24 13 1 0 64 ]
compo,TriAccRev,A000000,[1 1 1 1 2 2 1 3 4 4 1 3 7 8 8 1 3 8 15 16 16 1 3 8 19 31 32 32 1 3 ]
compo,TriDiag  ,A000000,[1 0 0 1 0 1 0 1 1 0 1 2 0 1 4 1 0 1 7 2 0 1 12 5 1 0 1 20 11 2 0 1 ]
compo,TriPoly  ,A000000,[1 0 1 0 1 1 0 2 2 1 0 4 6 3 1 0 8 18 12 4 1 0 16 50 48 20 5 1 0 32 ]
compo,TriConv  ,A000000,[1 0 1 0 1 2 0 1 3 6 0 1 5 11 22 0 1 8 20 41 80 0 1 13 36 76 152 ]
compo,TriBin   ,A000000,[1 0 1 0 1 3 0 1 4 10 0 1 6 17 37 0 1 9 29 68 136 0 1 14 50 125 262 ]
compo,TriInvBin,A000000,[1 0 1 0 1 -1 0 1 0 -2 0 1 2 -7 13 0 1 5 -13 20 -24 0 1 10 -22 29 ]
compo,Sum      ,A011782,[1 1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 ]
compo,EvenSum  ,A103422,[1 0 1 2 5 9 18 34 66 127 249 490 972 1936 3874 7772 15623 31439 ]
compo,OddSum   ,A103421,[0 1 1 2 3 7 14 30 62 129 263 534 1076 2160 4318 8612 17145 34097 ]
compo,AltSum   ,A000000,[1 -1 0 0 2 2 4 4 4 -2 -14 -44 -104 -224 -444 -840 -1522 -2658 ]
compo,AccSum   ,A039671,[1 1 3 8 21 53 130 310 724 1661 3757 8398 18588 40800 88918 192592 ]
compo,AccRevSum,A039671,[1 1 3 8 21 53 130 310 724 1661 3757 8398 18588 40800 88918 192592 ]
