Triangle,Anum,Trait,Sequence
Delannoy,A008288,Tabl,[1 1 1 1 3 1 1 5 5 1 1 7 13 7 1 1 9 25 25 9 1 1 11 41 63 41 11 1 1 ]
Delannoy,A008288,RevTabl,[1 1 1 1 3 1 1 5 5 1 1 7 13 7 1 1 9 25 25 9 1 1 11 41 63 41 11 1 1 ]
Delannoy,A103136,InvTabl,[1 -1 1 2 -3 1 -6 10 -5 1 22 -38 22 -7 1 -90 158 -98 38 -9 1 394 ]
Delannoy,A033878,RevInvTabl,[1 1 -1 1 -3 2 1 -5 10 -6 1 -7 22 -38 22 1 -9 38 -98 158 -90 1 -11 ]
Delannoy,A103136,InvRevTabl,[1 -1 1 2 -3 1 -6 10 -5 1 22 -38 22 -7 1 -90 158 -98 38 -9 1 394 ]
Delannoy,,AccTabl,[1 1 2 1 4 5 1 6 11 12 1 8 21 28 29 1 10 35 60 69 70 1 12 53 116 ]
Delannoy,A103415,RevAccTabl,[1 2 1 5 4 1 12 11 6 1 29 28 21 8 1 70 69 60 35 10 1 169 168 157 ]
Delannoy,,AccRevTabl,[1 1 2 1 4 5 1 6 11 12 1 8 21 28 29 1 10 35 60 69 70 1 12 53 116 ]
Delannoy,,AntiDiagTabl,[1 1 1 1 1 3 1 5 1 1 7 5 1 9 13 1 1 11 25 7 1 13 41 25 1 1 15 61 63 ]
Delannoy,,BinTabl,[1 1 2 1 4 8 1 6 16 32 1 8 28 68 136 1 10 44 128 296 592 1 12 64 ]
Delannoy,,InvBinTabl,[1 1 0 1 2 -4 1 4 -4 0 1 6 0 -12 24 1 8 8 -24 24 0 1 10 20 -28 -8 ]
Delannoy,,DiffxTabl,[1 1 2 1 6 3 1 10 15 4 1 14 39 28 5 1 18 75 100 45 6 1 22 123 252 ]
Delannoy,A000129,RowSum,[1 2 5 12 29 70 169 408 985 2378 5741 13860 33461 80782 195025 ]
Delannoy,A116404,EvenSum,[1 1 2 6 15 35 84 204 493 1189 2870 6930 16731 40391 97512 235416 ]
Delannoy,,OddSum,[0 1 3 6 14 35 85 204 492 1189 2871 6930 16730 40391 97513 235416 ]
Delannoy,A000035,AltSum,[1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 ]
Delannoy,A000073,AntiDiagSum,[1 1 2 4 7 13 24 44 81 149 274 504 927 1705 3136 5768 10609 19513 ]
Delannoy,A026937,AccSum,[1 3 10 30 87 245 676 1836 4925 13079 34446 90090 234227 605865 ]
Delannoy,A026937,AccRevSum,[1 3 10 30 87 245 676 1836 4925 13079 34446 90090 234227 605865 ]
Delannoy,,RowLcm,[1 1 3 5 91 225 28413 102297 2100945 493191777 687316036275 ]
Delannoy,A138243,RowGcd,[1 1 3 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Delannoy,A026003,RowMax,[1 1 3 5 13 25 63 129 321 681 1683 3653 8989 19825 48639 108545 ]
Delannoy,A026003,ColMiddle,[1 1 3 5 13 25 63 129 321 681 1683 3653 8989 19825 48639 108545 ]
Delannoy,A001850,ColECentral,[1 3 13 63 321 1683 8989 48639 265729 1462563 ]
Delannoy,A002002,ColOCentral,[1 5 25 129 681 3653 19825 108545 598417 3317445 ]
Delannoy,A000012,ColLeft,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Delannoy,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
