Triangle,Anum,Trait,Sequence
Euler,A247453,Tabl,[1 -1 1 1 -2 1 -2 3 -3 1 5 -8 6 -4 1 -16 25 -20 10 -5 1 61 -96 75 ]
Euler,,RevTabl,[1 1 -1 1 -2 1 1 -3 3 -2 1 -4 6 -8 5 1 -5 10 -20 25 -16 1 -6 15 -40 ]
Euler,A109449,InvTabl,[1 1 1 1 2 1 2 3 3 1 5 8 6 4 1 16 25 20 10 5 1 61 96 75 40 15 6 1 ]
Euler,,RevInvTabl,[1 1 1 1 2 1 1 3 3 2 1 4 6 8 5 1 5 10 20 25 16 1 6 15 40 75 96 61 1 ]
Euler,,InvRevTabl,[]
Euler,,AccTabl,[1 -1 0 1 -1 0 -2 1 -2 -1 5 -3 3 -1 0 -16 9 -11 -1 -6 -5 61 -35 40 ]
Euler,,RevAccTabl,[1 0 -1 0 -1 1 -1 -2 1 -2 0 -1 3 -3 5 -5 -6 -1 -11 9 -16 10 9 15 0 ]
Euler,,AccRevTabl,[1 1 0 1 -1 0 1 -2 1 -1 1 -3 3 -5 0 1 -4 6 -14 11 -5 1 -5 10 -30 45 ]
Euler,,AntiDiagTabl,[1 -1 1 1 -2 -2 5 3 1 -16 -8 -3 61 25 6 1 -272 -96 -20 -4 1385 427 ]
Euler,,BinTabl,[1 -1 0 1 -1 -2 -2 1 1 -1 5 -3 -5 -5 -6 -16 9 14 9 -1 -15 61 -35 ]
Euler,,InvBinTabl,[1 -1 2 1 -3 6 -2 5 -11 21 5 -13 27 -51 90 -16 41 -86 161 -281 467 ]
Euler,,DiffxTabl,[1 -1 2 1 -4 3 -2 6 -9 4 5 -16 18 -16 5 -16 50 -60 40 -25 6 61 -192 ]
Euler,A062162,RowSum,[1 0 0 -1 0 -5 10 -61 280 -1665 10470 -73621 561660 -4650425 ]
Euler,A062272,EvenSum,[1 -1 2 -5 12 -41 152 -685 3472 -19921 126752 -887765 6781632 ]
Euler,A062161,OddSum,[0 1 -2 4 -12 36 -142 624 -3192 18256 -116282 814144 -6219972 ]
Euler,A000667,AltSum,[1 -2 4 -9 24 -77 294 -1309 6664 -38177 243034 -1701909 13001604 ]
Euler,A343845,AntiDiagSum,[1 -1 2 -4 9 -27 93 -392 1898 -10493 64885 -443916 3326317 ]
Euler,,AccSum,[1 -1 0 -4 4 -30 100 -558 3008 -19170 131820 -998622 8185032 ]
Euler,A337443,AccRevSum,[1 1 0 -1 -4 -5 -20 9 -208 855 -6180 41549 -321792 2651155 ]
Euler,,RowLcm,[1 1 2 6 120 400 146400 8710800 6434377600 718076540160 ]
Euler,A062557,RowGcd,[1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Euler,A065619,RowMax,[1 1 2 3 8 25 96 427 2176 12465 79360 555731 4245504 35135945 ]
Euler,,ColMiddle,[1 -1 -2 3 6 -20 -40 175 350 -2016 -4032 28182 56364 -466752 ]
Euler,A343846,ColECentral,[1 -2 6 -40 350 -4032 56364 -933504 17824950 -385848320 ]
Euler,,ColOCentral,[-1 3 -20 175 -2016 28182 -466752 8912475 -192924160 4667028938 ]
Euler,A000111,ColLeft,[1 -1 1 -2 5 -16 61 -272 1385 -7936 50521 -353792 2702765 -22368256 ]
Euler,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Euler,,BinConv,[1 0 -2 -1 -6 -15 0 -271 574 -5379 12408 -63391 -355740 5907811 ]
Euler,,InvBinConv,[1 2 6 21 90 467 2824 19383 148414 1251935 11523136 114837943 ]
Euler,,TransNat0,[0 1 0 0 -4 0 -30 70 -488 2520 -16650 115170 -883452 7301580 ]
Euler,A337443,TransNat1,[1 1 0 -1 -4 -5 -20 9 -208 855 -6180 41549 -321792 2651155 ]
Euler,,TransSqrs,[0 1 2 0 -4 -20 -30 -140 72 -1872 8550 -67980 498588 -4183296 ]
Euler,A000027,DiagRow1,[-1 -2 -3 -4 -5 -6 -7 -8 -9 -10 -11 -12 -13 -14 -15 -16 -17 -18 -19 ]
Euler,A000217,DiagRow2,[1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 ]
Euler,A007290,DiagRow3,[-2 -8 -20 -40 -70 -112 -168 -240 -330 -440 -572 -728 -910 -1120 ]
Euler,A065619,DiagCol1,[1 -2 3 -8 25 -96 427 -2176 12465 -79360 555731 -4245504 35135945 ]
Euler,A162171,DiagCol2,[1 -3 6 -20 75 -336 1708 -9792 62325 -436480 3334386 -27595776 ]
Euler,,DiagCol3,[1 -4 10 -40 175 -896 5124 -32640 228525 -1745920 14449006 ]
Euler,,PolyTabl,[1 -1 1 1 0 1 -2 0 1 1 5 -1 1 2 1 -16 0 0 4 3 1 61 -5 -3 7 9 4 1 ]
Euler,A022958,PolyRow1,[-1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ]
Euler,A174902,PolyRow2,[1 0 1 4 9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 ]
Euler,A024001,PolyRow3,[-2 -1 0 7 26 63 124 215 342 511 728 999 1330 1727 2196 2743 3374 ]
Euler,A102590,PolyCol2,[1 1 1 0 -3 -14 -39 -130 -263 -1214 -179 -21810 98277 -1021214 ]
Euler,,PolyCol3,[1 2 4 7 8 -13 -146 -773 -3352 -13633 -52046 -202253 -724012 ]
Euler,,PolyDiag,[1 0 1 7 69 859 12985 231155 4738153 109925183 2847749421 ]
Euler,A343843,PosHalf,[1 -1 1 -9 33 -241 1761 -15929 161473 -1853281 23584321 -330371049 ]
Euler,A000834,NegHalf,[1 3 9 35 177 1123 8569 76355 777697 8911683 113466729 1589173475 ]
