Triangle,Anum,Trait,Sequence
EulerSec,A119879,Tabl,[1 0 1 -1 0 1 0 -3 0 1 5 0 -6 0 1 0 25 0 -10 0 1 -61 0 75 0 -15 0 1 ]
EulerSec,A153641,RevTabl,[1 1 0 1 0 -1 1 0 -3 0 1 0 -6 0 5 1 0 -10 0 25 0 1 0 -15 0 75 0 -61 ]
EulerSec,A119467,InvTabl,[1 0 1 1 0 1 0 3 0 1 1 0 6 0 1 0 5 0 10 0 1 1 0 15 0 15 0 1 0 7 0 ]
EulerSec,,InvRevTabl,[]
EulerSec,A141665,RevInvTabl,[1 1 0 1 0 1 1 0 3 0 1 0 6 0 1 1 0 10 0 5 0 1 0 15 0 15 0 1 1 0 21 ]
EulerSec,,AccTabl,[1 0 1 -1 -1 0 0 -3 -3 -2 5 5 -1 -1 0 0 25 25 15 15 16 -61 -61 14 ]
EulerSec,,RevAccTabl,[1 1 0 0 -1 -1 -2 -3 -3 0 0 -1 -1 5 5 16 15 15 25 25 0 0 -1 -1 14 ]
EulerSec,,AccRevTabl,[1 1 1 1 1 0 1 1 -2 -2 1 1 -5 -5 0 1 1 -9 -9 16 16 1 1 -14 -14 61 ]
EulerSec,,AntiDiagTabl,[1 0 -1 1 0 0 5 -3 1 0 0 0 -61 25 -6 1 0 0 0 0 1385 -427 75 -10 1 0 ]
EulerSec,,DiffxTabl,[1 0 2 -1 0 3 0 -6 0 4 5 0 -18 0 5 0 50 0 -40 0 6 -61 0 225 0 -75 0 ]
EulerSec,,BinTabl,[1 0 1 -1 -1 0 0 -3 -6 -8 5 5 -1 -13 -30 0 25 50 65 60 26 -61 -61 ]
EulerSec,,InvBinTabl,[1 0 1 -1 1 0 0 -3 6 -8 5 -5 -1 13 -30 0 25 -50 65 -60 26 -61 61 14 ]
EulerSec,A009006,RowSum,[1 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
EulerSec,A000007,EvenSum,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
EulerSec,A350972,OddSum,[0 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
EulerSec,A009006,AltSum,[1 -1 0 2 0 -16 0 272 0 -7936 0 353792 0 -22368256 0 1903757312 0 ]
EulerSec,,AntiDiagSum,[1 0 0 0 3 0 -41 0 1024 0 -39603 0 2204565 0 -167343104 0 ]
EulerSec,,AccSum,[1 1 -2 -8 8 96 -96 -2176 2176 79360 -79360 -4245504 4245504 ]
EulerSec,A009725,AccRevSum,[1 2 2 -2 -8 16 96 -272 -2176 7936 79360 -353792 -4245504 22368256 ]
EulerSec,,RowLcm,[1 1 1 -3 30 50 4575 32025 11827900 21290220 2689008011550 ]
EulerSec,A155457,RowGcd,[1 1 1 -3 1 5 1 7 1 3 1 11 1 13 1 1 1 17 1 19 ]
EulerSec,,RowMax,[1 1 1 3 6 25 75 427 1708 12465 62325 555731 3334386 35135945 ]
EulerSec,,ColMiddle,[1 0 0 -3 -6 0 0 175 350 0 0 -28182 -56364 0 0 8912475 17824950 0 0 ]
EulerSec,A214445,ColECentral,[1 0 -6 0 350 0 -56364 0 17824950 0 ]
EulerSec,,ColOCentral,[0 -3 0 175 0 -28182 0 8912475 0 -4667028938 ]
EulerSec,A122045,ColLeft,[1 0 -1 0 5 0 -61 0 1385 0 -50521 0 2702765 0 -199360981 0 ]
EulerSec,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
EulerSec,,BinConv,[1 1 0 -8 -30 26 840 2696 -22722 -240146 282480 19114976 71133348 ]
EulerSec,,InvBinConv,[1 1 0 -8 -30 26 840 2696 -22722 -240146 282480 19114976 71133348 ]
EulerSec,,TransSqrs,[0 1 4 6 -8 -40 96 672 -2176 -19584 79360 872960 -4245504 -55191552 ]
EulerSec,A109573,TransNat0,[0 1 2 0 -8 0 96 0 -2176 0 79360 0 -4245504 0 313155584 0 ]
EulerSec,A009725,TransNat1,[1 2 2 -2 -8 16 96 -272 -2176 7936 79360 -353792 -4245504 22368256 ]
EulerSec,A000004,DiagRow1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
