Triangle,Trait,ANumber,Sequence
OEIS Similars: A162660 A350972 A155585 A009006 A000182,,,
euler_tan,Triangle ,A162660,[0 1 0 0 2 0 -2 0 3 0 0 -8 0 4 0 16 0 -20 0 5 0 0 96 0 -40 0 6 0 ]
euler_tan,TriRev   ,nothing,[0 0 1 0 2 0 0 3 0 -2 0 4 0 -8 0 0 5 0 -20 0 16 0 6 0 -40 0 96 0 0 ]
euler_tan,TriAcc   ,nothing,[0 1 1 0 2 2 -2 -2 1 1 0 -8 -8 -4 -4 16 16 -4 -4 1 1 0 96 96 56 56 ]
euler_tan,TriRevAcc,nothing,[0 1 1 2 2 0 1 1 -2 -2 -4 -4 -8 -8 0 1 1 -4 -4 16 16 62 62 56 56 96 ]
euler_tan,TriAccRev,nothing,[0 0 1 0 2 2 0 3 3 1 0 4 4 -4 -4 0 5 5 -15 -15 1 0 6 6 -34 -34 62 ]
euler_tan,TriDiag  ,nothing,[0 1 0 0 -2 2 0 0 0 16 -8 3 0 0 0 0 -272 96 -20 4 0 0 0 0 0 7936 ]
euler_tan,TriPoly  ,nothing,[0 1 0 0 1 0 -2 2 1 0 0 1 4 1 0 16 -4 10 6 1 0 0 1 16 25 8 1 0 -272 ]
euler_tan,TriConv  ,nothing,[0 0 1 0 0 4 0 -2 0 13 0 0 -16 0 80 0 16 0 -92 0 681 0 0 192 0 -928 ]
euler_tan,TriBin   ,nothing,[0 1 1 0 2 4 -2 -2 1 7 0 -8 -16 -20 -16 16 16 -4 -44 -99 -159 0 96 ]
euler_tan,TriInvBin,nothing,[0 1 -1 0 2 -4 -2 2 1 -7 0 -8 16 -20 16 16 -16 -4 44 -99 159 0 96 ]
euler_tan,Sum      ,A009832,[0 1 2 1 -4 1 62 1 -1384 1 50522 1 -2702764 1 199360982 1 ]
euler_tan,EvenSum  ,A000035,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 ]
euler_tan,OddSum   ,A009744,[0 0 2 0 -4 0 62 0 -1384 0 50522 0 -2702764 0 199360982 0 ]
euler_tan,AltSum   ,A009832,[0 1 -2 1 4 1 -62 1 1384 1 -50522 1 2702764 1 -199360982 1 ]
euler_tan,AccSum   ,nothing,[0 2 4 -2 -24 26 428 -426 -12464 12466 555732 -555730 -35135944 ]
euler_tan,AccRevSum,nothing,[0 2 4 -2 -24 26 428 -426 -12464 12466 555732 -555730 -35135944 ]
euler_tan,RevAccSum,nothing,[0 1 4 7 0 -19 68 435 -1376 -12455 50532 555743 -2702752 -35135931 ]
euler_tan,DiagSum  ,nothing,[0 1 0 0 0 11 0 -192 0 6061 0 -283392 0 18528503 0 -1616537472 0 ]
euler_tan,RowLcm   ,nothing,[1 1 2 6 8 80 480 28560 15232 8499456 84994560 215347883520 ]
euler_tan,RowGcd   ,A006519,[1 1 2 1 4 1 2 1 8 1 2 1 4 1 2 1 16 1 2 1 4 1 2 1 ]
euler_tan,RowMax   ,nothing,[0 1 2 3 8 20 96 336 2176 9792 79360 436480 4245504 27595776 ]
euler_tan,Middle   ,nothing,[0 1 2 0 0 -20 -40 0 0 2016 4032 0 0 -466752 -933504 0 0 192924160 ]
euler_tan,Central  ,A214447,[0 2 0 -40 0 4032 0 -933504 0 385848320 0 -249576198144 ]
euler_tan,LeftSide ,A350972,[0 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
euler_tan,RightSide,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
euler_tan,PosHalf  ,A326325,[0 2 4 -10 -56 362 2764 -24610 -250736 2873042 36581524 -512343610 ]
euler_tan,NegHalf  ,A326325,[0 -2 -4 10 56 -362 -2764 24610 250736 -2873042 -36581524 512343610 ]
euler_tan,Bin      ,nothing,[0 1 4 7 -16 -159 -188 4383 26560 -104591 -2135836 -2607417 ]
euler_tan,InvBin   ,nothing,[0 -1 -4 -7 16 159 188 -4383 -26560 104591 2135836 2607417 ]
euler_tan,TransSqrs,nothing,[0 0 2 12 28 0 -114 476 3480 -12384 -124550 555852 6668916 ]
euler_tan,TransNat0,nothing,[0 0 2 6 4 -20 6 434 8 -12456 10 555742 12 -35135932 14 2990414730 ]
euler_tan,TransNat1,nothing,[0 1 4 7 0 -19 68 435 -1376 -12455 50532 555743 -2702752 -35135931 ]
euler_tan,DiagRow0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
euler_tan,DiagRow1 ,A000027,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ]
euler_tan,DiagRow2 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
euler_tan,DiagRow3 ,A007290,[-2 -8 -20 -40 -70 -112 -168 -240 -330 -440 -572 -728 -910 -1120 ]
euler_tan,DiagCol0 ,A350972,[0 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
euler_tan,DiagCol1 ,A109573,[0 2 0 -8 0 96 0 -2176 0 79360 0 -4245504 0 313155584 0 ]
euler_tan,DiagCol2 ,nothing,[0 3 0 -20 0 336 0 -9792 0 436480 0 -27595776 0 2348666880 0 ]
euler_tan,DiagCol3 ,nothing,[0 4 0 -40 0 896 0 -32640 0 1745920 0 -128780288 0 12526223360 0 ]
euler_tan,PolyRow0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
euler_tan,PolyRow1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
euler_tan,PolyRow2 ,A005843,[0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 ]
euler_tan,PolyRow3 ,A100536,[-2 1 10 25 46 73 106 145 190 241 298 361 430 505 586 673 766 865 ]
euler_tan,PolyCol0 ,A350972,[0 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
euler_tan,PolyCol1 ,A009832,[0 1 2 1 -4 1 62 1 -1384 1 50522 1 -2702764 1 199360982 1 ]
euler_tan,PolyCol2 ,nothing,[0 1 4 10 16 16 64 400 256 -7424 1024 355840 4096 -22360064 16384 ]
euler_tan,PolyCol3 ,nothing,[0 1 6 25 84 241 666 2185 7944 19681 8526 177145 3234204 1594321 ]
euler_tan,PolyDiag ,A302587,[0 1 4 25 224 2641 38592 671665 13548544 310580161 7971353600 ]
# euler_tan, 49 traits, 24 A-numbers,48%
