Triangle,Anum,Trait,Sequence
Eulerian,A173018,Tabl,[1 1 0 1 1 0 1 4 1 0 1 11 11 1 0 1 26 66 26 1 0 1 57 302 302 57 1 0 ]
Eulerian,A123125,RevTabl,[1 0 1 0 1 1 0 1 4 1 0 1 11 11 1 0 1 26 66 26 1 0 1 57 302 302 57 1 ]
Eulerian,,InvTabl,[]
Eulerian,,RevInvTabl,[]
Eulerian,A055325,InvRevTabl,[1 0 1 0 -1 1 0 3 -4 1 0 -23 33 -11 1 0 425 -620 220 -26 1 0 -18129 ]
Eulerian,,AccTabl,[1 1 1 1 2 2 1 5 6 6 1 12 23 24 24 1 27 93 119 120 120 1 58 360 662 ]
Eulerian,,RevAccTabl,[1 1 1 2 2 1 6 6 5 1 24 24 23 12 1 120 120 119 93 27 1 720 720 719 ]
Eulerian,A179457,AccRevTabl,[1 0 1 0 1 2 0 1 5 6 0 1 12 23 24 0 1 27 93 119 120 0 1 58 360 662 ]
Eulerian,A344393,AntiDiagTabl,[1 1 1 0 1 1 1 4 0 1 11 1 1 26 11 0 1 57 66 1 1 120 302 26 0 1 247 ]
Eulerian,,BinTabl,[1 1 1 1 2 3 1 5 10 16 1 12 34 68 115 1 27 119 303 606 1056 1 58 ]
Eulerian,,InvBinTabl,[1 1 -1 1 0 -1 1 3 -6 8 1 10 -10 0 19 1 25 15 -95 190 -276 1 56 189 ]
Eulerian,A065826,DiffxTabl,[1 1 0 1 2 0 1 8 3 0 1 22 33 4 0 1 52 198 104 5 0 1 114 906 1208 ]
Eulerian,A000142,RowSum,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
Eulerian,A128103,EvenSum,[1 1 1 2 12 68 360 2384 20160 185408 1814400 19781504 239500800 ]
Eulerian,A262745,OddSum,[0 0 1 4 12 52 360 2656 20160 177472 1814400 20135296 239500800 ]
Eulerian,A009006,AltSum,[1 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
Eulerian,A000800,AntiDiagSum,[1 1 1 2 5 13 38 125 449 1742 7269 32433 153850 772397 4088773 ]
Eulerian,A038720,AccSum,[1 2 5 18 84 480 3240 25200 221760 2177280 23587200 279417600 ]
Eulerian,A001710,AccRevSum,[1 1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
Eulerian,A180057,RowLcm,[1 1 1 4 11 858 17214 14387280 16561934649 12632627296395920 ]
Eulerian,,RowGcd,[1 1 1 4 11 2 1 1 1 2 1 1 1 1 1 1 1 2 1 1 ]
Eulerian,A006551,RowMax,[1 1 1 4 11 66 302 2416 15619 156190 1310354 15724248 162512286 ]
Eulerian,A006551,ColMiddle,[1 1 1 4 11 66 302 2416 15619 156190 1310354 15724248 162512286 ]
Eulerian,A180056,ColECentral,[1 1 11 302 15619 1310354 162512286 27971176092 6382798925475 ]
Eulerian,A025585,ColOCentral,[1 4 66 2416 156190 15724248 2275172004 447538817472 ]
Eulerian,A000012,ColLeft,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Eulerian,A000007,ColRight,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Eulerian,A011818,BinConv,[1 1 3 16 115 1056 11774 154624 2337507 39984640 763546234 ]
Eulerian,A344052,InvBinConv,[1 -1 -1 8 19 -276 -1002 21216 103395 -2881180 -17620142 609297072 ]
Eulerian,A180119,TransNat0,[0 0 1 6 36 240 1800 15120 141120 1451520 16329600 199584000 ]
Eulerian,A001710,TransNat1,[1 1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
Eulerian,A344054,TransSqrs,[0 0 1 8 64 540 4920 48720 524160 6108480 76809600 1037836800 ]
Eulerian,A000012,DiagRow1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Eulerian,A000295,DiagRow2,[1 4 11 26 57 120 247 502 1013 2036 4083 8178 16369 32752 65519 ]
Eulerian,A000460,DiagRow3,[1 11 66 302 1191 4293 14608 47840 152637 478271 1479726 4537314 ]
Eulerian,A000295,DiagCol1,[0 1 4 11 26 57 120 247 502 1013 2036 4083 8178 16369 32752 65519 ]
Eulerian,A000460,DiagCol2,[0 1 11 66 302 1191 4293 14608 47840 152637 478271 1479726 4537314 ]
Eulerian,A066912,DiagCol3,[0 1 26 302 2416 15619 88234 455192 2203488 10187685 45533450 ]
Eulerian,A332700,PolyTabl,[1 1 1 1 1 1 1 2 1 1 1 6 3 1 1 1 24 13 4 1 1 1 120 75 22 5 1 1 1 ]
Eulerian,A000012,PolyRow1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Eulerian,A000027,PolyRow2,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
Eulerian,A028872,PolyRow3,[1 6 13 22 33 46 61 78 97 118 141 166 193 222 253 286 321 358 397 ]
Eulerian,A000670,PolyCol2,[1 1 3 13 75 541 4683 47293 545835 7087261 102247563 1622632573 ]
Eulerian,A122704,PolyCol3,[1 1 4 22 160 1456 15904 202672 2951680 48361216 880405504 ]
Eulerian,A122778,PolyDiag,[1 1 3 22 285 5656 158095 5881968 279768825 16507789696 ]
Eulerian,A000629,PosHalf,[1 2 6 26 150 1082 9366 94586 1091670 14174522 204495126 3245265146 ]
Eulerian,A179929,NegHalf,[1 -2 2 6 -30 -42 882 -954 -39870 203958 2300562 -29677914 ]
