Triangle,Anum,Trait,Sequence
Eulerian2,A340556,Tabl,[1 0 1 0 1 2 0 1 8 6 0 1 22 58 24 0 1 52 328 444 120 0 1 114 1452 ]
Eulerian2,A163936,RevTabl,[1 1 0 2 1 0 6 8 1 0 24 58 22 1 0 120 444 328 52 1 0 720 3708 4400 ]
Eulerian2,,InvTabl,[]
Eulerian2,,RevInvTabl,[]
Eulerian2,,InvRevTabl,[]
Eulerian2,,AccTabl,[1 0 1 0 1 3 0 1 9 15 0 1 23 81 105 0 1 53 381 825 945 0 1 115 1567 ]
Eulerian2,,RevAccTabl,[1 1 0 3 1 0 15 9 1 0 105 81 23 1 0 945 825 381 53 1 0 10395 9675 ]
Eulerian2,,AccRevTabl,[1 1 1 2 3 3 6 14 15 15 24 82 104 105 105 120 564 892 944 945 945 ]
Eulerian2,,AntiDiagTabl,[1 0 0 1 0 1 0 1 2 0 1 8 0 1 22 6 0 1 52 58 0 1 114 328 24 0 1 240 ]
Eulerian2,,BinTabl,[1 0 1 0 1 4 0 1 10 33 0 1 24 127 392 0 1 54 487 2072 6145 0 1 116 ]
Eulerian2,,InvBinTabl,[1 0 1 0 1 0 0 1 6 -15 0 1 20 -5 -80 0 1 50 175 -560 665 0 1 112 ]
Eulerian2,,DiffxTabl,[1 0 2 0 2 6 0 2 24 24 0 2 66 232 120 0 2 156 1312 2220 720 0 2 342 ]
Eulerian2,A001147,RowSum,[1 1 3 15 105 945 10395 135135 2027025 34459425 654729075 ]
Eulerian2,,EvenSum,[1 0 2 8 46 496 5234 66344 1021918 17237488 326501282 6884152712 ]
Eulerian2,,OddSum,[0 1 1 7 59 449 5161 68791 1005107 17221937 328227793 6865157863 ]
Eulerian2,A001662,AltSum,[1 -1 1 1 -13 47 73 -2447 16811 15551 -1726511 18994849 -10979677 ]
Eulerian2,,AntiDiagSum,[1 0 1 1 3 9 29 111 467 2137 10625 56783 323947 1963425 12585209 ]
Eulerian2,A261898,AccSum,[1 1 4 25 210 2205 27720 405405 6756750 126351225 2618916300 ]
Eulerian2,,AccRevSum,[1 2 8 50 420 4410 55440 810810 13513500 252702450 5237832600 ]
Eulerian2,,RowLcm,[1 1 2 24 7656 2366520 852469200 308503863360 240006609023406825600 ]
Eulerian2,,RowGcd,[1 1 2 2 2 4 2 2 2 4 2 2 2 4 2 2 2 4 2 2 ]
Eulerian2,A007347,RowMax,[1 1 2 8 58 444 4400 58140 785304 12440064 238904904 4642163952 ]
Eulerian2,,ColMiddle,[1 0 1 1 22 52 1452 5610 195800 1062500 44765000 314369720 ]
Eulerian2,,ColECentral,[1 1 22 1452 195800 44765000 15548960784 7634832149392 ]
Eulerian2,,ColOCentral,[0 1 52 5610 1062500 314369720 134323420224 78391384831312 ]
Eulerian2,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Eulerian2,A000142,ColRight,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
Eulerian2,,BinConv,[1 1 4 33 392 6145 119724 2789465 75660080 2341894185 81464695900 ]
Eulerian2,,InvBinConv,[1 1 0 -15 -80 665 17136 55209 -4162752 -83069415 626654600 ]
Eulerian2,A051577,TransNat0,[0 1 5 35 315 3465 45045 675675 11486475 218243025 4583103525 ]
Eulerian2,,TransNat1,[1 2 8 50 420 4410 55440 810810 13513500 252702450 5237832600 ]
Eulerian2,,TransSqrs,[0 1 9 87 995 13265 202545 3489255 66981915 1418241825 32839832025 ]
Eulerian2,A002538,DiagRow1,[0 1 8 58 444 3708 33984 341136 3733920 44339040 568356480 ]
Eulerian2,A002539,DiagRow2,[0 1 22 328 4400 58140 785304 11026296 162186912 2507481216 ]
Eulerian2,A112008,DiagRow3,[0 1 52 1452 32120 644020 12440064 238904904 4642163952 92199790224 ]
Eulerian2,A000012,DiagCol1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Eulerian2,A005803,DiagCol2,[2 8 22 52 114 240 494 1004 2026 4072 8166 16356 32738 65504 131038 ]
Eulerian2,A004301,DiagCol3,[6 58 328 1452 5610 19950 67260 218848 695038 2170626 6699696 ]
Eulerian2,,PolyTabl,[1 0 1 0 1 1 0 3 2 1 0 15 10 3 1 0 105 82 21 4 1 0 945 938 237 36 5 ]
Eulerian2,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Eulerian2,A014105,PolyRow2,[0 3 10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 ]
Eulerian2,,PolyRow3,[0 15 82 237 516 955 1590 2457 3592 5031 6810 8965 11532 14547 ]
Eulerian2,A112487,PolyCol2,[1 2 10 82 938 13778 247210 5240338 128149802 3551246162 ]
Eulerian2,,PolyCol3,[1 3 21 237 3711 74451 1822557 52680189 1755990327 66313036227 ]
Eulerian2,,PolyDiag,[1 1 10 237 10212 694805 68445870 9205055433 1619649615752 ]
Eulerian2,A000311,PosHalf,[1 1 4 26 236 2752 39208 660032 12818912 282137824 6939897856 ]
Eulerian2,A341106,NegHalf,[1 1 0 -6 -12 144 1080 -5184 -127008 -95904 19077120 154929024 ]
