Triangle,Anum,Trait,Sequence
EulerianB,A060187,Tabl,[1 1 1 1 6 1 1 23 23 1 1 76 230 76 1 1 237 1682 1682 237 1 1 722 ]
EulerianB,A060187,RevTabl,[1 1 1 1 6 1 1 23 23 1 1 76 230 76 1 1 237 1682 1682 237 1 1 722 ]
EulerianB,A171273,InvTabl,[1 -1 1 5 -6 1 -93 115 -23 1 5993 -7436 1518 -76 1 -1272089 1578757 ]
EulerianB,,RevInvTabl,[1 1 -1 1 -6 5 1 -23 115 -93 1 -76 1518 -7436 5993 1 -237 16330 ]
EulerianB,A171273,InvRevTabl,[1 -1 1 5 -6 1 -93 115 -23 1 5993 -7436 1518 -76 1 -1272089 1578757 ]
EulerianB,,AccTabl,[1 1 2 1 7 8 1 24 47 48 1 77 307 383 384 1 238 1920 3602 3839 3840 ]
EulerianB,,RevAccTabl,[1 2 1 8 7 1 48 47 24 1 384 383 307 77 1 3840 3839 3602 1920 238 1 ]
EulerianB,,AccRevTabl,[1 1 2 1 7 8 1 24 47 48 1 77 307 383 384 1 238 1920 3602 3839 3840 ]
EulerianB,,AntiDiagTabl,[1 1 1 1 1 6 1 23 1 1 76 23 1 237 230 1 1 722 1682 76 1 2179 10543 ]
EulerianB,,BinTabl,[1 1 2 1 7 14 1 24 70 140 1 77 383 995 1990 1 238 2157 7440 18006 ]
EulerianB,,InvBinTabl,[1 1 0 1 5 -10 1 22 -22 0 1 75 79 -387 774 1 236 1209 -2654 2654 0 ]
EulerianB,,DiffxTabl,[1 1 2 1 12 3 1 46 69 4 1 152 690 304 5 1 474 5046 6728 1185 6 1 ]
EulerianB,A000165,RowSum,[1 2 8 48 384 3840 46080 645120 10321920 185794560 3715891200 ]
EulerianB,,EvenSum,[1 1 2 24 232 1920 21088 322560 5338240 92897280 1832078848 ]
EulerianB,,OddSum,[0 1 6 24 152 1920 24992 322560 4983680 92897280 1883812352 ]
EulerianB,A002436,AltSum,[1 0 -4 0 80 0 -3904 0 354560 0 -51733504 0 11070525440 0 ]
EulerianB,A178118,AntiDiagSum,[1 1 2 7 25 100 469 2481 14406 90995 621553 4561112 35736921 ]
EulerianB,A187735,AccSum,[1 3 16 120 1152 13440 184320 2903040 51609600 1021870080 ]
EulerianB,A187735,AccRevSum,[1 3 16 120 1152 13440 184320 2903040 51609600 1021870080 ]
EulerianB,,RowLcm,[1 1 6 23 8740 398634 89624229604 34328005245969 ]
EulerianB,,RowGcd,[1 1 6 23 2 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 ]
EulerianB,A154420,RowMax,[1 1 6 23 230 1682 23548 259723 4675014 69413294 1527092468 ]
EulerianB,A154420,ColMiddle,[1 1 6 23 230 1682 23548 259723 4675014 69413294 1527092468 ]
EulerianB,A177043,ColECentral,[1 6 230 23548 4675014 1527092468 743288515164 504541774904760 ]
EulerianB,,ColOCentral,[1 23 1682 259723 69413294 28588019814 16818059163492 ]
EulerianB,A000012,ColLeft,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
EulerianB,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
EulerianB,,BinConv,[1 2 14 140 1990 36012 795916 20758712 624278342 21265899980 ]
EulerianB,,InvBinConv,[1 0 -10 0 774 0 -163332 0 67364166 0 -45892468524 0 46687337311900 ]
EulerianB,A014479,TransNat0,[0 1 8 72 768 9600 138240 2257920 41287680 836075520 18579456000 ]
EulerianB,A187735,TransNat1,[1 3 16 120 1152 13440 184320 2903040 51609600 1021870080 ]
EulerianB,,TransSqrs,[0 1 10 124 1696 25920 441600 8332800 172892160 3917168640 ]
EulerianB,A060188,DiagRow1,[1 6 23 76 237 722 2179 6552 19673 59038 177135 531428 1594309 ]
EulerianB,A060189,DiagRow2,[1 23 230 1682 10543 60657 331612 1756340 9116141 46702427 ]
EulerianB,A060190,DiagRow3,[1 76 1682 23548 259723 2485288 21707972 178300904 1403080725 ]
EulerianB,A060188,DiagCol1,[1 6 23 76 237 722 2179 6552 19673 59038 177135 531428 1594309 ]
EulerianB,A060189,DiagCol2,[1 23 230 1682 10543 60657 331612 1756340 9116141 46702427 ]
EulerianB,A060190,DiagCol3,[1 76 1682 23548 259723 2485288 21707972 178300904 1403080725 ]
EulerianB,,PolyTabl,[1 1 1 1 2 1 1 8 3 1 1 48 17 4 1 1 384 147 28 5 1 1 3840 1697 304 ]
EulerianB,A000027,PolyRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
EulerianB,A028884,PolyRow2,[1 8 17 28 41 56 73 92 113 136 161 188 217 248 281 316 353 392 433 ]
EulerianB,,PolyRow3,[1 48 147 304 525 816 1183 1632 2169 2800 3531 4368 5317 6384 7575 ]
EulerianB,A080253,PolyCol2,[1 3 17 147 1697 24483 423857 8560947 197613377 5131725123 ]
EulerianB,,PolyCol3,[1 4 28 304 4432 80704 1763008 44932864 1308788992 42887209984 ]
EulerianB,,PolyDiag,[1 2 17 304 9105 404736 24794905 1992310272 202567930817 ]
EulerianB,A080253,PosHalf,[1 3 17 147 1697 24483 423857 8560947 197613377 5131725123 ]
EulerianB,,NegHalf,[1 -1 -7 39 177 -3441 -2007 514359 -2913183 -107756001 1777832793 ]
