Triangle,Anum,Trait,Sequence
FallingFact,A008279,Tabl,[1 1 1 1 2 2 1 3 6 6 1 4 12 24 24 1 5 20 60 120 120 1 6 30 120 360 ]
FallingFact,A094587,RevTabl,[1 1 1 2 2 1 6 6 3 1 24 24 12 4 1 120 120 60 20 5 1 720 720 360 120 ]
FallingFact,,InvTabl,[]
FallingFact,A128229,InvRevTabl,[1 -1 1 0 -2 1 0 0 -3 1 0 0 0 -4 1 0 0 0 0 -5 1 0 0 0 0 0 -6 1 0 0 ]
FallingFact,,RevInvTabl,[]
FallingFact,A347667,AccTabl,[1 1 2 1 3 5 1 4 10 16 1 5 17 41 65 1 6 26 86 206 326 1 7 37 157 ]
FallingFact,,RevAccTabl,[1 2 1 5 3 1 16 10 4 1 65 41 17 5 1 326 206 86 26 6 1 1957 1237 517 ]
FallingFact,,AccRevTabl,[1 1 2 2 4 5 6 12 15 16 24 48 60 64 65 120 240 300 320 325 326 720 ]
FallingFact,A344391,AntiDiagTabl,[1 1 1 1 1 2 1 3 2 1 4 6 1 5 12 6 1 6 20 24 1 7 30 60 24 1 8 42 120 ]
FallingFact,A121757,DiffxTabl,[1 1 2 1 4 6 1 6 18 24 1 8 36 96 120 1 10 60 240 600 720 1 12 90 ]
FallingFact,A176120,BinTabl,[1 1 2 1 3 7 1 4 13 34 1 5 21 73 209 1 6 31 136 501 1546 1 7 43 229 ]
FallingFact,,InvBinTabl,[1 1 0 1 1 -1 1 2 1 -4 1 3 5 -1 -15 1 4 11 14 -19 -56 1 5 19 47 37 ]
FallingFact,A000522,RowSum,[1 2 5 16 65 326 1957 13700 109601 986410 9864101 108505112 ]
FallingFact,A087208,EvenSum,[1 1 3 7 37 141 1111 5923 62217 426457 5599531 46910271 739138093 ]
FallingFact,A002747,OddSum,[0 1 2 9 28 185 846 7777 47384 559953 4264570 61594841 562923252 ]
FallingFact,A000166,AltSum,[1 0 1 -2 9 -44 265 -1854 14833 -133496 1334961 -14684570 176214841 ]
FallingFact,A122852,AntiDiagSum,[1 1 2 3 6 11 24 51 122 291 756 1979 5526 15627 46496 140451 442194 ]
FallingFact,A111063,AccSum,[1 3 9 31 129 651 3913 27399 219201 1972819 19728201 217010223 ]
FallingFact,A001339,AccRevSum,[1 3 11 49 261 1631 11743 95901 876809 8877691 98641011 1193556233 ]
FallingFact,A000142,RowLcm,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
FallingFact,A008684,RowGcd,[1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
FallingFact,A000142,RowMax,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
FallingFact,A205825,ColMiddle,[1 1 2 3 12 20 120 210 1680 3024 30240 55440 665280 1235520 ]
FallingFact,A001813,ColECentral,[1 2 12 120 1680 30240 665280 17297280 518918400 17643225600 ]
FallingFact,A006963,ColOCentral,[1 3 20 210 3024 55440 1235520 32432400 980179200 33522128640 ]
FallingFact,A000012,ColLeft,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
FallingFact,A000142,ColRight,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
FallingFact,A002720,BinConv,[1 2 7 34 209 1546 13327 130922 1441729 17572114 234662231 ]
FallingFact,A009940,InvBinConv,[1 0 -1 -4 -15 -56 -185 -204 6209 112400 1520271 19165420 237686449 ]
FallingFact,A343276,TransSqrs,[0 1 10 81 652 5545 50886 506905 5480056 64116657 808856290 ]
FallingFact,A093964,TransNat0,[0 1 6 33 196 1305 9786 82201 767208 7891281 88776910 1085051121 ]
FallingFact,A001339,TransNat1,[1 3 11 49 261 1631 11743 95901 876809 8877691 98641011 1193556233 ]
FallingFact,A000142,DiagRow1,[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
FallingFact,A001710,DiagRow2,[1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
FallingFact,A001715,DiagRow3,[1 4 20 120 840 6720 60480 604800 6652800 79833600 1037836800 ]
FallingFact,A000027,DiagCol1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
FallingFact,A002378,DiagCol2,[2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
FallingFact,A007531,DiagCol3,[6 24 60 120 210 336 504 720 990 1320 1716 2184 2730 3360 4080 4896 ]
FallingFact,,PolyTabl,[1 1 1 1 2 1 1 5 3 1 1 16 13 4 1 1 65 79 25 5 1 1 326 633 226 41 6 ]
FallingFact,A000027,PolyRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
FallingFact,A001844,PolyRow2,[1 5 13 25 41 61 85 113 145 181 221 265 313 365 421 481 545 613 685 ]
FallingFact,,PolyRow3,[1 16 79 226 493 916 1531 2374 3481 4888 6631 8746 11269 14236 ]
FallingFact,A010844,PolyCol2,[1 3 13 79 633 6331 75973 1063623 17017969 306323443 6126468861 ]
FallingFact,A010845,PolyCol3,[1 4 25 226 2713 40696 732529 15383110 369194641 9968255308 ]
FallingFact,A277452,PolyDiag,[1 2 13 226 7889 458026 39684637 4788052298 766526598721 ]
FallingFact,A010842,PosHalf,[1 3 10 38 168 872 5296 37200 297856 2681216 26813184 294947072 ]
FallingFact,A000023,NegHalf,[1 -1 2 -2 8 8 112 656 5504 49024 491264 5401856 64826368 842734592 ]
