Triangle,Anum,Trait,Sequence
Fubini,A131689,Tabl,[1 0 1 0 1 2 0 1 6 6 0 1 14 36 24 0 1 30 150 240 120 0 1 62 540 ]
Fubini,A090582,RevTabl,[1 1 0 2 1 0 6 6 1 0 24 36 14 1 0 120 240 150 30 1 0 720 1800 1560 ]
Fubini,,InvTabl,[]
Fubini,,RevInvTabl,[]
Fubini,,InvRevTabl,[]
Fubini,,AccTabl,[1 0 1 0 1 3 0 1 7 13 0 1 15 51 75 0 1 31 181 421 541 0 1 63 603 ]
Fubini,,RevAccTabl,[1 1 0 3 1 0 13 7 1 0 75 51 15 1 0 541 421 181 31 1 0 4683 3963 ]
Fubini,,AccRevTabl,[1 1 1 2 3 3 6 12 13 13 24 60 74 75 75 120 360 510 540 541 541 720 ]
Fubini,A344392,AntiDiagTabl,[1 0 0 1 0 1 0 1 2 0 1 6 0 1 14 6 0 1 30 36 0 1 62 150 24 0 1 126 ]
Fubini,A089072,BinTabl,[1 0 1 0 1 4 0 1 8 27 0 1 16 81 256 0 1 32 243 1024 3125 0 1 64 729 ]
Fubini,,InvBinTabl,[1 0 1 0 1 0 0 1 4 -9 0 1 12 -3 -40 0 1 28 63 -184 125 0 1 60 357 ]
Fubini,,DiffxTabl,[1 0 2 0 2 6 0 2 18 24 0 2 42 144 120 0 2 90 600 1200 720 0 2 186 ]
Fubini,A000670,RowSum,[1 1 3 13 75 541 4683 47293 545835 7087261 102247563 1622632573 ]
Fubini,A052841,EvenSum,[1 0 2 6 38 270 2342 23646 272918 3543630 51123782 811316286 ]
Fubini,A089677,OddSum,[0 1 1 7 37 271 2341 23647 272917 3543631 51123781 811316287 ]
Fubini,A000012,AltSum,[1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 ]
Fubini,A105795,AntiDiagSum,[1 0 1 1 3 7 21 67 237 907 3741 16507 77517 385627 2024301 11174587 ]
Fubini,A120368,AccSum,[1 1 4 21 142 1175 11476 129073 1641802 23292459 364530688 ]
Fubini,A005649,AccRevSum,[1 2 8 44 308 2612 25988 296564 3816548 54667412 862440068 ]
Fubini,,RowLcm,[1 1 2 6 504 1200 4352400 6501600 31719676464000 3839514683558400 ]
Fubini,A141056,RowGcd,[1 1 2 6 2 30 2 42 2 30 2 66 2 2730 2 6 2 510 2 798 ]
Fubini,A002869,RowMax,[1 1 2 6 36 240 1800 16800 191520 2328480 30240000 479001600 ]
Fubini,A344397,ColMiddle,[1 0 1 1 14 30 540 1806 40824 186480 5103000 29607600 953029440 ]
Fubini,A210029,ColECentral,[1 1 14 540 40824 5103000 953029440 248619571200 86355926616960 ]
Fubini,,ColOCentral,[0 1 30 1806 186480 29607600 6711344640 2060056318320 ]
Fubini,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Fubini,A000142,ColRight,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
Fubini,A000312,BinConv,[1 1 4 27 256 3125 46656 823543 16777216 387420489 10000000000 ]
Fubini,A344053,InvBinConv,[1 1 0 -9 -40 125 3444 18571 -241872 -5796711 -24387220 1132278191 ]
Fubini,A069321,TransNat0,[0 1 5 31 233 2071 21305 249271 3270713 47580151 760192505 ]
Fubini,A005649,TransNat1,[1 2 8 44 308 2612 25988 296564 3816548 54667412 862440068 ]
Fubini,A083411,TransSqrs,[0 1 9 79 765 8311 100989 1362439 20246445 328972471 5805917469 ]
Fubini,A180119,DiagRow1,[0 1 6 36 240 1800 15120 141120 1451520 16329600 199584000 ]
Fubini,A037960,DiagRow2,[0 1 14 150 1560 16800 191520 2328480 30240000 419126400 6187104000 ]
Fubini,A037961,DiagRow3,[0 1 30 540 8400 126000 1905120 29635200 479001600 8083152000 ]
Fubini,A000012,DiagCol1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Fubini,A000918,DiagCol2,[2 6 14 30 62 126 254 510 1022 2046 4094 8190 16382 32766 65534 ]
Fubini,A001117,DiagCol3,[6 36 150 540 1806 5796 18150 55980 171006 519156 1569750 4733820 ]
Fubini,A344499,PolyTabl,[1 0 1 0 1 1 0 3 2 1 0 13 10 3 1 0 75 74 21 4 1 0 541 730 219 36 5 ]
Fubini,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Fubini,A014105,PolyRow2,[0 3 10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 ]
Fubini,A094421,PolyRow3,[0 13 74 219 484 905 1518 2359 3464 4869 6610 8723 11244 14209 ]
Fubini,A004123,PolyCol2,[1 2 10 74 730 9002 133210 2299754 45375130 1007179562 24840104410 ]
Fubini,A032033,PolyCol3,[1 3 21 219 3045 52923 1103781 26857659 746870565 23365498683 ]
Fubini,A094420,PolyDiag,[1 1 10 219 8676 544505 49729758 6232661239 1026912225160 ]
Fubini,A122704,PosHalf,[1 1 4 22 160 1456 15904 202672 2951680 48361216 880405504 ]
Fubini,A009006,NegHalf,[1 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
