Triangle,Trait,ANumber,Sequence
OEIS Similars: A030237 A054445 A355173,,,
fuss_catalan,Triangle ,A355173,[1 0 1 0 1 2 0 1 3 5 0 1 4 9 14 0 1 5 14 28 42 0 1 6 20 48 90 132 0 ]
fuss_catalan,TriRev   ,nothing,[1 1 0 2 1 0 5 3 1 0 14 9 4 1 0 42 28 14 5 1 0 132 90 48 20 6 1 0 ]
fuss_catalan,TriAcc   ,nothing,[1 0 1 0 1 3 0 1 4 9 0 1 5 14 28 0 1 6 20 48 90 0 1 7 27 75 165 297 ]
fuss_catalan,TriRevAcc,nothing,[1 1 0 3 1 0 9 4 1 0 28 14 5 1 0 90 48 20 6 1 0 297 165 75 27 7 1 0 ]
fuss_catalan,TriAccRev,nothing,[1 1 1 2 3 3 5 8 9 9 14 23 27 28 28 42 70 84 89 90 90 132 222 270 ]
fuss_catalan,TriDiag  ,A289871,[1 0 0 1 0 1 0 1 2 0 1 3 0 1 4 5 0 1 5 9 0 1 6 14 14 0 1 7 20 28 0 ]
fuss_catalan,TriPoly  ,nothing,[1 0 1 0 1 1 0 3 2 1 0 9 10 3 1 0 28 54 21 4 1 0 90 314 165 36 5 1 ]
fuss_catalan,TriConv  ,nothing,[1 0 1 0 1 5 0 1 7 35 0 1 9 58 294 0 1 11 86 539 2770 0 1 13 119 ]
fuss_catalan,TriBin   ,nothing,[1 0 1 0 1 4 0 1 5 17 0 1 6 24 78 0 1 7 32 118 377 0 1 8 41 168 595 ]
fuss_catalan,TriInvBin,nothing,[1 0 1 0 1 0 0 1 1 -1 0 1 2 0 -2 0 1 3 2 -2 -3 0 1 4 5 0 -5 -4 0 1 ]
fuss_catalan,Sum      ,A071724,[1 1 3 9 28 90 297 1001 3432 11934 41990 149226 534888 1931540 ]
fuss_catalan,EvenSum  ,nothing,[1 0 2 3 18 33 186 379 2120 4596 25724 58082 325878 757259 4260282 ]
fuss_catalan,OddSum   ,nothing,[0 1 1 6 10 57 111 622 1312 7338 16266 91144 209010 1174281 2760123 ]
fuss_catalan,AltSum   ,A000958,[1 -1 1 -3 8 -24 75 -243 808 -2742 9458 -33062 116868 -417022 ]
fuss_catalan,AccSum   ,A002057,[1 1 4 14 48 165 572 2002 7072 25194 90440 326876 1188640 4345965 ]
fuss_catalan,AccRevSum,A002057,[1 1 4 14 48 165 572 2002 7072 25194 90440 326876 1188640 4345965 ]
fuss_catalan,RevAccSum,nothing,[1 2 8 31 120 465 1804 7007 27248 106080 413440 1613062 6299792 ]
fuss_catalan,DiagSum  ,A037952,[1 0 1 1 3 4 10 15 35 56 126 210 462 792 1716 3003 6435 11440 24310 ]
fuss_catalan,RowLcm   ,nothing,[1 1 2 15 252 420 7920 675675 200200 1225224 888844320 135795660 ]
fuss_catalan,RowGcd   ,A258383,[1 1 2 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 ]
fuss_catalan,RowMax   ,A000108,[1 1 2 5 14 42 132 429 1430 4862 16796 58786 208012 742900 2674440 ]
fuss_catalan,Middle   ,nothing,[1 0 1 1 4 5 20 27 110 154 637 910 3808 5508 23256 33915 144210 ]
fuss_catalan,Central  ,A262394,[1 1 4 20 110 637 3808 23256 144210 904475 5722860 36463440 ]
fuss_catalan,LeftSide ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
fuss_catalan,RightSide,A000108,[1 1 2 5 14 42 132 429 1430 4862 16796 58786 208012 742900 2674440 ]
fuss_catalan,PosHalf  ,A158500,[1 1 4 15 56 210 792 3003 11440 43758 167960 646646 2496144 9657700 ]
fuss_catalan,NegHalf  ,nothing,[1 1 0 3 4 18 48 167 540 1854 6368 22302 78792 281252 1011744 ]
fuss_catalan,Bin      ,nothing,[1 1 4 17 78 377 1888 9697 50746 269393 1446300 7835313 42762822 ]
fuss_catalan,InvBin   ,A097045,[1 1 0 -1 -2 -3 -4 -5 -6 -7 -8 -9 -10 -11 -12 -13 -14 -15 -16 -17 ]
fuss_catalan,TransSqrs,nothing,[0 1 9 58 322 1645 7975 37310 170144 761226 3355970 14624148 ]
