Triangle,Anum,Trait,Sequence
Gaussq2,A022166,Tabl,[1 1 1 1 3 1 1 7 7 1 1 15 35 15 1 1 31 155 155 31 1 1 63 651 1395 ]
Gaussq2,A022166,RevTabl,[1 1 1 1 3 1 1 7 7 1 1 15 35 15 1 1 31 155 155 31 1 1 63 651 1395 ]
Gaussq2,A135950,InvTabl,[1 -1 1 2 -3 1 -8 14 -7 1 64 -120 70 -15 1 -1024 1984 -1240 310 -31 ]
Gaussq2,A135950,InvRevTabl,[1 -1 1 2 -3 1 -8 14 -7 1 64 -120 70 -15 1 -1024 1984 -1240 310 -31 ]
Gaussq2,A158474,RevInvTabl,[1 1 -1 1 -3 2 1 -7 14 -8 1 -15 70 -120 64 1 -31 310 -1240 1984 ]
Gaussq2,,AccTabl,[1 1 2 1 4 5 1 8 15 16 1 16 51 66 67 1 32 187 342 373 374 1 64 715 ]
Gaussq2,,RevAccTabl,[1 2 1 5 4 1 16 15 8 1 67 66 51 16 1 374 373 342 187 32 1 2825 2824 ]
Gaussq2,,AccRevTabl,[1 1 2 1 4 5 1 8 15 16 1 16 51 66 67 1 32 187 342 373 374 1 64 715 ]
Gaussq2,,AntiDiagTabl,[1 1 1 1 1 3 1 7 1 1 15 7 1 31 35 1 1 63 155 15 1 127 651 155 1 1 ]
Gaussq2,,DiffxTabl,[1 1 2 1 6 3 1 14 21 4 1 30 105 60 5 1 62 465 620 155 6 1 126 1953 ]
Gaussq2,,BinTabl,[1 1 2 1 4 8 1 8 22 44 1 16 66 166 332 1 32 218 714 1706 3412 1 64 ]
Gaussq2,,InvBinTabl,[1 1 0 1 2 -4 1 6 -6 0 1 14 6 -46 92 1 30 94 -218 218 0 1 62 526 ]
Gaussq2,A006116,RowSum,[1 2 5 16 67 374 2825 29212 417199 8283458 229755605 8933488744 ]
Gaussq2,A289541,EvenSum,[1 1 2 8 37 187 1304 14606 222379 4141729 107836478 4466744372 ]
Gaussq2,,OddSum,[0 1 3 8 30 187 1521 14606 194820 4141729 121919127 4466744372 ]
Gaussq2,A290974,AltSum,[1 0 -1 0 7 0 -217 0 27559 0 -14082649 0 28827182503 0 ]
Gaussq2,,AntiDiagSum,[1 1 2 4 9 23 68 234 935 4349 23770 153488 1167789 10456867 ]
Gaussq2,,AccSum,[1 3 10 40 201 1309 11300 131454 2085995 45559019 1378533630 ]
Gaussq2,,AccRevSum,[1 3 10 40 201 1309 11300 131454 2085995 45559019 1378533630 ]
Gaussq2,,RowLcm,[1 1 3 7 105 155 9765 82677 3011805 16548735 16929355905 ]
Gaussq2,A019320,RowGcd,[1 1 3 7 5 31 3 127 17 73 11 2047 13 8191 43 151 257 131071 57 ]
Gaussq2,A006099,RowMax,[1 1 3 7 35 155 1395 11811 200787 3309747 109221651 3548836819 ]
Gaussq2,A006099,ColMiddle,[1 1 3 7 35 155 1395 11811 200787 3309747 109221651 3548836819 ]
Gaussq2,A006098,ColECentral,[1 3 35 1395 200787 109221651 230674393235 1919209135381395 ]
Gaussq2,A218449,ColOCentral,[1 7 155 11811 3309747 3548836819 14877590196755 246614610741341843 ]
Gaussq2,A000012,ColLeft,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Gaussq2,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Gaussq2,,BinConv,[1 2 8 44 332 3412 48188 940564 25545052 969582644 51635485244 ]
Gaussq2,,InvBinConv,[1 0 -4 0 92 0 -9124 0 3774172 0 -6459170980 0 45480123143132 0 ]
Gaussq2,,TransSqrs,[0 1 7 44 306 2567 27249 377366 6960476 173496553 5905329123 ]
Gaussq2,,TransNat0,[0 1 5 24 134 935 8475 102242 1668796 37275561 1148778025 ]
Gaussq2,,TransNat1,[1 3 10 40 201 1309 11300 131454 2085995 45559019 1378533630 ]
Gaussq2,A000225,DiagRow1,[1 3 7 15 31 63 127 255 511 1023 2047 4095 8191 16383 32767 65535 ]
Gaussq2,A006095,DiagRow2,[1 7 35 155 651 2667 10795 43435 174251 698027 2794155 11180715 ]
Gaussq2,A006096,DiagRow3,[1 15 155 1395 11811 97155 788035 6347715 50955971 408345795 ]
Gaussq2,A000225,DiagCol1,[1 3 7 15 31 63 127 255 511 1023 2047 4095 8191 16383 32767 65535 ]
Gaussq2,A006095,DiagCol2,[1 7 35 155 651 2667 10795 43435 174251 698027 2794155 11180715 ]
Gaussq2,A006096,DiagCol3,[1 15 155 1395 11811 97155 788035 6347715 50955971 408345795 ]
Gaussq2,,PolyTabl,[1 1 1 1 2 1 1 5 3 1 1 16 11 4 1 1 67 51 19 5 1 1 374 307 112 29 6 ]
Gaussq2,A000027,PolyRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
Gaussq2,A028387,PolyRow2,[1 5 11 19 29 41 55 71 89 109 131 155 181 209 239 271 305 341 379 ]
Gaussq2,,PolyRow3,[1 16 51 112 205 336 511 736 1017 1360 1771 2256 2821 3472 4215 ]
Gaussq2,A182176,PolyCol2,[1 3 11 51 307 2451 26387 387987 7866259 221472147 8703733139 ]
Gaussq2,,PolyCol3,[1 4 19 112 847 8428 112483 2042824 51027319 1766869636 85292358571 ]
Gaussq2,,PolyDiag,[1 2 11 112 1837 45906 1705375 93130192 7437830329 866657162890 ]
Gaussq2,A182176,PosHalf,[1 3 11 51 307 2451 26387 387987 7866259 221472147 8703733139 ]
Gaussq2,,NegHalf,[1 -1 -1 7 7 -217 -217 27559 27559 -14082649 -14082649 28827182503 ]
