Triangle,Anum,Trait,Sequence
Harmonic,A358694,Tabl,[1 0 1 0 2 1 0 6 4 1 0 24 18 7 1 0 120 96 46 11 1 0 720 600 326 101 ]
Harmonic,A109822,RevTabl,[1 1 0 1 2 0 1 4 6 0 1 7 18 24 0 1 11 46 96 120 0 1 16 101 326 600 ]
Harmonic,A227341,InvTabl,[1 0 1 0 -2 1 0 2 -4 1 0 -2 10 -7 1 0 2 -22 31 -11 1 0 -2 46 -115 ]
Harmonic,,RevInvTabl,[1 1 0 1 -2 0 1 -4 2 0 1 -7 10 -2 0 1 -11 31 -22 2 0 1 -16 75 -115 ]
Harmonic,,InvRevTabl,[]
Harmonic,,AccTabl,[1 0 1 0 2 3 0 6 10 11 0 24 42 49 50 0 120 216 262 273 274 0 720 ]
Harmonic,,RevAccTabl,[1 1 0 3 2 0 11 10 6 0 50 49 42 24 0 274 273 262 216 120 0 1764 ]
Harmonic,,AccRevTabl,[1 1 1 1 3 3 1 5 11 11 1 8 26 50 50 1 12 58 154 274 274 1 17 118 ]
Harmonic,,AntiDiagTabl,[1 0 0 1 0 2 0 6 1 0 24 4 0 120 18 1 0 720 96 7 0 5040 600 46 1 0 ]
Harmonic,,BinTabl,[1 0 1 0 2 5 0 6 16 31 0 24 66 133 233 0 120 336 694 1251 2076 0 ]
Harmonic,,InvBinTabl,[1 0 1 0 2 -3 0 6 -8 7 0 24 -30 25 -15 0 120 -144 118 -77 46 0 720 ]
Harmonic,,DiffxTabl,[1 0 2 0 4 3 0 12 12 4 0 48 54 28 5 0 240 288 184 55 6 0 1440 1800 ]
Harmonic,A000254,RowSum,[1 1 3 11 50 274 1764 13068 109584 1026576 10628640 120543840 ]
Harmonic,A182541,EvenSum,[1 0 1 4 19 107 702 5274 44712 422568 4407120 50292720 623471040 ]
Harmonic,,OddSum,[0 1 2 7 31 167 1062 7794 64872 604008 6221520 70251120 862971840 ]
Harmonic,A001710,AltSum,[1 -1 -1 -3 -12 -60 -360 -2520 -20160 -181440 -1814400 -19958400 ]
Harmonic,,AntiDiagSum,[1 0 1 2 7 28 139 823 5687 44977 400818 3974520 43404974 517626129 ]
Harmonic,,AccSum,[1 1 5 27 165 1145 8960 78344 758548 8066484 93532824 1175064264 ]
Harmonic,,AccRevSum,[1 2 7 28 135 773 5152 39268 337292 3225852 34010856 392005656 ]
Harmonic,,RowLcm,[1 1 2 12 504 121440 59266800 1084064113440 103321840810930560 ]
Harmonic,A030409,RowGcd,[1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Harmonic,A000142,RowMax,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
Harmonic,,ColMiddle,[1 0 2 6 18 96 326 2556 9080 94852 342964 4496284 16369178 ]
Harmonic,,ColECentral,[1 2 18 326 9080 342964 16369178 944218666 63850536496 ]
Harmonic,,ColOCentral,[0 6 96 2556 94852 4496284 258795044 17499398776 1358262331112 ]
Harmonic,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Harmonic,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Harmonic,,BinConv,[1 1 5 31 233 2076 21452 252372 3329349 48644302 779147639 ]
Harmonic,,InvBinConv,[1 1 -3 7 -15 46 -420 5384 -62811 656620 -6213537 52114085 ]
Harmonic,A081052,TransNat0,[0 1 4 17 85 499 3388 26200 227708 2199276 23382216 271461816 ]
Harmonic,,TransNat1,[1 2 7 28 135 773 5152 39268 337292 3225852 34010856 392005656 ]
Harmonic,,TransSqrs,[0 1 6 31 175 1119 8106 66002 598524 5992036 65708368 783813920 ]
Harmonic,A000124,DiagRow1,[0 2 4 7 11 16 22 29 37 46 56 67 79 92 106 121 137 154 172 191 ]
Harmonic,A308305,DiagRow2,[0 6 18 46 101 197 351 583 916 1376 1992 2796 3823 5111 6701 8637 ]
Harmonic,,DiagRow3,[0 24 96 326 932 2311 5119 10366 19526 34662 58566 94914 148436 ]
Harmonic,A000142,DiagCol1,[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
Harmonic,A001563,DiagCol2,[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 ]
Harmonic,A067318,DiagCol3,[1 7 46 326 2556 22212 212976 2239344 25659360 318540960 4261576320 ]
Harmonic,,PolyTabl,[1 0 1 0 1 1 0 3 2 1 0 11 8 3 1 0 50 36 15 4 1 0 274 192 81 24 5 1 ]
Harmonic,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Harmonic,A005563,PolyRow2,[0 3 8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 ]
Harmonic,,PolyRow3,[0 11 36 81 152 255 396 581 816 1107 1460 1881 2376 2951 3612 4365 ]
Harmonic,A052582,PolyCol2,[1 2 8 36 192 1200 8640 70560 645120 6531840 72576000 878169600 ]
Harmonic,,PolyCol3,[1 3 15 81 504 3600 29160 264600 2661120 29393280 353808000 ]
Harmonic,,PolyDiag,[1 1 8 81 1088 18750 398304 10084200 296478720 9923906160 ]
Harmonic,A129890,PosHalf,[1 1 5 33 279 2895 35685 509985 8294895 151335135 3061162125 ]
Harmonic,A192459,NegHalf,[1 1 -3 17 -133 1315 -15675 218505 -3485685 62607195 -1250116875 ]
