Triangle,Anum,Trait,Sequence
HermiteH,A060821,Tabl,[1 0 2 2 0 4 0 12 0 8 12 0 48 0 16 0 120 0 160 0 32 120 0 720 0 480 ]
HermiteH,,RevTabl,[1 2 0 4 0 2 8 0 12 0 16 0 48 0 12 32 0 160 0 120 0 64 0 480 0 720 ]
HermiteH,,InvTabl,[]
HermiteH,,RevInvTabl,[]
HermiteH,,InvRevTabl,[]
HermiteH,,AccTabl,[1 0 2 2 2 6 0 12 12 20 12 12 60 60 76 0 120 120 280 280 312 120 ]
HermiteH,,RevAccTabl,[1 2 0 6 2 2 20 12 12 0 76 60 60 12 12 312 280 280 120 120 0 1384 ]
HermiteH,,AccRevTabl,[1 2 2 4 4 6 8 8 20 20 16 16 64 64 76 32 32 192 192 312 312 64 64 ]
HermiteH,A109767,AntiDiagTabl,[1 0 2 2 0 0 12 12 4 0 0 0 120 120 48 8 0 0 0 0 1680 1680 720 160 ]
HermiteH,,BinTabl,[1 0 2 2 2 6 0 12 24 44 12 12 60 156 316 0 120 240 520 1120 2232 ]
HermiteH,,InvBinTabl,[1 0 2 2 -2 6 0 12 -24 44 12 -12 60 -156 316 0 120 -240 520 -1120 ]
HermiteH,,DiffxTabl,[1 0 4 2 0 12 0 24 0 32 12 0 144 0 80 0 240 0 640 0 192 120 0 2160 ]
HermiteH,A000898,RowSum,[1 2 6 20 76 312 1384 6512 32400 168992 921184 5222208 30710464 ]
HermiteH,,EvenSum,[1 0 6 0 76 0 1384 0 32400 0 921184 0 30710464 0 1171979904 0 ]
HermiteH,,OddSum,[0 2 0 20 0 312 0 6512 0 168992 0 5222208 0 186753920 0 7573069568 ]
HermiteH,A000898,AltSum,[1 -2 6 -20 76 -312 1384 -6512 32400 -168992 921184 -5222208 ]
HermiteH,,AntiDiagSum,[1 0 4 0 28 0 296 0 4256 0 77792 0 1728448 0 45250816 0 1364438272 ]
HermiteH,,AccSum,[1 2 10 44 220 1112 5944 32720 187408 1106720 6753184 42400448 ]
HermiteH,,AccRevSum,[1 4 14 56 236 1072 5128 25888 136592 752192 4301024 25488256 ]
HermiteH,,RowLcm,[1 2 4 24 48 480 2880 13440 53760 967680 4838400 106444800 ]
HermiteH,A016116,RowGcd,[1 2 2 4 4 8 8 16 16 32 32 64 64 128 128 256 256 512 512 1024 ]
HermiteH,A277281,RowMax,[1 2 4 12 48 160 720 3360 13440 80640 403200 2217600 13305600 ]
HermiteH,,ColMiddle,[1 0 0 12 48 0 0 3360 13440 0 0 1774080 7096320 0 0 1383782400 ]
HermiteH,,ColECentral,[1 0 48 0 13440 0 7096320 0 5535129600 0 ]
HermiteH,,ColOCentral,[0 12 0 3360 0 1774080 0 1383782400 0 1430277488640 ]
HermiteH,A067994,ColLeft,[1 0 2 0 12 0 120 0 1680 0 30240 0 665280 0 17297280 0 518918400 0 ]
HermiteH,A000079,ColRight,[1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 ]
HermiteH,,BinConv,[1 2 6 44 316 2232 18184 157712 1419408 13474592 133216864 ]
HermiteH,,InvBinConv,[1 2 6 44 316 2232 18184 157712 1419408 13474592 133216864 ]
HermiteH,,TransNat0,[0 2 8 36 160 760 3744 19376 104192 583200 3379840 20266048 ]
HermiteH,,TransNat1,[1 4 14 56 236 1072 5128 25888 136592 752192 4301024 25488256 ]
HermiteH,,TransSqrs,[0 2 16 84 448 2360 12864 71792 414208 2458656 15043840 94622528 ]
HermiteH,A000004,DiagRow1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
HermiteH,A001815,DiagRow2,[2 12 48 160 480 1344 3584 9216 23040 56320 135168 319488 745472 ]
HermiteH,A000004,DiagRow3,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
HermiteH,A067994,DiagCol1,[2 0 12 0 120 0 1680 0 30240 0 665280 0 17297280 0 518918400 0 ]
HermiteH,,DiagCol2,[4 0 48 0 720 0 13440 0 302400 0 7983360 0 242161920 0 8302694400 0 ]
HermiteH,,DiagCol3,[8 0 160 0 3360 0 80640 0 2217600 0 69189120 0 2421619200 0 ]
HermiteH,,PolyTabl,[1 0 1 2 2 1 0 6 4 1 12 20 18 6 1 0 76 88 38 8 1 120 312 460 252 66 ]
HermiteH,A005843,PolyRow1,[0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 ]
HermiteH,A005899,PolyRow2,[2 6 18 38 66 102 146 198 258 326 402 486 578 678 786 902 1026 1158 ]
HermiteH,,PolyRow3,[0 20 88 252 560 1060 1800 2828 4192 5940 8120 10780 13968 17732 ]
HermiteH,A127394,PolyCol2,[1 4 18 88 460 2544 14776 89632 565392 3695680 24959776 173752704 ]
HermiteH,A079949,PolyCol3,[1 6 38 252 1740 12456 92136 702288 5503632 44258400 364615776 ]
HermiteH,,PolyDiag,[1 2 18 252 4876 120600 3634104 129166352 5290403472 245355218208 ]
HermiteH,,PosHalf,[1 2 12 56 400 2592 21184 166784 1519872 13713920 136858624 ]
HermiteH,,NegHalf,[1 2 12 56 400 2592 21184 166784 1519872 13713920 136858624 ]
