Triangle,Anum,Trait,Sequence
Laguerre,A021009,Tabl,[1 1 1 2 4 1 6 18 9 1 24 96 72 16 1 120 600 600 200 25 1 720 4320 ]
Laguerre,A021010,RevTabl,[1 1 1 1 4 2 1 9 18 6 1 16 72 96 24 1 25 200 600 600 120 1 36 450 ]
Laguerre,A021009,InvTabl,[1 -1 1 2 -4 1 -6 18 -9 1 24 -96 72 -16 1 -120 600 -600 200 -25 1 ]
Laguerre,,InvRevTabl,[]
Laguerre,A021010,RevInvTabl,[1 1 -1 1 -4 2 1 -9 18 -6 1 -16 72 -96 24 1 -25 200 -600 600 -120 1 ]
Laguerre,,AccTabl,[1 1 2 2 6 7 6 24 33 34 24 120 192 208 209 120 720 1320 1520 1545 ]
Laguerre,,RevAccTabl,[1 2 1 7 6 2 34 33 24 6 209 208 192 120 24 1546 1545 1520 1320 720 ]
Laguerre,,AccRevTabl,[1 1 2 1 5 7 1 10 28 34 1 17 89 185 209 1 26 226 826 1426 1546 1 37 ]
Laguerre,A084950,AntiDiagTabl,[1 1 2 1 6 4 24 18 1 120 96 9 720 600 72 1 5040 4320 600 16 40320 ]
Laguerre,,DiffxTabl,[1 1 2 2 8 3 6 36 27 4 24 192 216 64 5 120 1200 1800 800 125 6 720 ]
Laguerre,,BinTabl,[1 1 2 2 6 11 6 24 51 88 24 120 288 544 905 120 720 1920 3920 6945 ]
Laguerre,,InvBinTabl,[1 1 0 2 2 -5 6 12 -21 22 24 72 -96 64 9 120 480 -480 80 545 -1244 ]
Laguerre,A002720,RowSum,[1 2 7 34 209 1546 13327 130922 1441729 17572114 234662231 ]
Laguerre,A331325,EvenSum,[1 1 3 15 97 745 6571 65359 723969 8842257 118091251 1712261551 ]
Laguerre,A331326,OddSum,[0 1 4 19 112 801 6756 65563 717760 8729857 116570980 1693096131 ]
Laguerre,A009940,AltSum,[1 0 -1 -4 -15 -56 -185 -204 6209 112400 1520271 19165420 237686449 ]
Laguerre,A001040,AntiDiagSum,[1 1 3 10 43 225 1393 9976 81201 740785 7489051 83120346 1004933203 ]
Laguerre,,AccSum,[1 3 15 97 753 6771 68983 783945 9820737 134352163 1991873631 ]
Laguerre,A000262,AccRevSum,[1 3 13 73 501 4051 37633 394353 4596553 58941091 824073141 ]
Laguerre,,RowLcm,[1 1 4 18 288 600 21600 529200 11289600 45722880 4572288000 ]
Laguerre,A102631,RowGcd,[1 1 2 3 8 5 6 7 32 27 10 11 24 13 14 15 128 17 54 19 ]
Laguerre,,RowMax,[1 1 4 18 96 600 5400 52920 564480 6531840 81648000 1097712000 ]
Laguerre,A343580,ColMiddle,[1 1 4 18 72 600 2400 29400 117600 1905120 7620480 153679680 ]
Laguerre,A295383,ColECentral,[1 4 72 2400 117600 7620480 614718720 59364264960 6678479808000 ]
Laguerre,,ColOCentral,[1 18 600 29400 1905120 153679680 14841066240 1669619952000 ]
Laguerre,A000142,ColLeft,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
Laguerre,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Laguerre,A216831,BinConv,[1 2 11 88 905 11246 162607 2668436 48830273 983353690 21570885011 ]
Laguerre,A343840,InvBinConv,[1 0 -5 22 9 -1244 14335 -79470 -586943 25131304 -434574909 ]
Laguerre,A105219,TransSqrs,[0 1 8 63 544 5225 55656 653023 8379008 116780049 1757211400 ]
Laguerre,A103194,TransNat0,[0 1 6 39 292 2505 24306 263431 3154824 41368977 589410910 ]
Laguerre,A000262,TransNat1,[1 3 13 73 501 4051 37633 394353 4596553 58941091 824073141 ]
Laguerre,A000290,DiagRow1,[1 4 9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 361 ]
Laguerre,A163102,DiagRow2,[2 18 72 200 450 882 1568 2592 4050 6050 8712 12168 16562 22050 ]
Laguerre,A179058,DiagRow3,[6 96 600 2400 7350 18816 42336 86400 163350 290400 490776 794976 ]
Laguerre,A001563,DiagCol1,[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 ]
Laguerre,A001809,DiagCol2,[1 9 72 600 5400 52920 564480 6531840 81648000 1097712000 ]
Laguerre,A001810,DiagCol3,[1 16 200 2400 29400 376320 5080320 72576000 1097712000 17563392000 ]
Laguerre,A343847,PolyTabl,[1 1 1 2 2 1 6 7 3 1 24 34 14 4 1 120 209 86 23 5 1 720 1546 648 ]
Laguerre,A000027,PolyRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
Laguerre,A008865,PolyRow2,[2 7 14 23 34 47 62 79 98 119 142 167 194 223 254 287 322 359 398 ]
Laguerre,,PolyRow3,[6 34 86 168 286 446 654 916 1238 1626 2086 2624 3246 3958 4766 ]
Laguerre,A087912,PolyCol2,[1 3 14 86 648 5752 58576 671568 8546432 119401856 1815177984 ]
Laguerre,A277382,PolyCol3,[1 4 23 168 1473 14988 173007 2228544 31636449 490102164 8219695239 ]
Laguerre,A277373,PolyDiag,[1 2 14 168 2840 61870 1649232 51988748 1891712384 78031713690 ]
Laguerre,A025167,PosHalf,[1 3 17 139 1473 19091 291793 5129307 101817089 2250495523 ]
Laguerre,A025166,NegHalf,[1 -1 1 7 -127 1711 -23231 334391 -5144063 84149983 -1446872959 ]
