Triangle,Anum,Trait,Sequence
Lah,A271703,Tabl,[1 0 1 0 2 1 0 6 6 1 0 24 36 12 1 0 120 240 120 20 1 0 720 1800 ]
Lah,A089231,RevTabl,[1 1 0 1 2 0 1 6 6 0 1 12 36 24 0 1 20 120 240 120 0 1 30 300 1200 ]
Lah,A111596,InvTabl,[1 0 1 0 -2 1 0 6 -6 1 0 -24 36 -12 1 0 120 -240 120 -20 1 0 -720 ]
Lah,A089231,RevInvTabl,[1 1 0 1 -2 0 1 -6 6 0 1 -12 36 -24 0 1 -20 120 -240 120 0 1 -30 ]
Lah,,InvRevTabl,[]
Lah,A349776,AccTabl,[1 0 1 0 2 3 0 6 12 13 0 24 60 72 73 0 120 360 480 500 501 0 720 ]
Lah,,RevAccTabl,[1 1 0 3 2 0 13 12 6 0 73 72 60 24 0 501 500 480 360 120 0 4051 ]
Lah,,AccRevTabl,[1 1 1 1 3 3 1 7 13 13 1 13 49 73 73 1 21 141 381 501 501 1 31 331 ]
Lah,A330609,AntiDiagTabl,[1 0 0 1 0 2 0 6 1 0 24 6 0 120 36 1 0 720 240 12 0 5040 1800 120 1 ]
Lah,,BinTabl,[1 0 1 0 2 5 0 6 18 37 0 24 84 192 361 0 120 480 1200 2420 4301 0 ]
Lah,,InvBinTabl,[1 0 1 0 2 -3 0 6 -6 1 0 24 -12 -24 73 0 120 0 -240 500 -699 0 720 ]
Lah,A360205,DiffxTabl,[1 0 2 0 4 3 0 12 18 4 0 48 108 48 5 0 240 720 480 100 6 0 1440 ]
Lah,A000262,RowSum,[1 1 3 13 73 501 4051 37633 394353 4596553 58941091 824073141 ]
Lah,A088312,EvenSum,[1 0 1 6 37 260 2101 19362 201097 2326536 29668681 413257790 ]
Lah,A088313,OddSum,[0 1 2 7 36 241 1950 18271 193256 2270017 29272410 410815351 ]
Lah,A111884,AltSum,[1 -1 -1 -1 1 19 151 1091 7841 56519 396271 2442439 7701409 ]
Lah,A001053,AntiDiagSum,[1 0 1 2 7 30 157 972 6961 56660 516901 5225670 57999271 701216922 ]
Lah,A062147,AccSum,[1 1 5 31 229 1961 19081 207775 2501801 32989969 472630861 ]
Lah,A002720,AccRevSum,[1 2 7 34 209 1546 13327 130922 1441729 17572114 234662231 ]
Lah,A359365,RowLcm,[1 1 2 6 72 240 3600 75600 1411200 10160640 457228800 4191264000 ]
Lah,A103505,RowGcd,[1 1 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 ]
Lah,A002868,RowMax,[1 1 2 6 36 240 1800 15120 141120 1693440 21772800 299376000 ]
Lah,A343581,ColMiddle,[1 0 2 6 36 240 1200 12600 58800 846720 3810240 69854400 307359360 ]
Lah,A187535,ColECentral,[1 2 36 1200 58800 3810240 307359360 29682132480 3339239904000 ]
Lah,,ColOCentral,[0 6 240 12600 846720 69854400 6849722880 779155977600 ]
Lah,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Lah,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Lah,A344051,BinConv,[1 1 5 37 361 4301 60001 954325 16984577 333572041 7151967181 ]
Lah,A344050,InvBinConv,[1 1 -3 1 73 -699 3001 24697 -783999 10946233 -80958779 -656003919 ]
Lah,A052852,TransNat0,[0 1 4 21 136 1045 9276 93289 1047376 12975561 175721140 2581284541 ]
Lah,A002720,TransNat1,[1 2 7 34 209 1546 13327 130922 1441729 17572114 234662231 ]
Lah,A103194,TransSqrs,[0 1 6 39 292 2505 24306 263431 3154824 41368977 589410910 ]
Lah,A002378,DiagRow1,[0 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
Lah,A083374,DiagRow2,[0 6 36 120 300 630 1176 2016 3240 4950 7260 10296 14196 19110 ]
Lah,A253285,DiagRow3,[0 24 240 1200 4200 11760 28224 60480 118800 217800 377520 624624 ]
Lah,A000142,DiagCol1,[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
Lah,A001286,DiagCol2,[1 6 36 240 1800 15120 141120 1451520 16329600 199584000 2634508800 ]
Lah,A001754,DiagCol3,[1 12 120 1200 12600 141120 1693440 21772800 299376000 4390848000 ]
Lah,A253286,PolyTabl,[1 0 1 0 1 1 0 3 2 1 0 13 8 3 1 0 73 44 15 4 1 0 501 304 99 24 5 1 ]
Lah,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Lah,A005563,PolyRow2,[0 3 8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 ]
Lah,A226514,PolyRow3,[0 13 44 99 184 305 468 679 944 1269 1660 2123 2664 3289 4004 4815 ]
Lah,A052897,PolyCol2,[1 2 8 44 304 2512 24064 261536 3173888 42483968 621159424 ]
Lah,A255806,PolyCol3,[1 3 15 99 801 7623 83079 1017495 13808097 205374123 3318673599 ]
Lah,A293145,PolyDiag,[1 1 8 99 1696 37225 997056 31535371 1150303232 47538819729 ]
Lah,A025168,PosHalf,[1 1 5 37 361 4361 62701 1044205 19748177 417787921 9770678101 ]
Lah,A318223,NegHalf,[1 1 -3 13 -71 441 -2699 9157 206193 -8443151 236126701 -6169406979 ]
