Triangle,Trait,ANumber,Sequence
OEIS Similars: A039621 A354794,,,
lehmer,Triangle ,A354794,[1 0 1 0 1 1 0 4 3 1 0 27 19 6 1 0 256 175 55 10 1 0 3125 2101 660 ]
lehmer,TriRev   ,nothing,[1 1 0 1 1 0 1 3 4 0 1 6 19 27 0 1 10 55 175 256 0 1 15 125 660 ]
lehmer,TriInv   ,A354795,[1 0 1 0 -1 1 0 -1 -3 1 0 -2 -1 -6 1 0 -6 0 5 -10 1 0 -24 4 15 25 ]
lehmer,TriRevInv,nothing,[1 1 0 1 -1 0 1 -3 -1 0 1 -6 -1 -2 0 1 -10 5 0 -6 0 1 -15 25 15 4 ]
lehmer,TriAcc   ,nothing,[1 0 1 0 1 2 0 4 7 8 0 27 46 52 53 0 256 431 486 496 497 0 3125 ]
lehmer,TriRevAcc,nothing,[1 1 0 2 1 0 8 7 4 0 53 52 46 27 0 497 496 486 431 256 0 6027 6026 ]
lehmer,TriAccRev,nothing,[1 1 1 1 2 2 1 4 8 8 1 7 26 53 53 1 11 66 241 497 497 1 16 141 801 ]
lehmer,TriDiag  ,nothing,[1 0 0 1 0 1 0 4 1 0 27 3 0 256 19 1 0 3125 175 6 0 46656 2101 55 1 ]
lehmer,TriPoly  ,nothing,[1 0 1 0 1 1 0 2 2 1 0 8 6 3 1 0 53 28 12 4 1 0 497 194 66 20 5 1 0 ]
lehmer,TriConv  ,nothing,[1 0 1 0 1 2 0 4 7 26 0 27 46 171 1127 0 256 431 1604 10577 99287 0 ]
lehmer,TriBin   ,nothing,[1 0 1 0 1 3 0 4 11 22 0 27 73 144 247 0 256 687 1348 2304 3631 0 ]
lehmer,TriInvBin,nothing,[1 0 1 0 1 -1 0 4 -5 4 0 27 -35 30 -17 0 256 -337 298 -184 31 0 ]
lehmer,Sum      ,A195979,[1 1 2 8 53 497 6027 89595 1576682 32047986 738772383 19042778713 ]
lehmer,EvenSum  ,nothing,[1 0 1 3 20 185 2227 32942 577663 11710659 269400564 6932743719 ]
lehmer,OddSum   ,nothing,[0 1 1 5 33 312 3800 56653 999019 20337327 469371819 12110034994 ]
lehmer,AltSum   ,A290219,[1 -1 0 -2 -13 -127 -1573 -23711 -421356 -8626668 -199971255 ]
lehmer,AccSum   ,nothing,[1 1 3 19 178 2166 32301 569871 11606645 267990533 6916941980 ]
