Triangle,Trait,ANumber,Sequence
OEIS Similars: A003506,,,
leibniz,Triangle ,A003506,[1 2 2 3 6 3 4 12 12 4 5 20 30 20 5 6 30 60 60 30 6 7 42 105 140 ]
leibniz,TriRev   ,A003506,[1 2 2 3 6 3 4 12 12 4 5 20 30 20 5 6 30 60 60 30 6 7 42 105 140 ]
leibniz,TriAcc   ,nothing,[1 2 4 3 9 12 4 16 28 32 5 25 55 75 80 6 36 96 156 186 192 7 49 154 ]
leibniz,TriRevAcc,nothing,[1 4 2 12 9 3 32 28 16 4 80 75 55 25 5 192 186 156 96 36 6 448 441 ]
leibniz,TriAccRev,nothing,[1 2 4 3 9 12 4 16 28 32 5 25 55 75 80 6 36 96 156 186 192 7 49 154 ]
leibniz,TriDiag  ,A128502,[1 2 3 2 4 6 5 12 3 6 20 12 7 30 30 4 8 42 60 20 9 56 105 60 5 10 ]
leibniz,TriPoly  ,A104002,[1 2 1 3 4 1 4 12 6 1 5 32 27 8 1 6 80 108 48 10 1 7 192 405 256 75 ]
leibniz,TriConv  ,nothing,[1 2 8 3 18 54 4 32 120 320 5 50 225 700 1750 6 72 378 1344 3780 ]
leibniz,TriBin   ,nothing,[1 2 4 3 9 18 4 16 40 80 5 25 75 175 350 6 36 126 336 756 1512 7 49 ]
leibniz,TriInvBin,nothing,[1 2 0 3 3 -6 4 8 -8 0 5 15 -5 -15 30 6 24 6 -36 36 0 7 35 28 -56 ]
leibniz,Sum      ,A001787,[1 4 12 32 80 192 448 1024 2304 5120 11264 24576 53248 114688 ]
leibniz,EvenSum  ,A057711,[1 2 6 16 40 96 224 512 1152 2560 5632 12288 26624 57344 122880 ]
leibniz,OddSum   ,A057711,[0 2 6 16 40 96 224 512 1152 2560 5632 12288 26624 57344 122880 ]
leibniz,AltSum   ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
leibniz,AccSum   ,A001788,[1 6 24 80 240 672 1792 4608 11520 28160 67584 159744 372736 860160 ]
leibniz,AccRevSum,A001788,[1 6 24 80 240 672 1792 4608 11520 28160 67584 159744 372736 860160 ]
