Triangle,Anum,Trait,Sequence
Lozanic,A034851,Tabl,[1 1 1 1 1 1 1 2 2 1 1 2 4 2 1 1 3 6 6 3 1 1 3 9 10 9 3 1 1 4 12 19 ]
Lozanic,A034851,RevTabl,[1 1 1 1 1 1 1 2 2 1 1 2 4 2 1 1 3 6 6 3 1 1 3 9 10 9 3 1 1 4 12 19 ]
Lozanic,A055138,InvTabl,[1 -1 1 0 -1 1 1 0 -2 1 -1 2 0 -2 1 -1 -3 6 0 -3 1 4 -3 -7 8 0 -3 1 ]
Lozanic,,RevInvTabl,[1 1 -1 1 -1 0 1 -2 0 1 1 -2 0 2 -1 1 -3 0 6 -3 -1 1 -3 0 8 -7 -3 4 ]
Lozanic,A055138,InvRevTabl,[1 -1 1 0 -1 1 1 0 -2 1 -1 2 0 -2 1 -1 -3 6 0 -3 1 4 -3 -7 8 0 -3 1 ]
Lozanic,,AccTabl,[1 1 2 1 2 3 1 3 5 6 1 3 7 9 10 1 4 10 16 19 20 1 4 13 23 32 35 36 ]
Lozanic,,RevAccTabl,[1 2 1 3 2 1 6 5 3 1 10 9 7 3 1 20 19 16 10 4 1 36 35 32 23 13 4 1 ]
Lozanic,,AccRevTabl,[1 1 2 1 2 3 1 3 5 6 1 3 7 9 10 1 4 10 16 19 20 1 4 13 23 32 35 36 ]
Lozanic,A102541,AntiDiagTabl,[1 1 1 1 1 1 1 2 1 1 2 2 1 3 4 1 1 3 6 2 1 4 9 6 1 1 4 12 10 3 1 5 ]
Lozanic,,BinTabl,[1 1 2 1 2 4 1 3 7 14 1 3 9 21 42 1 4 13 34 76 152 1 4 16 47 116 ]
Lozanic,,InvBinTabl,[1 1 0 1 0 0 1 1 -1 0 1 1 1 -5 10 1 2 1 -4 4 0 1 2 4 -9 12 -18 36 1 ]
Lozanic,,DiffxTabl,[1 1 2 1 2 3 1 4 6 4 1 4 12 8 5 1 6 18 24 15 6 1 6 27 40 45 18 7 1 ]
Lozanic,A005418,RowSum,[1 2 3 6 10 20 36 72 136 272 528 1056 2080 4160 8256 16512 32896 ]
Lozanic,A005418,EvenSum,[1 1 2 3 6 10 20 36 72 136 272 528 1056 2080 4160 8256 16512 32896 ]
Lozanic,A051437,OddSum,[0 1 1 3 4 10 16 36 64 136 256 528 1024 2080 4096 8256 16384 32896 ]
Lozanic,A077957,AltSum,[1 0 1 0 2 0 4 0 8 0 16 0 32 0 64 0 128 0 256 0 ]
Lozanic,A102526,AntiDiagSum,[1 1 2 2 4 5 9 12 21 30 51 76 127 195 322 504 826 1309 2135 3410 ]
Lozanic,,AccSum,[1 3 6 15 30 70 144 324 680 1496 3168 6864 14560 31200 66048 140352 ]
Lozanic,,AccRevSum,[1 3 6 15 30 70 144 324 680 1496 3168 6864 14560 31200 66048 140352 ]
Lozanic,,RowLcm,[1 1 1 2 4 6 90 228 2128 660 69300 60180 3971880 950460 190282092 ]
Lozanic,,RowGcd,[1 1 1 2 2 3 1 1 2 1 1 1 1 1 1 1 2 1 1 1 ]
Lozanic,A034872,RowMax,[1 1 1 2 4 6 10 19 38 66 126 236 472 868 1716 3235 6470 12190 24310 ]
Lozanic,A034872,ColMiddle,[1 1 1 2 4 6 10 19 38 66 126 236 472 868 1716 3235 6470 12190 24310 ]
Lozanic,A032123,ColECentral,[1 1 4 10 38 126 472 1716 6470 24310 ]
Lozanic,A005654,ColOCentral,[1 2 6 19 66 236 868 3235 12190 46252 ]
Lozanic,A000012,ColLeft,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Lozanic,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Lozanic,,BinConv,[1 2 4 14 42 152 508 1892 6758 25556 94704 361748 1369140 5266848 ]
Lozanic,,InvBinConv,[1 0 0 0 10 0 36 0 358 0 2200 0 17524 0 125048 0 957254 0 7160112 0 ]
Lozanic,,TransNat0,[0 1 3 9 20 50 108 252 544 1224 2640 5808 12480 27040 57792 123840 ]
Lozanic,,TransNat1,[1 3 6 15 30 70 144 324 680 1496 3168 6864 14560 31200 66048 140352 ]
Lozanic,,TransSqrs,[0 1 5 19 52 154 384 1020 2464 6152 14560 34928 81216 189472 433664 ]
Lozanic,A001057,DiagRow1,[1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 ]
