Triangle,Anum,Trait,Sequence
Motzkin,A359364,Tabl,[1 1 0 1 0 1 1 0 3 0 1 0 6 0 2 1 0 10 0 10 0 1 0 15 0 30 0 5 1 0 21 ]
Motzkin,A097610,RevTabl,[1 0 1 1 0 1 0 3 0 1 2 0 6 0 1 0 10 0 10 0 1 5 0 30 0 15 0 1 0 35 0 ]
Motzkin,,InvTabl,[]
Motzkin,,InvRevTabl,[1 0 1 -1 0 1 0 -3 0 1 4 0 -6 0 1 0 20 0 -10 0 1 -35 0 60 0 -15 0 1 ]
Motzkin,,RevInvTabl,[]
Motzkin,,AccTabl,[1 1 1 1 1 2 1 1 4 4 1 1 7 7 9 1 1 11 11 21 21 1 1 16 16 46 46 51 1 ]
Motzkin,,RevAccTabl,[1 1 1 2 1 1 4 4 1 1 9 7 7 1 1 21 21 11 11 1 1 51 46 46 16 16 1 1 ]
Motzkin,,AccRevTabl,[1 0 1 1 1 2 0 3 3 4 2 2 8 8 9 0 10 10 20 20 21 5 5 35 35 50 50 51 ]
Motzkin,,AntiDiagTabl,[1 1 1 0 1 0 1 0 1 1 0 3 1 0 6 0 1 0 10 0 1 0 15 0 2 1 0 21 0 10 1 ]
Motzkin,,DiffxTabl,[1 1 0 1 0 3 1 0 9 0 1 0 18 0 10 1 0 30 0 50 0 1 0 45 0 150 0 35 1 ]
Motzkin,,BinTabl,[1 1 1 1 1 2 1 1 4 10 1 1 7 19 39 1 1 11 31 71 151 1 1 16 46 121 ]
Motzkin,,InvBinTabl,[1 1 -1 1 -1 2 1 -1 4 -10 1 -1 7 -19 39 1 -1 11 -31 71 -151 1 -1 16 ]
Motzkin,A001006,RowSum,[1 1 2 4 9 21 51 127 323 835 2188 5798 15511 41835 113634 310572 ]
Motzkin,A001006,EvenSum,[1 1 2 4 9 21 51 127 323 835 2188 5798 15511 41835 113634 310572 ]
Motzkin,A000004,OddSum,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Motzkin,A001006,AltSum,[1 1 2 4 9 21 51 127 323 835 2188 5798 15511 41835 113634 310572 ]
Motzkin,A023426,AntiDiagSum,[1 1 1 1 2 4 7 11 18 32 59 107 191 343 627 1159 2146 3972 7373 ]
Motzkin,A189912,AccSum,[1 2 4 10 25 66 177 484 1339 3742 10538 29866 85087 243478 699324 ]
Motzkin,A025179,AccRevSum,[1 1 4 10 29 81 231 659 1891 5443 15718 45508 132067 384047 1118820 ]
Motzkin,,RowLcm,[1 1 1 3 6 10 30 210 140 1260 6300 4620 13860 180180 420420 6306300 ]
Motzkin,,RowGcd,[1 1 1 3 2 10 5 7 14 6 3 11 66 26 13 1 2 34 17 19 ]
Motzkin,,RowMax,[1 1 1 3 6 10 30 70 140 420 1050 2310 6930 18018 42042 126126 ]
Motzkin,,ColMiddle,[1 1 0 0 6 10 0 0 140 252 0 0 4620 8580 0 0 180180 340340 0 0 ]
Motzkin,A359647,ColECentral,[1 0 6 0 140 0 4620 0 180180 0 ]
Motzkin,,ColOCentral,[1 0 10 0 252 0 8580 0 340340 0 ]
Motzkin,A000012,ColLeft,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Motzkin,A090192,ColRight,[1 0 1 0 2 0 5 0 14 0 42 0 132 0 429 0 1430 0 4862 0 ]
Motzkin,,BinConv,[1 1 2 10 39 151 681 3137 14519 69463 339118 1674278 8376721 ]
Motzkin,,InvBinConv,[1 -1 2 -10 39 -151 681 -3137 14519 -69463 339118 -1674278 8376721 ]
Motzkin,,TransSqrs,[0 0 4 12 56 200 720 2464 8288 27360 89220 287980 922152 2933528 ]
Motzkin,,TransNat0,[0 0 2 6 20 60 180 532 1568 4608 13530 39710 116556 342212 1005186 ]
Motzkin,A025179,TransNat1,[1 1 4 10 29 81 231 659 1891 5443 15718 45508 132067 384047 1118820 ]
Motzkin,A138364,DiagRow1,[1 0 3 0 10 0 35 0 126 0 462 0 1716 0 6435 0 24310 0 92378 0 ]
Motzkin,A002457,DiagRow2,[1 0 6 0 30 0 140 0 630 0 2772 0 12012 0 51480 0 218790 0 923780 0 ]
Motzkin,A002802,DiagRow3,[1 0 10 0 70 0 420 0 2310 0 12012 0 60060 0 291720 0 1385670 0 ]
Motzkin,A000004,DiagCol1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Motzkin,A000217,DiagCol2,[1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 ]
Motzkin,A000004,DiagCol3,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Motzkin,,PolyTabl,[1 1 1 1 1 1 1 2 1 1 1 4 5 1 1 1 9 13 10 1 1 1 21 57 28 17 1 1 1 51 ]
Motzkin,A000012,PolyRow1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Motzkin,A002522,PolyRow2,[1 2 5 10 17 26 37 50 65 82 101 122 145 170 197 226 257 290 325 362 ]
Motzkin,A056107,PolyRow3,[1 4 13 28 49 76 109 148 193 244 301 364 433 508 589 676 769 868 ]
Motzkin,A091147,PolyCol2,[1 1 5 13 57 201 861 3445 14897 63313 278389 1223069 5465065 ]
Motzkin,,PolyCol3,[1 1 10 28 217 901 6211 31375 205507 1153603 7413364 44174494 ]
Motzkin,A359649,PolyDiag,[1 1 5 28 609 6501 272701 4286815 272156417 5648748355 484054204501 ]
Motzkin,A000108,PosHalf,[1 2 5 14 42 132 429 1430 4862 16796 58786 208012 742900 2674440 ]
Motzkin,A000108,NegHalf,[1 -2 5 -14 42 -132 429 -1430 4862 -16796 58786 -208012 742900 ]
