Triangle,Anum,Trait,Sequence
MotzkinGF,A064189,Tabl,[1 1 1 2 2 1 4 5 3 1 9 12 9 4 1 21 30 25 14 5 1 51 76 69 44 20 6 1 ]
MotzkinGF,A026300,RevTabl,[1 1 1 1 2 2 1 3 5 4 1 4 9 12 9 1 5 14 25 30 21 1 6 20 44 69 76 51 ]
MotzkinGF,A101950,InvTabl,[1 -1 1 0 -2 1 1 1 -3 1 -1 2 3 -4 1 0 -4 2 6 -5 1 1 2 -9 0 10 -6 1 ]
MotzkinGF,,RevInvTabl,[1 1 -1 1 -2 0 1 -3 1 1 1 -4 3 2 -1 1 -5 6 2 -4 0 1 -6 10 0 -9 2 1 ]
MotzkinGF,,InvRevTabl,[]
MotzkinGF,,AccTabl,[1 1 2 2 4 5 4 9 12 13 9 21 30 34 35 21 51 76 90 95 96 51 127 196 ]
MotzkinGF,,RevAccTabl,[1 2 1 5 4 2 13 12 9 4 35 34 30 21 9 96 95 90 76 51 21 267 266 260 ]
MotzkinGF,,AccRevTabl,[1 1 2 1 3 5 1 4 9 13 1 5 14 26 35 1 6 20 45 75 96 1 7 27 71 140 ]
MotzkinGF,A106489,AntiDiagTabl,[1 1 2 1 4 2 9 5 1 21 12 3 51 30 9 1 127 76 25 4 323 196 69 14 1 ]
MotzkinGF,,BinTabl,[1 1 2 2 4 7 4 9 17 29 9 21 42 76 128 21 51 106 200 352 587 51 127 ]
MotzkinGF,,InvBinTabl,[1 1 0 2 0 -1 4 1 -3 3 9 3 -6 4 0 21 9 -14 8 0 -5 51 25 -32 14 5 ]
MotzkinGF,,DiffxTabl,[1 1 2 2 4 3 4 10 9 4 9 24 27 16 5 21 60 75 56 25 6 51 152 207 176 ]
MotzkinGF,A005773,RowSum,[1 2 5 13 35 96 267 750 2123 6046 17303 49721 143365 414584 1201917 ]
MotzkinGF,A002426,EvenSum,[1 1 3 7 19 51 141 393 1107 3139 8953 25653 73789 212941 616227 ]
MotzkinGF,A005717,OddSum,[0 1 2 6 16 45 126 357 1016 2907 8350 24068 69576 201643 585690 ]
MotzkinGF,A005043,AltSum,[1 0 1 1 3 6 15 36 91 232 603 1585 4213 11298 30537 83097 227475 ]
MotzkinGF,A005043,AntiDiagSum,[1 1 3 6 15 36 91 232 603 1585 4213 11298 30537 83097 227475 625992 ]
MotzkinGF,A026943,AccSum,[1 3 11 38 129 429 1407 4563 14669 46823 148587 469226 1475669 ]
MotzkinGF,A000244,AccRevSum,[1 3 9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 ]
MotzkinGF,,RowLcm,[1 1 2 60 36 1050 4903140 63847980 448240898560 10968190265340 ]
MotzkinGF,A062557,RowGcd,[1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
MotzkinGF,A026938,RowMax,[1 1 2 5 12 30 76 196 518 1422 3915 10813 29964 83304 232323 649845 ]
MotzkinGF,A344394,ColMiddle,[1 1 2 5 9 25 44 133 230 726 1242 4037 6853 22737 38376 129285 ]
MotzkinGF,A026302,ColECentral,[1 2 9 44 230 1242 6853 38376 217242 1239980 ]
MotzkinGF,A344396,ColOCentral,[1 5 25 133 726 4037 22737 129285 740554 4266830 ]
MotzkinGF,A001006,ColLeft,[1 1 2 4 9 21 51 127 323 835 2188 5798 15511 41835 113634 310572 ]
MotzkinGF,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
MotzkinGF,A344502,BinConv,[1 2 7 29 128 587 2759 13190 63844 311948 1535488 7602971 37829455 ]
MotzkinGF,A344503,InvBinConv,[1 0 -1 3 0 -5 15 0 -28 84 0 -165 495 0 -1001 3003 0 -6188 18564 0 ]
MotzkinGF,A330796,TransNat0,[0 1 4 14 46 147 462 1437 4438 13637 41746 127426 388076 1179739 ]
MotzkinGF,A000244,TransNat1,[1 3 9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 ]
MotzkinGF,A344504,TransSqrs,[0 1 6 26 100 361 1254 4245 14108 46247 149998 482412 1540880 ]
MotzkinGF,A000027,DiagRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
MotzkinGF,A000096,DiagRow2,[2 5 9 14 20 27 35 44 54 65 77 90 104 119 135 152 170 189 209 230 ]
MotzkinGF,A000297,DiagRow3,[4 12 25 44 70 104 147 200 264 340 429 532 650 784 935 1104 1292 ]
MotzkinGF,A002026,DiagCol1,[1 2 5 12 30 76 196 512 1353 3610 9713 26324 71799 196938 542895 ]
