Triangle,Anum,Trait,Sequence
Narayana,A090181,Tabl,[1 0 1 0 1 1 0 1 3 1 0 1 6 6 1 0 1 10 20 10 1 0 1 15 50 50 15 1 0 1 ]
Narayana,A131198,RevTabl,[1 1 0 1 1 0 1 3 1 0 1 6 6 1 0 1 10 20 10 1 0 1 15 50 50 15 1 0 1 ]
Narayana,A103364,InvTabl,[1 0 1 0 -1 1 0 2 -3 1 0 -7 12 -6 1 0 39 -70 40 -10 1 0 -321 585 ]
Narayana,,RevInvTabl,[1 1 0 1 -1 0 1 -3 2 0 1 -6 12 -7 0 1 -10 40 -70 39 0 1 -15 100 ]
Narayana,,InvRevTabl,[]
Narayana,A349740,AccTabl,[1 0 1 0 1 2 0 1 4 5 0 1 7 13 14 0 1 11 31 41 42 0 1 16 66 116 131 ]
Narayana,A104710,RevAccTabl,[1 1 0 2 1 0 5 4 1 0 14 13 7 1 0 42 41 31 11 1 0 132 131 116 66 16 ]
Narayana,,AccRevTabl,[1 1 1 1 2 2 1 4 5 5 1 7 13 14 14 1 11 31 41 42 42 1 16 66 116 131 ]
Narayana,A089732,AntiDiagTabl,[1 0 0 1 0 1 0 1 1 0 1 3 0 1 6 1 0 1 10 6 0 1 15 20 1 0 1 21 50 10 ]
Narayana,,BinTabl,[1 0 1 0 1 3 0 1 5 13 0 1 8 27 65 0 1 12 53 154 356 0 1 17 98 344 ]
Narayana,,InvBinTabl,[1 0 1 0 1 -1 0 1 1 -5 0 1 4 -9 9 0 1 8 -7 -14 56 0 1 13 8 -64 120 ]
Narayana,,DiffxTabl,[1 0 2 0 2 3 0 2 9 4 0 2 18 24 5 0 2 30 80 50 6 0 2 45 200 250 90 7 ]
Narayana,A000108,RowSum,[1 1 2 5 14 42 132 429 1430 4862 16796 58786 208012 742900 2674440 ]
Narayana,A071688,EvenSum,[1 0 1 3 7 20 66 217 715 2424 8398 29414 104006 371384 1337220 ]
Narayana,A071684,OddSum,[0 1 1 2 7 22 66 212 715 2438 8398 29372 104006 371516 1337220 ]
Narayana,A090192,AltSum,[1 -1 0 1 0 -2 0 5 0 -14 0 42 0 -132 0 429 0 -1430 0 4862 ]
Narayana,A004148,AntiDiagSum,[1 0 1 1 2 4 8 17 37 82 185 423 978 2283 5373 12735 30372 72832 ]
Narayana,A088218,AccSum,[1 1 3 10 35 126 462 1716 6435 24310 92378 352716 1352078 5200300 ]
Narayana,A189176,AccRevSum,[1 2 5 15 49 168 594 2145 7865 29172 109174 411502 1560090 5943200 ]
Narayana,,RowLcm,[1 1 1 3 6 20 150 525 980 7056 52920 485100 4573800 3397680 5153148 ]
Narayana,,RowGcd,[1 1 1 3 6 10 5 7 14 12 9 11 11 13 13 1 2 68 17 19 ]
Narayana,A005558,RowMax,[1 1 1 3 6 20 50 175 490 1764 5292 19404 60984 226512 736164 ]
Narayana,,ColMiddle,[1 0 1 1 6 10 50 105 490 1176 5292 13860 60984 169884 736164 ]
Narayana,A125558,ColECentral,[1 1 6 50 490 5292 60984 736164 9202050 118195220 ]
Narayana,A046715,ColOCentral,[0 1 10 105 1176 13860 169884 2147145 27810640 367479684 ]
Narayana,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Narayana,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Narayana,,BinConv,[1 1 3 13 65 356 2072 12601 79221 511174 3368090 22577160 153534680 ]
Narayana,,InvBinConv,[1 1 -1 -5 9 56 -120 -825 1925 14014 -34398 -259896 659736 5116320 ]
Narayana,A001700,TransNat0,[0 1 3 10 35 126 462 1716 6435 24310 92378 352716 1352078 5200300 ]
Narayana,A189176,TransNat1,[1 2 5 15 49 168 594 2145 7865 29172 109174 411502 1560090 5943200 ]
Narayana,A141222,TransSqrs,[0 1 5 22 95 406 1722 7260 30459 127270 529958 2200276 9111830 ]
Narayana,A000217,DiagRow1,[0 1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 ]
Narayana,A002415,DiagRow2,[0 1 6 20 50 105 196 336 540 825 1210 1716 2366 3185 4200 5440 6936 ]
Narayana,A006542,DiagRow3,[0 1 10 50 175 490 1176 2520 4950 9075 15730 26026 41405 63700 ]
Narayana,A000012,DiagCol1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
