Triangle,Anum,Trait,Sequence
Nicomachus,A036561,Tabl,[1 2 3 4 6 9 8 12 18 27 16 24 36 54 81 32 48 72 108 162 243 64 96 ]
Nicomachus,A175840,RevTabl,[1 3 2 9 6 4 27 18 12 8 81 54 36 24 16 243 162 108 72 48 32 729 486 ]
Nicomachus,,InvTabl,[]
Nicomachus,,InvRevTabl,[]
Nicomachus,,RevInvTabl,[]
Nicomachus,A230435,AccTabl,[1 2 5 4 10 19 8 20 38 65 16 40 76 130 211 32 80 152 260 422 665 64 ]
Nicomachus,,RevAccTabl,[1 5 2 19 10 4 65 38 20 8 211 130 76 40 16 665 422 260 152 80 32 ]
Nicomachus,,AccRevTabl,[1 3 5 9 15 19 27 45 57 65 81 135 171 195 211 243 405 513 585 633 ]
Nicomachus,,AntiDiagTabl,[1 2 4 3 8 6 16 12 9 32 24 18 64 48 36 27 128 96 72 54 256 192 144 ]
Nicomachus,,DiffxTabl,[1 2 6 4 12 27 8 24 54 108 16 48 108 216 405 32 96 216 432 810 1458 ]
Nicomachus,A232646,BinTabl,[1 2 5 4 10 25 8 20 50 125 16 40 100 250 625 32 80 200 500 1250 ]
Nicomachus,A130321,InvBinTabl,[1 2 1 4 2 1 8 4 2 1 16 8 4 2 1 32 16 8 4 2 1 64 32 16 8 4 2 1 128 ]
Nicomachus,A001047,RowSum,[1 5 19 65 211 665 2059 6305 19171 58025 175099 527345 1586131 ]
Nicomachus,,EvenSum,[1 2 13 26 133 266 1261 2522 11605 23210 105469 210938 953317 ]
Nicomachus,,OddSum,[0 3 6 39 78 399 798 3783 7566 34815 69630 316407 632814 2859951 ]
Nicomachus,A015441,AltSum,[1 -1 7 -13 55 -133 463 -1261 4039 -11605 35839 -105469 320503 ]
Nicomachus,A167762,AntiDiagSum,[1 2 7 14 37 74 175 350 781 1562 3367 6734 14197 28394 58975 117950 ]
Nicomachus,A066810,AccSum,[1 7 33 131 473 1611 5281 16867 52905 163835 502769 1532883 4651897 ]
Nicomachus,,AccRevSum,[1 8 43 194 793 3044 11191 39878 138805 474440 1598419 5322602 ]
Nicomachus,A000400,RowLcm,[1 6 36 216 1296 7776 46656 279936 1679616 10077696 60466176 ]
Nicomachus,A000012,RowGcd,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Nicomachus,A000244,RowMax,[1 3 9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 ]
Nicomachus,A026549,ColMiddle,[1 2 6 12 36 72 216 432 1296 2592 7776 15552 46656 93312 279936 ]
Nicomachus,A000400,ColECentral,[1 6 36 216 1296 7776 46656 279936 1679616 10077696 ]
Nicomachus,A167747,ColOCentral,[2 12 72 432 2592 15552 93312 559872 3359232 20155392 ]
Nicomachus,A000079,ColLeft,[1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 ]
Nicomachus,A000244,ColRight,[1 3 9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 ]
Nicomachus,A000351,BinConv,[1 5 25 125 625 3125 15625 78125 390625 1953125 9765625 48828125 ]
Nicomachus,A000012,InvBinConv,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Nicomachus,,TransSqrs,[0 3 42 327 1950 9975 46194 199551 819006 3232335 12369570 46173927 ]
Nicomachus,,TransNat0,[0 3 24 129 582 2379 9132 33573 119634 416415 1423320 4795257 ]
Nicomachus,,TransNat1,[1 8 43 194 793 3044 11191 39878 138805 474440 1598419 5322602 ]
Nicomachus,A008776,DiagRow1,[2 6 18 54 162 486 1458 4374 13122 39366 118098 354294 1062882 ]
Nicomachus,A003946,DiagRow2,[4 12 36 108 324 972 2916 8748 26244 78732 236196 708588 2125764 ]
Nicomachus,A005051,DiagRow3,[8 24 72 216 648 1944 5832 17496 52488 157464 472392 1417176 ]
Nicomachus,A003945,DiagCol1,[3 6 12 24 48 96 192 384 768 1536 3072 6144 12288 24576 49152 98304 ]
Nicomachus,A005010,DiagCol2,[9 18 36 72 144 288 576 1152 2304 4608 9216 18432 36864 73728 ]
Nicomachus,A175806,DiagCol3,[27 54 108 216 432 864 1728 3456 6912 13824 27648 55296 110592 ]
Nicomachus,,PolyTabl,[1 2 1 4 5 1 8 19 8 1 16 65 52 11 1 32 211 320 103 14 1 64 665 1936 ]
Nicomachus,A016789,PolyRow1,[2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59 ]
Nicomachus,,PolyRow2,[4 19 52 103 172 259 364 487 628 787 964 1159 1372 1603 1852 2119 ]
Nicomachus,,PolyRow3,[8 65 320 935 2072 3893 6560 10235 15080 21257 28928 38255 49400 ]
Nicomachus,A016129,PolyCol2,[1 8 52 320 1936 11648 69952 419840 2519296 15116288 90698752 ]
Nicomachus,A016133,PolyCol3,[1 11 103 935 8431 75911 683263 6149495 55345711 498111911 ]
Nicomachus,,PolyDiag,[1 5 52 935 24880 876197 38263744 1990676795 120082160896 ]
Nicomachus,A005061,PosHalf,[1 7 37 175 781 3367 14197 58975 242461 989527 4017157 16245775 ]
Nicomachus,A053404,NegHalf,[1 -1 13 -25 181 -481 2653 -8425 40261 -141361 624493 -2320825 ]
