Triangle,Trait,ANumber,Sequence
OEIS Similars: A048594 A075181 A225479,,,
ordered_cycle,Triangle ,A225479,[1 0 1 0 1 2 0 2 6 6 0 6 22 36 24 0 24 100 210 240 120 0 120 548 ]
ordered_cycle,TriRev   ,A000000,[1 1 0 2 1 0 6 6 2 0 24 36 22 6 0 120 240 210 100 24 0 720 1800 ]
ordered_cycle,TriAcc   ,A000000,[1 0 1 0 1 3 0 2 8 14 0 6 28 64 88 0 24 124 334 574 694 0 120 668 ]
ordered_cycle,TriRevAcc,A000000,[1 1 0 3 1 0 14 8 2 0 88 64 28 6 0 694 574 334 124 24 0 6578 5858 ]
ordered_cycle,TriAccRev,A000000,[1 1 1 2 3 3 6 12 14 14 24 60 82 88 88 120 360 570 670 694 694 720 ]
ordered_cycle,TriDiag  ,A000000,[1 0 0 1 0 1 0 2 2 0 6 6 0 24 22 6 0 120 100 36 0 720 548 210 24 0 ]
ordered_cycle,TriPoly  ,A000000,[1 0 1 0 1 1 0 3 2 1 0 14 10 3 1 0 88 76 21 4 1 0 694 772 222 36 5 ]
ordered_cycle,TriConv  ,A000000,[1 0 1 0 1 5 0 2 14 76 0 6 50 360 2392 0 24 224 1908 15664 126676 0 ]
ordered_cycle,TriBin   ,A000000,[1 0 1 0 1 4 0 2 10 30 0 6 34 120 324 0 24 148 582 1776 4540 0 120 ]
ordered_cycle,TriInvBin,A000000,[1 0 1 0 1 0 0 2 2 -6 0 6 10 -12 -12 0 24 52 -18 -96 140 0 120 308 ]
ordered_cycle,Sum      ,A007840,[1 1 3 14 88 694 6578 72792 920904 13109088 207360912 3608233056 ]
ordered_cycle,EvenSum  ,A052811,[1 0 2 6 46 340 3308 36288 460752 6551424 103685232 1803956880 ]
ordered_cycle,OddSum   ,A000000,[0 1 1 8 42 354 3270 36504 460152 6557664 103675680 1804276176 ]
ordered_cycle,AltSum   ,A006252,[1 -1 1 -2 4 -14 38 -216 600 -6240 9552 -319296 -519312 -28108560 ]
