Triangle,Anum,Trait,Sequence
Ordinals,A002262,Tabl,[0 0 1 0 1 2 0 1 2 3 0 1 2 3 4 0 1 2 3 4 5 0 1 2 3 4 5 6 0 1 2 3 4 ]
Ordinals,A025581,RevTabl,[0 1 0 2 1 0 3 2 1 0 4 3 2 1 0 5 4 3 2 1 0 6 5 4 3 2 1 0 7 6 5 4 3 ]
Ordinals,,InvTabl,[]
Ordinals,,RevInvTabl,[]
Ordinals,,InvRevTabl,[]
Ordinals,A112367,AccTabl,[0 0 1 0 1 3 0 1 3 6 0 1 3 6 10 0 1 3 6 10 15 0 1 3 6 10 15 21 0 1 ]
Ordinals,A122432,RevAccTabl,[0 1 0 3 1 0 6 3 1 0 10 6 3 1 0 15 10 6 3 1 0 21 15 10 6 3 1 0 28 ]
Ordinals,A141418,AccRevTabl,[0 1 1 2 3 3 3 5 6 6 4 7 9 10 10 5 9 12 14 15 15 6 11 15 18 20 21 ]
Ordinals,A025685,AntiDiagTabl,[0 0 0 1 0 1 0 1 2 0 1 2 0 1 2 3 0 1 2 3 0 1 2 3 4 0 1 2 3 4 0 1 2 ]
Ordinals,,BinTabl,[0 0 1 0 1 4 0 1 4 12 0 1 4 12 32 0 1 4 12 32 80 0 1 4 12 32 80 192 ]
Ordinals,A073424,InvBinTabl,[0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 ]
Ordinals,,DiffxTabl,[0 0 2 0 2 6 0 2 6 12 0 2 6 12 20 0 2 6 12 20 30 0 2 6 12 20 30 42 ]
Ordinals,A000217,RowSum,[0 1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 ]
Ordinals,A110660,EvenSum,[0 0 2 2 6 6 12 12 20 20 30 30 42 42 56 56 72 72 90 90 ]
Ordinals,A008794,OddSum,[0 1 1 4 4 9 9 16 16 25 25 36 36 49 49 64 64 81 81 100 ]
Ordinals,A001057,AltSum,[0 -1 1 -2 2 -3 3 -4 4 -5 5 -6 6 -7 7 -8 8 -9 9 -10 ]
Ordinals,A008805,AntiDiagSum,[0 0 1 1 3 3 6 6 10 10 15 15 21 21 28 28 36 36 45 45 ]
Ordinals,A000292,AccSum,[0 1 4 10 20 35 56 84 120 165 220 286 364 455 560 680 816 969 1140 ]
Ordinals,A007290,AccRevSum,[0 2 8 20 40 70 112 168 240 330 440 572 728 910 1120 1360 1632 1938 ]
Ordinals,A003418,RowLcm,[1 1 2 6 12 60 60 420 840 2520 2520 27720 27720 360360 360360 ]
Ordinals,A062557,RowGcd,[1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Ordinals,A001477,RowMax,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Ordinals,A004526,ColMiddle,[0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 ]
Ordinals,A000030,ColECentral,[0 1 2 3 4 5 6 7 8 9 ]
Ordinals,A000030,ColOCentral,[0 1 2 3 4 5 6 7 8 9 ]
Ordinals,A000004,ColLeft,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Ordinals,A001477,ColRight,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Ordinals,A001787,BinConv,[0 1 4 12 32 80 192 448 1024 2304 5120 11264 24576 53248 114688 ]
Ordinals,A003982,InvBinConv,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Ordinals,A000330,TransNat0,[0 1 5 14 30 55 91 140 204 285 385 506 650 819 1015 1240 1496 1785 ]
Ordinals,A007290,TransNat1,[0 2 8 20 40 70 112 168 240 330 440 572 728 910 1120 1360 1632 1938 ]
Ordinals,A000537,TransSqrs,[0 1 9 36 100 225 441 784 1296 2025 3025 4356 6084 8281 11025 14400 ]
Ordinals,A001477,DiagRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Ordinals,A001477,DiagRow2,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Ordinals,A001477,DiagRow3,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Ordinals,A000012,DiagCol1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Ordinals,A000520,DiagCol2,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ]
Ordinals,A000193,DiagCol3,[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 ]
Ordinals,,PolyTabl,[0 0 0 0 1 0 0 3 2 0 0 6 10 3 0 0 10 34 21 4 0 0 15 98 102 36 5 0 0 ]
Ordinals,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Ordinals,A014105,PolyRow2,[0 3 10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 ]
Ordinals,A067389,PolyRow3,[0 6 34 102 228 430 726 1134 1672 2358 3210 4246 5484 6942 8638 ]
Ordinals,A036799,PolyCol2,[0 2 10 34 98 258 642 1538 3586 8194 18434 40962 90114 196610 ]
Ordinals,A289399,PolyCol3,[0 3 21 102 426 1641 6015 21324 73812 250959 841449 2790066 9167358 ]
Ordinals,A062806,PolyDiag,[0 1 10 102 1252 18555 324726 6565468 150652552 3868151445 ]
Ordinals,A000295,PosHalf,[0 1 4 11 26 57 120 247 502 1013 2036 4083 8178 16369 32752 65519 ]
Ordinals,A053088,NegHalf,[0 1 0 3 -2 9 -12 31 -54 117 -224 459 -906 1825 -3636 7287 -14558 ]
