Triangle,Anum,Trait,Sequence
Partition,A072233,Tabl,[1 0 1 0 1 1 0 1 1 1 0 1 2 1 1 0 1 2 2 1 1 0 1 3 3 2 1 1 0 1 3 4 3 ]
Partition,A058398,RevTabl,[1 1 0 1 1 0 1 1 1 0 1 1 2 1 0 1 1 2 2 1 0 1 1 2 3 3 1 0 1 1 2 3 4 ]
Partition,,InvTabl,[1 0 1 0 -1 1 0 0 -1 1 0 1 -1 -1 1 0 0 1 -1 -1 1 0 0 1 0 -1 -1 1 0 ]
Partition,,InvRevTabl,[]
Partition,A139128,RevInvTabl,[1 1 0 1 -1 0 1 -1 0 0 1 -1 -1 1 0 1 -1 -1 1 0 0 1 -1 -1 0 1 0 0 1 ]
Partition,A026820,AccTabl,[1 0 1 0 1 2 0 1 2 3 0 1 3 4 5 0 1 3 5 6 7 0 1 4 7 9 10 11 0 1 4 8 ]
Partition,A058400,RevAccTabl,[1 1 0 2 1 0 3 2 1 0 5 4 3 1 0 7 6 5 3 1 0 11 10 9 7 4 1 0 15 14 13 ]
Partition,,AccRevTabl,[1 1 1 1 2 2 1 2 3 3 1 2 4 5 5 1 2 4 6 7 7 1 2 4 7 10 11 11 1 2 4 7 ]
Partition,A145574,AntiDiagTabl,[1 0 0 1 0 1 0 1 1 0 1 1 0 1 2 1 0 1 2 1 0 1 3 2 1 0 1 3 3 1 0 1 4 ]
Partition,,DiffxTabl,[1 0 2 0 2 3 0 2 3 4 0 2 6 4 5 0 2 6 8 5 6 0 2 9 12 10 6 7 0 2 9 16 ]
Partition,,BinTabl,[1 0 1 0 1 3 0 1 3 7 0 1 4 10 21 0 1 4 11 25 51 0 1 5 15 36 76 148 ]
Partition,,InvBinTabl,[1 0 1 0 1 -1 0 1 -1 1 0 1 0 -2 5 0 1 0 -1 1 1 0 1 1 -3 4 -4 4 0 1 ]
Partition,A000041,RowSum,[1 1 2 3 5 7 11 15 22 30 42 56 77 101 135 176 231 297 385 490 ]
Partition,A027187,EvenSum,[1 0 1 1 3 3 6 7 12 14 22 27 40 49 69 86 118 146 195 242 ]
Partition,A027193,OddSum,[0 1 1 2 2 4 5 8 10 16 20 29 37 52 66 90 113 151 190 248 ]
Partition,A000700,AltSum,[1 -1 0 -1 1 -1 1 -1 2 -2 2 -2 3 -3 3 -4 5 -5 5 -6 ]
Partition,A002865,AntiDiagSum,[1 0 1 1 2 2 4 4 7 8 12 14 21 24 34 41 55 66 88 105 ]
Partition,A058397,AccSum,[1 1 3 6 13 22 42 66 112 172 270 397 602 858 1245 1748 2464 3381 ]
Partition,A093694,AccRevSum,[1 2 5 9 17 27 46 69 108 158 234 331 476 657 915 1244 1694 2262 ]
Partition,,RowLcm,[1 1 1 1 2 2 6 12 60 420 2520 2310 60060 6930 425040 5135130 ]
Partition,A030409,RowGcd,[1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Partition,A002569,RowMax,[1 1 1 1 2 2 3 4 5 7 9 11 15 18 23 30 37 47 58 71 ]
Partition,A066639,ColMiddle,[1 0 1 1 2 2 3 4 5 6 7 10 11 14 15 21 22 29 30 41 ]
Partition,A000041,ColECentral,[1 1 2 3 5 7 11 15 22 30 ]
Partition,A000065,ColOCentral,[0 1 2 4 6 10 14 21 29 41 ]
Partition,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Partition,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Partition,A098545,BinConv,[1 1 3 7 21 51 148 365 983 2461 6360 15687 39757 97033 240425 ]
Partition,,InvBinConv,[1 1 -1 1 5 1 4 15 55 139 152 397 1429 2549 3457 9330 26105 48791 ]
Partition,A296010,TransSqrs,[0 1 5 14 34 68 133 232 402 652 1048 1609 2465 3640 5358 7694 10993 ]
Partition,A006128,TransNat0,[0 1 3 6 12 20 35 54 86 128 192 275 399 556 780 1068 1463 1965 2644 ]
Partition,A093694,TransNat1,[1 2 5 9 17 27 46 69 108 158 234 331 476 657 915 1244 1694 2262 ]
Partition,A000520,DiagRow1,[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Partition,A065685,DiagRow2,[0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ]
Partition,A065683,DiagRow3,[0 1 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 ]
Partition,A000012,DiagCol1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Partition,A001057,DiagCol2,[1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 ]
Partition,A001399,DiagCol3,[1 1 2 3 4 5 7 8 10 12 14 16 19 21 24 27 30 33 37 40 ]
Partition,,PolyTabl,[1 0 1 0 1 1 0 2 2 1 0 3 6 3 1 0 5 14 12 4 1 0 7 34 39 20 5 1 0 11 ]
Partition,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Partition,A002378,PolyRow2,[0 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
Partition,A027444,PolyRow3,[0 3 14 39 84 155 258 399 584 819 1110 1463 1884 2379 2954 3615 ]
Partition,A070933,PolyCol2,[1 2 6 14 34 74 166 350 746 1546 3206 6550 13386 27114 54894 110630 ]
Partition,A242587,PolyCol3,[1 3 12 39 129 399 1245 3783 11514 34734 104754 314922 946623 ]
Partition,A124577,PolyDiag,[1 1 6 39 356 4055 57786 983535 19520264 441967518 11235798510 ]
Partition,A075900,PosHalf,[1 1 3 7 19 43 115 259 659 1523 3731 8531 20883 47379 113043 259219 ]
Partition,A352402,NegHalf,[1 1 -1 3 -1 7 -1 15 31 63 159 95 671 287 3231 2975 15519 7839 ]
