Triangle,Trait,ANumber,Sequence
OEIS Similars: A008284 A058398 A072233,,,
partnum_max,Triangle ,nothing,[1 0 1 0 1 2 0 1 2 3 0 1 3 4 5 0 1 3 5 6 7 0 1 4 7 9 10 11 0 1 4 8 ]
partnum_max,TriRev   ,nothing,[1 1 0 2 1 0 3 2 1 0 5 4 3 1 0 7 6 5 3 1 0 11 10 9 7 4 1 0 15 14 13 ]
partnum_max,TriAcc   ,nothing,[1 0 1 0 1 3 0 1 3 6 0 1 4 8 13 0 1 4 9 15 22 0 1 5 12 21 31 42 0 1 ]
partnum_max,TriRevAcc,nothing,[1 1 0 3 1 0 6 3 1 0 13 8 4 1 0 22 15 9 4 1 0 42 31 21 12 5 1 0 66 ]
partnum_max,TriAccRev,nothing,[1 1 1 2 3 3 3 5 6 6 5 9 12 13 13 7 13 18 21 22 22 11 21 30 37 41 ]
partnum_max,TriDiag  ,nothing,[1 0 0 1 0 1 0 1 2 0 1 2 0 1 3 3 0 1 3 4 0 1 4 5 5 0 1 4 7 6 0 1 5 ]
partnum_max,TriPoly  ,nothing,[1 0 1 0 1 1 0 3 2 1 0 6 10 3 1 0 13 34 21 4 1 0 22 126 102 36 5 1 ]
partnum_max,TriConv  ,nothing,[1 0 1 0 1 5 0 1 5 14 0 1 7 19 51 0 1 7 22 60 120 0 1 9 30 86 172 ]
partnum_max,TriBin   ,nothing,[1 0 1 0 1 4 0 1 4 12 0 1 5 16 43 0 1 5 17 48 122 0 1 6 22 65 170 ]
partnum_max,TriInvBin,nothing,[1 0 1 0 1 0 0 1 0 0 0 1 1 -2 3 0 1 1 -1 0 2 0 1 2 -2 1 0 0 0 1 2 ]
partnum_max,Sum      ,A058397,[1 1 3 6 13 22 42 66 112 172 270 397 602 858 1245 1748 2464 3381 ]
partnum_max,EvenSum  ,nothing,[1 0 2 2 8 9 24 29 62 78 146 184 321 403 657 829 1291 1615 2433 ]
partnum_max,OddSum   ,nothing,[0 1 1 4 5 13 18 37 50 94 124 213 281 455 588 919 1173 1766 2238 ]
partnum_max,AltSum   ,A046682,[1 -1 1 -2 3 -4 6 -8 12 -16 22 -29 40 -52 69 -90 118 -151 195 -248 ]
partnum_max,AccSum   ,nothing,[1 1 4 10 26 51 112 197 374 632 1088 1735 2853 4363 6789 10161 ]
partnum_max,AccRevSum,nothing,[1 1 4 10 26 51 112 197 374 632 1088 1735 2853 4363 6789 10161 ]
partnum_max,RevAccSum,nothing,[1 2 8 20 52 103 224 397 746 1260 2152 3426 5575 8507 13131 19555 ]
partnum_max,DiagSum  ,A110618,[1 0 1 1 3 3 7 8 15 18 30 37 58 71 105 131 186 230 318 393 530 653 ]
partnum_max,RowLcm   ,nothing,[1 1 2 6 60 210 13860 120120 13860 10925460 15050280 559999440 ]
partnum_max,RowGcd   ,A078315,[1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
partnum_max,RowMax   ,A000041,[1 1 2 3 5 7 11 15 22 30 42 56 77 101 135 176 231 297 385 490 627 ]
partnum_max,Middle   ,A110618,[1 0 1 1 3 3 7 8 15 18 30 37 58 71 105 131 186 230 318 393 530 653 ]
partnum_max,Central  ,A209816,[1 1 3 7 15 30 58 105 186 318 530 863 ]
partnum_max,LeftSide ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
partnum_max,RightSide,A000041,[1 1 2 3 5 7 11 15 22 30 42 56 77 101 135 176 231 297 385 490 627 ]
partnum_max,PosHalf  ,nothing,[1 1 4 11 33 79 219 503 1296 3016 7420 17006 41689 94657 225951 ]
partnum_max,NegHalf  ,nothing,[1 1 0 3 1 7 3 15 28 52 120 82 473 225 2199 2042 10423 5325 29589 ]
partnum_max,Bin      ,nothing,[1 1 4 12 43 122 412 1142 3516 9846 28512 77694 220429 588975 ]
partnum_max,InvBin   ,nothing,[1 1 0 0 3 2 0 8 28 60 72 188 693 1271 1703 4466 12579 23502 39916 ]
partnum_max,TransSqrs,nothing,[0 1 9 36 129 329 870 1829 3958 7586 14472 25489 45369 75299 125432 ]
partnum_max,TransNat0,nothing,[0 1 5 14 39 81 182 331 634 1088 1882 3029 4973 7649 11886 17807 ]
partnum_max,TransNat1,nothing,[1 2 8 20 52 103 224 397 746 1260 2152 3426 5575 8507 13131 19555 ]
partnum_max,DiagRow0 ,A000041,[1 1 2 3 5 7 11 15 22 30 42 56 77 101 135 176 231 297 385 490 627 ]
partnum_max,DiagRow1 ,A000065,[0 1 2 4 6 10 14 21 29 41 55 76 100 134 175 230 296 384 489 626 791 ]
partnum_max,DiagRow2 ,A007042,[0 1 3 5 9 13 20 28 40 54 75 99 133 174 229 295 383 488 625 790 ]
partnum_max,DiagRow3 ,A335323,[0 1 3 7 11 18 26 38 52 73 97 131 172 227 293 381 486 623 788 998 ]
partnum_max,DiagCol0 ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
partnum_max,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
partnum_max,DiagCol2 ,A001057,[2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 ]
partnum_max,DiagCol3 ,A001399,[3 4 5 7 8 10 12 14 16 19 21 24 27 30 33 37 40 44 48 52 56 61 65 70 ]
partnum_max,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
partnum_max,PolyRow1 ,A001477,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ]
partnum_max,PolyRow2 ,A014105,[0 3 10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 ]
partnum_max,PolyRow3 ,A067389,[0 6 34 102 228 430 726 1134 1672 2358 3210 4246 5484 6942 8638 ]
partnum_max,PolyCol0 ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
partnum_max,PolyCol1 ,A058397,[1 1 3 6 13 22 42 66 112 172 270 397 602 858 1245 1748 2464 3381 ]
partnum_max,PolyCol2 ,nothing,[1 2 10 34 126 374 1242 3490 10518 29174 82810 222826 617398 ]
partnum_max,PolyCol3 ,nothing,[1 3 21 102 543 2352 11406 47316 210756 868368 3667710 14722887 ]
partnum_max,PolyDiag ,nothing,[1 1 10 102 1588 26330 604302 14248080 419038536 13020195564 ]
# partnum_max, 49 traits, 23 A-numbers,46%
