Triangle,Anum,Trait,Sequence
Polygonal,A139600,Tabl,[0 0 1 0 1 2 0 1 3 3 0 1 4 6 4 0 1 5 9 10 5 0 1 6 12 16 15 6 0 1 7 ]
Polygonal,A134394,RevTabl,[0 1 0 2 1 0 3 3 1 0 4 6 4 1 0 5 10 9 5 1 0 6 15 16 12 6 1 0 7 21 ]
Polygonal,,InvTabl,[]
Polygonal,,RevInvTabl,[]
Polygonal,,InvRevTabl,[]
Polygonal,,AccTabl,[0 0 1 0 1 3 0 1 4 7 0 1 5 11 15 0 1 6 15 25 30 0 1 7 19 35 50 56 0 ]
Polygonal,,RevAccTabl,[0 1 0 3 1 0 7 4 1 0 15 11 5 1 0 30 25 15 6 1 0 56 50 35 19 7 1 0 ]
Polygonal,,AccRevTabl,[0 1 1 2 3 3 3 6 7 7 4 10 14 15 15 5 15 24 29 30 30 6 21 37 49 55 ]
Polygonal,,AntiDiagTabl,[0 0 0 1 0 1 0 1 2 0 1 3 0 1 4 3 0 1 5 6 0 1 6 9 4 0 1 7 12 10 0 1 ]
Polygonal,,BinTabl,[0 0 1 0 1 4 0 1 5 15 0 1 6 21 56 0 1 7 27 80 200 0 1 8 33 104 280 ]
Polygonal,,InvBinTabl,[0 0 1 0 1 0 0 1 1 -3 0 1 2 -3 0 0 1 3 -3 0 0 0 1 4 -3 0 0 0 0 1 5 ]
Polygonal,,DiffxTabl,[0 0 2 0 2 6 0 2 9 12 0 2 12 24 20 0 2 15 36 50 30 0 2 18 48 80 90 ]
Polygonal,A055795,RowSum,[0 1 3 7 15 30 56 98 162 255 385 561 793 1092 1470 1940 2516 3213 ]
Polygonal,,EvenSum,[0 0 2 3 8 15 28 50 80 130 190 285 392 553 728 980 1248 1620 2010 ]
Polygonal,,OddSum,[0 1 1 4 7 15 28 48 82 125 195 276 401 539 742 960 1268 1593 2037 ]
Polygonal,,AltSum,[0 -1 1 -1 1 0 0 2 -2 5 -5 9 -9 14 -14 20 -20 27 -27 35 ]
Polygonal,,AntiDiagSum,[0 0 1 1 3 4 8 12 20 30 45 65 91 126 168 224 288 372 465 585 ]
Polygonal,,AccSum,[0 1 4 12 32 77 168 336 624 1089 1804 2860 4368 6461 9296 13056 ]
Polygonal,,AccRevSum,[0 2 8 23 58 133 280 546 996 1716 2816 4433 6734 9919 14224 19924 ]
Polygonal,,RowLcm,[1 1 2 3 12 90 240 11550 2520 149940 221760 37297260 7207200 ]
Polygonal,A307641,RowGcd,[1 1 2 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Polygonal,,RowMax,[0 1 2 3 6 10 16 25 36 51 70 92 120 153 190 235 286 342 408 481 ]
Polygonal,,ColMiddle,[0 0 1 1 4 5 12 15 28 34 55 65 96 111 154 175 232 260 333 369 ]
Polygonal,A006000,ColECentral,[0 1 4 12 28 55 96 154 232 333 ]
Polygonal,A006003,ColOCentral,[0 1 5 15 34 65 111 175 260 369 ]
Polygonal,A000004,ColLeft,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Polygonal,A001477,ColRight,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Polygonal,,BinConv,[0 1 4 15 56 200 672 2128 6400 18432 51200 137984 362496 931840 ]
Polygonal,A103775,InvBinConv,[0 1 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Polygonal,,TransNat0,[0 1 5 16 43 103 224 448 834 1461 2431 3872 5941 8827 12754 17984 ]
Polygonal,,TransNat1,[0 2 8 23 58 133 280 546 996 1716 2816 4433 6734 9919 14224 19924 ]
Polygonal,,TransSqrs,[0 1 9 40 135 387 980 2240 4698 9165 16819 29304 48841 78351 121590 ]
Polygonal,A000217,DiagRow1,[0 1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 ]
Polygonal,A000290,DiagRow2,[0 1 4 9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 361 ]
Polygonal,A000326,DiagRow3,[0 1 5 12 22 35 51 70 92 117 145 176 210 247 287 330 376 425 477 ]
Polygonal,A000012,DiagCol1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Polygonal,A000027,DiagCol2,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 ]
Polygonal,A008486,DiagCol3,[3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 ]
Polygonal,,PolyTabl,[0 0 0 0 1 0 0 3 2 0 0 7 10 3 0 0 15 38 21 4 0 0 30 130 111 36 5 0 ]
Polygonal,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Polygonal,A014105,PolyRow2,[0 3 10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 ]
Polygonal,A249354,PolyRow3,[0 7 38 111 244 455 762 1183 1736 2439 3310 4367 5628 7111 8834 ]
Polygonal,,PolyCol2,[0 2 10 38 130 414 1242 3542 9682 25550 65482 163782 401346 966590 ]
Polygonal,,PolyCol3,[0 3 21 111 525 2316 9696 38946 151302 572025 2114679 7672665 ]
Polygonal,,PolyDiag,[0 1 10 111 1476 23130 420126 8713922 203646472 5300831655 ]
Polygonal,A360606,PosHalf,[0 1 4 13 40 117 324 853 2152 5245 12436 28845 65736 147685 327940 ]
Polygonal,A360605,NegHalf,[0 1 0 1 0 -3 8 -31 72 -195 448 -1071 2416 -5475 12120 -26719 58232 ]
