Triangle,Anum,Trait,Sequence
PowLaguerre,A021012,Tabl,[1 1 1 2 4 2 6 18 18 6 24 96 144 96 24 120 600 1200 1200 600 120 ]
PowLaguerre,A021012,RevTabl,[1 1 1 2 4 2 6 18 18 6 24 96 144 96 24 120 600 1200 1200 600 120 ]
PowLaguerre,,InvTabl,[]
PowLaguerre,,InvRevTabl,[]
PowLaguerre,,RevInvTabl,[]
PowLaguerre,,AccTabl,[1 1 2 2 6 8 6 24 42 48 24 120 264 360 384 120 720 1920 3120 3720 ]
PowLaguerre,,RevAccTabl,[1 2 1 8 6 2 48 42 24 6 384 360 264 120 24 3840 3720 3120 1920 720 ]
PowLaguerre,,AccRevTabl,[1 1 2 2 6 8 6 24 42 48 24 120 264 360 384 120 720 1920 3120 3720 ]
PowLaguerre,,AntiDiagTabl,[1 1 2 1 6 4 24 18 2 120 96 18 720 600 144 6 5040 4320 1200 96 ]
PowLaguerre,,DiffxTabl,[1 1 2 2 8 6 6 36 54 24 24 192 432 384 120 120 1200 3600 4800 3000 ]
PowLaguerre,,BinTabl,[1 1 2 2 6 12 6 24 60 120 24 120 360 840 1680 120 720 2520 6720 ]
PowLaguerre,,InvBinTabl,[1 1 0 2 2 -4 6 12 -12 0 24 72 -24 -72 144 120 480 120 -720 720 0 ]
PowLaguerre,A000165,RowSum,[1 2 8 48 384 3840 46080 645120 10321920 185794560 3715891200 ]
PowLaguerre,A002866,EvenSum,[1 1 4 24 192 1920 23040 322560 5160960 92897280 1857945600 ]
PowLaguerre,A002866,OddSum,[0 1 4 24 192 1920 23040 322560 5160960 92897280 1857945600 ]
PowLaguerre,A000007,AltSum,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
PowLaguerre,A240172,AntiDiagSum,[1 1 3 10 44 234 1470 10656 87624 806280 8211000 91707120 ]
PowLaguerre,A187735,AccSum,[1 3 16 120 1152 13440 184320 2903040 51609600 1021870080 ]
PowLaguerre,A187735,AccRevSum,[1 3 16 120 1152 13440 184320 2903040 51609600 1021870080 ]
PowLaguerre,A360283,RowLcm,[1 1 4 18 288 1200 43200 529200 11289600 91445760 9144576000 ]
PowLaguerre,A000142,RowGcd,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
PowLaguerre,A059837,RowMax,[1 1 4 18 144 1200 14400 176400 2822400 45722880 914457600 ]
PowLaguerre,A059837,ColMiddle,[1 1 4 18 144 1200 14400 176400 2822400 45722880 914457600 ]
PowLaguerre,A122747,ColECentral,[1 4 144 14400 2822400 914457600 442597478400 299195895398400 ]
PowLaguerre,,ColOCentral,[1 18 1200 176400 45722880 18441561600 10685567692800 ]
PowLaguerre,A000142,ColLeft,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
PowLaguerre,A000142,ColRight,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
PowLaguerre,A001813,BinConv,[1 2 12 120 1680 30240 665280 17297280 518918400 17643225600 ]
PowLaguerre,A122747,InvBinConv,[1 0 -4 0 144 0 -14400 0 2822400 0 -914457600 0 442597478400 0 ]
PowLaguerre,,TransSqrs,[0 1 12 144 1920 28800 483840 9031680 185794560 4180377600 ]
PowLaguerre,A014479,TransNat0,[0 1 8 72 768 9600 138240 2257920 41287680 836075520 18579456000 ]
PowLaguerre,A187735,TransNat1,[1 3 16 120 1152 13440 184320 2903040 51609600 1021870080 ]
PowLaguerre,A001563,DiagRow1,[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 ]
PowLaguerre,A001804,DiagRow2,[2 18 144 1200 10800 105840 1128960 13063680 163296000 2195424000 ]
PowLaguerre,A001805,DiagRow3,[6 96 1200 14400 176400 2257920 30481920 435456000 6586272000 ]
PowLaguerre,A001563,DiagCol1,[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 ]
PowLaguerre,A001804,DiagCol2,[2 18 144 1200 10800 105840 1128960 13063680 163296000 2195424000 ]
PowLaguerre,A001805,DiagCol3,[6 96 1200 14400 176400 2257920 30481920 435456000 6586272000 ]
PowLaguerre,,PolyTabl,[1 1 1 2 2 1 6 8 3 1 24 48 18 4 1 120 384 162 32 5 1 720 3840 1944 ]
PowLaguerre,A000027,PolyRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
PowLaguerre,A001105,PolyRow2,[2 8 18 32 50 72 98 128 162 200 242 288 338 392 450 512 578 648 722 ]
PowLaguerre,A244726,PolyRow3,[6 48 162 384 750 1296 2058 3072 4374 6000 7986 10368 13182 16464 ]
PowLaguerre,A032031,PolyCol2,[1 3 18 162 1944 29160 524880 11022480 264539520 7142567040 ]
PowLaguerre,A047053,PolyCol3,[1 4 32 384 6144 122880 2949120 82575360 2642411520 95126814720 ]
PowLaguerre,A152684,PolyDiag,[1 2 18 384 15000 933120 84707280 10569646080 1735643790720 ]
PowLaguerre,A032031,PosHalf,[1 3 18 162 1944 29160 524880 11022480 264539520 7142567040 ]
PowLaguerre,A000142,NegHalf,[1 -1 2 -6 24 -120 720 -5040 40320 -362880 3628800 -39916800 ]
