Triangle,Trait,ANumber,Sequence
OEIS Similars: A008290 A098825,,,
rencontres,Triangle ,A008290,[1 0 1 1 0 1 2 3 0 1 9 8 6 0 1 44 45 20 10 0 1 265 264 135 40 15 0 ]
rencontres,TriRev   ,A098825,[1 1 0 1 0 1 1 0 3 2 1 0 6 8 9 1 0 10 20 45 44 1 0 15 40 135 264 ]
rencontres,TriInv   ,A055137,[1 0 1 -1 0 1 -2 -3 0 1 -3 -8 -6 0 1 -4 -15 -20 -10 0 1 -5 -24 -45 ]
rencontres,TriRevInv,nothing,[1 1 0 1 0 -1 1 0 -3 -2 1 0 -6 -8 -3 1 0 -10 -20 -15 -4 1 0 -15 -40 ]
rencontres,TriAcc   ,nothing,[1 0 1 1 1 2 2 5 5 6 9 17 23 23 24 44 89 109 119 119 120 265 529 ]
rencontres,TriRevAcc,nothing,[1 1 0 2 1 1 6 5 5 2 24 23 23 17 9 120 119 119 109 89 44 720 719 ]
rencontres,TriAccRev,nothing,[1 1 1 1 1 2 1 1 4 6 1 1 7 15 24 1 1 11 31 76 120 1 1 16 56 191 455 ]
rencontres,TriDiag  ,nothing,[1 0 1 1 2 0 9 3 1 44 8 0 265 45 6 1 1854 264 20 0 14833 1855 135 ]
rencontres,TriPoly  ,nothing,[1 0 1 1 1 1 2 2 2 1 9 6 5 3 1 44 24 16 10 4 1 265 120 65 38 17 5 1 ]
rencontres,TriConv  ,nothing,[1 0 1 1 0 2 2 3 2 14 9 8 15 42 182 44 45 64 233 876 4462 265 264 ]
rencontres,TriBin   ,nothing,[1 0 1 1 1 2 2 5 8 12 9 17 31 51 78 44 89 154 249 384 570 265 529 ]
rencontres,TriInvBin,nothing,[1 0 1 1 -1 2 2 1 -4 8 9 -1 -1 -3 14 44 1 -26 41 -56 82 265 -1 -128 ]
rencontres,Sum      ,A000142,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
rencontres,EvenSum  ,A062282,[1 0 2 2 16 64 416 2848 22912 205952 2060032 22659328 271913984 ]
