Triangle,Anum,Trait,Sequence
RisingFact,A094587,Tabl,[1 1 1 2 2 1 6 6 3 1 24 24 12 4 1 120 120 60 20 5 1 720 720 360 120 ]
RisingFact,A008279,RevTabl,[1 1 1 1 2 2 1 3 6 6 1 4 12 24 24 1 5 20 60 120 120 1 6 30 120 360 ]
RisingFact,A128229,InvTabl,[1 -1 1 0 -2 1 0 0 -3 1 0 0 0 -4 1 0 0 0 0 -5 1 0 0 0 0 0 -6 1 0 0 ]
RisingFact,,InvRevTabl,[]
RisingFact,A158821,RevInvTabl,[1 1 -1 1 -2 0 1 -3 0 0 1 -4 0 0 0 1 -5 0 0 0 0 1 -6 0 0 0 0 0 1 -7 ]
RisingFact,,AccTabl,[1 1 2 2 4 5 6 12 15 16 24 48 60 64 65 120 240 300 320 325 326 720 ]
RisingFact,,RevAccTabl,[1 2 1 5 4 2 16 15 12 6 65 64 60 48 24 326 325 320 300 240 120 1957 ]
RisingFact,A347667,AccRevTabl,[1 1 2 1 3 5 1 4 10 16 1 5 17 41 65 1 6 26 86 206 326 1 7 37 157 ]
RisingFact,,AntiDiagTabl,[1 1 2 1 6 2 24 6 1 120 24 3 720 120 12 1 5040 720 60 4 40320 5040 ]
RisingFact,,DiffxTabl,[1 1 2 2 4 3 6 12 9 4 24 48 36 16 5 120 240 180 80 25 6 720 1440 ]
RisingFact,,BinTabl,[1 1 2 2 4 7 6 12 21 34 24 48 84 136 209 120 240 420 680 1045 1546 ]
RisingFact,,InvBinTabl,[1 1 0 2 0 -1 6 0 -3 4 24 0 -12 16 -15 120 0 -60 80 -75 56 720 0 ]
RisingFact,A000522,RowSum,[1 2 5 16 65 326 1957 13700 109601 986410 9864101 108505112 ]
RisingFact,A009179,EvenSum,[1 1 3 9 37 185 1111 7777 62217 559953 5599531 61594841 739138093 ]
RisingFact,A009628,OddSum,[0 1 2 7 28 141 846 5923 47384 426457 4264570 46910271 562923252 ]
RisingFact,A000166,AltSum,[1 0 1 2 9 44 265 1854 14833 133496 1334961 14684570 176214841 ]
RisingFact,A003470,AntiDiagSum,[1 1 3 8 31 147 853 5824 45741 405845 4012711 43733976 520795003 ]
RisingFact,A001339,AccSum,[1 3 11 49 261 1631 11743 95901 876809 8877691 98641011 1193556233 ]
RisingFact,A111063,AccRevSum,[1 3 9 31 129 651 3913 27399 219201 1972819 19728201 217010223 ]
RisingFact,A000142,RowLcm,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
RisingFact,A008684,RowGcd,[1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
RisingFact,A000142,RowMax,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
RisingFact,A081125,ColMiddle,[1 1 2 6 12 60 120 840 1680 15120 30240 332640 665280 8648640 ]
RisingFact,A001813,ColECentral,[1 2 12 120 1680 30240 665280 17297280 518918400 17643225600 ]
RisingFact,A000407,ColOCentral,[1 6 60 840 15120 332640 8648640 259459200 8821612800 335221286400 ]
RisingFact,A000142,ColLeft,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
RisingFact,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
RisingFact,A002720,BinConv,[1 2 7 34 209 1546 13327 130922 1441729 17572114 234662231 ]
RisingFact,A009940,InvBinConv,[1 0 -1 4 -15 56 -185 204 6209 -112400 1520271 -19165420 237686449 ]
RisingFact,A030297,TransSqrs,[0 1 6 27 124 645 3906 27391 219192 1972809 19728190 217010211 ]
RisingFact,A007526,TransNat0,[0 1 4 15 64 325 1956 13699 109600 986409 9864100 108505111 ]
RisingFact,A111063,TransNat1,[1 3 9 31 129 651 3913 27399 219201 1972819 19728201 217010223 ]
RisingFact,A000027,DiagRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
RisingFact,A002378,DiagRow2,[2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
RisingFact,A007531,DiagRow3,[6 24 60 120 210 336 504 720 990 1320 1716 2184 2730 3360 4080 4896 ]
RisingFact,A000142,DiagCol1,[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
RisingFact,A001710,DiagCol2,[1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
RisingFact,A001715,DiagCol3,[1 4 20 120 840 6720 60480 604800 6652800 79833600 1037836800 ]
RisingFact,A134558,PolyTabl,[1 1 1 2 2 1 6 5 3 1 24 16 10 4 1 120 65 38 17 5 1 720 326 168 78 ]
RisingFact,A000027,PolyRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
RisingFact,A002522,PolyRow2,[2 5 10 17 26 37 50 65 82 101 122 145 170 197 226 257 290 325 362 ]
RisingFact,,PolyRow3,[6 16 38 78 142 236 366 538 758 1032 1366 1766 2238 2788 3422 4146 ]
RisingFact,A010842,PolyCol2,[1 3 10 38 168 872 5296 37200 297856 2681216 26813184 294947072 ]
RisingFact,A053486,PolyCol3,[1 4 17 78 393 2208 13977 100026 806769 7280604 72865089 801693126 ]
RisingFact,A063170,PolyDiag,[1 2 10 78 824 10970 176112 3309110 71219584 1727242866 46602156800 ]
RisingFact,A010844,PosHalf,[1 3 13 79 633 6331 75973 1063623 17017969 306323443 6126468861 ]
RisingFact,A000354,NegHalf,[1 -1 5 -29 233 -2329 27949 -391285 6260561 -112690097 2253801941 ]
