Triangle,Anum,Trait,Sequence
Schroeder,A122538,Tabl,[1 0 1 0 2 1 0 6 4 1 0 22 16 6 1 0 90 68 30 8 1 0 394 304 146 48 10 ]
Schroeder,A106579,RevTabl,[1 1 0 1 2 0 1 4 6 0 1 6 16 22 0 1 8 30 68 90 0 1 10 48 146 304 394 ]
Schroeder,A122542,InvTabl,[1 0 1 0 -2 1 0 2 -4 1 0 -2 8 -6 1 0 2 -12 18 -8 1 0 -2 16 -38 32 ]
Schroeder,,InvRevTabl,[]
Schroeder,A266213,RevInvTabl,[1 1 0 1 -2 0 1 -4 2 0 1 -6 8 -2 0 1 -8 18 -12 2 0 1 -10 32 -38 16 ]
Schroeder,,AccTabl,[1 0 1 0 2 3 0 6 10 11 0 22 38 44 45 0 90 158 188 196 197 0 394 698 ]
Schroeder,,RevAccTabl,[1 1 0 3 2 0 11 10 6 0 45 44 38 22 0 197 196 188 158 90 0 903 902 ]
Schroeder,A144944,AccRevTabl,[1 1 1 1 3 3 1 5 11 11 1 7 23 45 45 1 9 39 107 197 197 1 11 59 205 ]
Schroeder,,AntiDiagTabl,[1 0 0 1 0 2 0 6 1 0 22 4 0 90 16 1 0 394 68 6 0 1806 304 30 1 0 ]
Schroeder,,DiffxTabl,[1 0 2 0 4 3 0 12 12 4 0 44 48 24 5 0 180 204 120 40 6 0 788 912 ]
Schroeder,,BinTabl,[1 0 1 0 2 5 0 6 16 31 0 22 60 120 209 0 90 248 504 896 1471 0 394 ]
Schroeder,,InvBinTabl,[1 0 1 0 2 -3 0 6 -8 7 0 22 -28 24 -15 0 90 -112 96 -64 31 0 394 ]
Schroeder,A001003,RowSum,[1 1 3 11 45 197 903 4279 20793 103049 518859 2646723 13648869 ]
Schroeder,A239204,EvenSum,[1 0 1 4 17 76 353 1688 8257 41128 207905 1063932 5501073 28695252 ]
Schroeder,A010683,OddSum,[0 1 2 7 28 121 550 2591 12536 61921 310954 1582791 8147796 ]
Schroeder,A001003,AltSum,[1 -1 -1 -3 -11 -45 -197 -903 -4279 -20793 -103049 -518859 -2646723 ]
Schroeder,A006603,AntiDiagSum,[1 0 1 2 7 26 107 468 2141 10124 49101 242934 1221427 6222838 ]
Schroeder,,AccSum,[1 1 5 27 149 829 4633 25975 146009 822585 4643517 26259603 ]
Schroeder,A010683,AccRevSum,[1 2 7 28 121 550 2591 12536 61921 310954 1582791 8147796 42344121 ]
Schroeder,,RowLcm,[1 1 2 12 528 6120 65577360 2384317320 307331984910720 ]
Schroeder,A000520,RowGcd,[1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ]
Schroeder,A086456,RowMax,[1 1 2 6 22 90 394 1806 8558 41586 206098 1037718 5293446 27297738 ]
Schroeder,,ColMiddle,[1 0 2 6 16 68 146 714 1408 7432 14002 77550 142000 812940 1459810 ]
Schroeder,A103885,ColECentral,[1 2 16 146 1408 14002 142000 1459810 15158272 158611106 ]
Schroeder,,ColOCentral,[0 6 68 714 7432 77550 812940 8561938 90560528 961474518 ]
Schroeder,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Schroeder,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Schroeder,A178792,BinConv,[1 1 5 31 209 1471 10625 78079 580865 4361215 32978945 250806271 ]
Schroeder,A255047,InvBinConv,[1 1 -3 7 -15 31 -63 127 -255 511 -1023 2047 -4095 8191 -16383 ]
Schroeder,A065096,TransSqrs,[0 1 6 31 156 785 3978 20335 104856 545073 2854350 15046383 ]
Schroeder,A239204,TransNat0,[0 1 4 17 76 353 1688 8257 41128 207905 1063932 5501073 28695252 ]
Schroeder,A010683,TransNat1,[1 2 7 28 121 550 2591 12536 61921 310954 1582791 8147796 42344121 ]
Schroeder,A005843,DiagRow1,[0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 ]
Schroeder,A054000,DiagRow2,[0 6 16 30 48 70 96 126 160 198 240 286 336 390 448 510 576 646 720 ]
Schroeder,,DiagRow3,[0 22 68 146 264 430 652 938 1296 1734 2260 2882 3608 4446 5404 ]
Schroeder,A006318,DiagCol1,[1 2 6 22 90 394 1806 8558 41586 206098 1037718 5293446 27297738 ]
Schroeder,A006319,DiagCol2,[1 4 16 68 304 1412 6752 33028 164512 831620 4255728 22004292 ]
Schroeder,A006320,DiagCol3,[1 6 30 146 714 3534 17718 89898 461010 2386390 12455118 65478978 ]
Schroeder,,PolyTabl,[1 0 1 0 1 1 0 3 2 1 0 11 8 3 1 0 45 36 15 4 1 0 197 172 81 24 5 1 ]
Schroeder,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Schroeder,A005563,PolyRow2,[0 3 8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 ]
Schroeder,,PolyRow3,[0 11 36 81 152 255 396 581 816 1107 1460 1881 2376 2951 3612 4365 ]
Schroeder,A109980,PolyCol2,[1 2 8 36 172 852 4324 22332 116876 618084 3296308 17702412 ]
Schroeder,,PolyCol3,[1 3 15 81 453 2583 14907 86733 507561 2982987 17588775 103976073 ]
Schroeder,,PolyDiag,[1 1 8 81 984 14025 231468 4372417 93470576 2237080977 59360130180 ]
Schroeder,A330802,PosHalf,[1 1 5 33 253 2121 18853 174609 1667021 16290969 162171445 ]
Schroeder,A330803,NegHalf,[1 1 -3 17 -123 1001 -8739 79969 -756939 7349657 -72798003 ]
