Triangle,Anum,Trait,Sequence
SchroederP,A104684,Tabl,[1 2 1 6 6 1 20 30 12 1 70 140 90 20 1 252 630 560 210 30 1 924 ]
SchroederP,A063007,RevTabl,[1 1 2 1 6 6 1 12 30 20 1 20 90 140 70 1 30 210 560 630 252 1 42 ]
SchroederP,,InvTabl,[1 -2 1 6 -6 1 -32 42 -12 1 310 -440 150 -20 1 -4932 7110 -2540 390 ]
SchroederP,,RevInvTabl,[1 1 -2 1 -6 6 1 -12 42 -32 1 -20 150 -440 310 1 -30 390 -2540 7110 ]
SchroederP,,InvRevTabl,[]
SchroederP,,AccTabl,[1 2 3 6 12 13 20 50 62 63 70 210 300 320 321 252 882 1442 1652 ]
SchroederP,,RevAccTabl,[1 3 2 13 12 6 63 62 50 20 321 320 300 210 70 1683 1682 1652 1442 ]
SchroederP,,AccRevTabl,[1 1 3 1 7 13 1 13 43 63 1 21 111 251 321 1 31 241 801 1431 1683 1 ]
SchroederP,,AntiDiagTabl,[1 2 6 1 20 6 70 30 1 252 140 12 924 630 90 1 3432 2772 560 20 ]
SchroederP,,BinTabl,[1 2 3 6 12 19 20 50 92 147 70 210 440 780 1251 252 882 2072 4032 ]
SchroederP,,InvBinTabl,[1 2 -1 6 0 -5 20 10 -28 35 70 70 -120 100 -29 252 378 -448 168 282 ]
SchroederP,,DiffxTabl,[1 2 2 6 12 3 20 60 36 4 70 280 270 80 5 252 1260 1680 840 150 6 ]
SchroederP,A001850,RowSum,[1 3 13 63 321 1683 8989 48639 265729 1462563 8097453 45046719 ]
SchroederP,A226994,EvenSum,[1 2 7 32 161 842 4495 24320 132865 731282 4048727 22523360 ]
SchroederP,A047665,OddSum,[0 1 6 31 160 841 4494 24319 132864 731281 4048726 22523359 ]
SchroederP,A000012,AltSum,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
SchroederP,A349713,AntiDiagSum,[1 2 7 26 101 404 1645 6784 28243 118442 499601 2117366 9008969 ]
SchroederP,,AccSum,[1 5 31 195 1221 7593 46915 288263 1762825 10736973 65171943 ]
SchroederP,,AccRevSum,[1 4 21 120 705 4188 24997 149488 894465 5351220 31997493 191193192 ]
SchroederP,,RowLcm,[1 2 6 60 1260 5040 277200 5405400 12612600 343062720 58663725120 ]
SchroederP,,RowGcd,[1 2 6 2 10 2 42 2 6 2 22 2 26 2 2 2 34 2 114 2 ]
SchroederP,,RowMax,[1 2 6 30 140 630 3150 16632 84084 420420 2333760 12471030 64664600 ]
SchroederP,,ColMiddle,[1 2 6 30 90 560 1680 11550 34650 252252 756756 5717712 17153136 ]
SchroederP,A006480,ColECentral,[1 6 90 1680 34650 756756 17153136 399072960 9465511770 ]
SchroederP,A208881,ColOCentral,[2 30 560 11550 252252 5717712 133024320 3155170590 75957810500 ]
SchroederP,A000984,ColLeft,[1 2 6 20 70 252 924 3432 12870 48620 184756 705432 2704156 ]
SchroederP,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
SchroederP,A005258,BinConv,[1 3 19 147 1251 11253 104959 1004307 9793891 96918753 970336269 ]
SchroederP,,InvBinConv,[1 -1 -5 35 -29 -751 3991 4115 -137885 495269 2114245 -25786795 ]
SchroederP,A108666,TransNat0,[0 1 8 57 384 2505 16008 100849 628736 3888657 23900040 146146473 ]
SchroederP,,TransNat1,[1 4 21 120 705 4188 24997 149488 894465 5351220 31997493 191193192 ]
SchroederP,,TransSqrs,[0 1 10 87 696 5265 38298 270655 1870816 12706353 85078170 ]
SchroederP,A002378,DiagRow1,[2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
SchroederP,A033487,DiagRow2,[6 30 90 210 420 756 1260 1980 2970 4290 6006 8190 10920 14280 ]
SchroederP,A105939,DiagRow3,[20 140 560 1680 4200 9240 18480 34320 60060 100100 160160 247520 ]
SchroederP,A002457,DiagCol1,[1 6 30 140 630 2772 12012 51480 218790 923780 3879876 16224936 ]
SchroederP,A002544,DiagCol2,[1 12 90 560 3150 16632 84084 411840 1969110 9237800 42678636 ]
SchroederP,A007744,DiagCol3,[1 20 210 1680 11550 72072 420420 2333760 12471030 64664600 ]
SchroederP,,PolyTabl,[1 2 1 6 3 1 20 13 4 1 70 63 22 5 1 252 321 136 33 6 1 924 1683 886 ]
SchroederP,A000027,PolyRow1,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 ]
SchroederP,A028872,PolyRow2,[6 13 22 33 46 61 78 97 118 141 166 193 222 253 286 321 358 397 438 ]
SchroederP,,PolyRow3,[20 63 136 245 396 595 848 1161 1540 1991 2520 3133 3836 4635 5536 ]
SchroederP,A069835,PolyCol2,[1 4 22 136 886 5944 40636 281488 1968934 13875544 98365972 ]
SchroederP,A084771,PolyCol3,[1 5 33 245 1921 15525 127905 1067925 9004545 76499525 653808673 ]
SchroederP,A335309,PolyDiag,[1 3 22 245 3606 65527 1411404 35066313 985483270 30869546411 ]
SchroederP,A006442,PosHalf,[1 5 37 305 2641 23525 213445 1961825 18205345 170195525 1600472677 ]
SchroederP,A001850,NegHalf,[1 -3 13 -63 321 -1683 8989 -48639 265729 -1462563 8097453 ]
