Triangle,Anum,Trait,Sequence
Seidel,A008281,Tabl,[1 0 1 0 1 1 0 1 2 2 0 2 4 5 5 0 5 10 14 16 16 0 16 32 46 56 61 61 ]
Seidel,A010094,RevTabl,[1 1 0 1 1 0 2 2 1 0 5 5 4 2 0 16 16 14 10 5 0 61 61 56 46 32 16 0 ]
Seidel,,InvTabl,[]
Seidel,,InvRevTabl,[]
Seidel,,RevInvTabl,[]
Seidel,,AccTabl,[1 0 1 0 1 2 0 1 3 5 0 2 6 11 16 0 5 15 29 45 61 0 16 48 94 150 211 ]
Seidel,,RevAccTabl,[1 1 0 2 1 0 5 3 1 0 16 11 6 2 0 61 45 29 15 5 0 272 211 150 94 48 ]
Seidel,A008282,AccRevTabl,[1 1 1 1 2 2 2 4 5 5 5 10 14 16 16 16 32 46 56 61 61 61 122 178 224 ]
Seidel,,AntiDiagTabl,[1 0 0 1 0 1 0 1 1 0 2 2 0 5 4 2 0 16 10 5 0 61 32 14 5 0 272 122 ]
Seidel,,DiffxTabl,[1 0 2 0 2 3 0 2 6 8 0 4 12 20 25 0 10 30 56 80 96 0 32 96 184 280 ]
Seidel,,BinTabl,[1 0 1 0 1 3 0 1 4 11 0 2 8 23 57 0 5 20 59 152 361 0 16 64 190 496 ]
Seidel,,InvBinTabl,[1 0 1 0 1 -1 0 1 0 -1 0 2 0 -1 1 0 5 0 -1 0 1 0 16 0 -2 0 1 -1 0 ]
Seidel,A000111,RowSum,[1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
Seidel,,EvenSum,[1 0 1 2 9 26 149 618 4277 23122 188457 1257154 11812705 93774138 ]
Seidel,,OddSum,[0 1 1 3 7 35 123 767 3659 27399 165335 1445611 10555551 105586843 ]
Seidel,,AltSum,[1 -1 0 -1 2 -9 26 -149 618 -4277 23122 -188457 1257154 -11812705 ]
Seidel,,AntiDiagSum,[1 0 1 1 2 4 11 31 112 456 2179 11791 71828 485140 3599099 29069251 ]
Seidel,A034428,AccSum,[1 1 3 9 35 155 791 4529 28839 201939 1542739 12767689 113794603 ]
Seidel,A000111,AccRevSum,[1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981 ]
Seidel,,RowLcm,[1 1 1 2 20 560 314272 165389056 23981211622400 281812254093464320 ]
Seidel,A025474,RowGcd,[1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Seidel,A000111,RowMax,[1 1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
Seidel,,ColMiddle,[1 0 1 1 4 10 46 178 1024 5296 36976 238816 1965664 15214480 ]
Seidel,A000657,ColECentral,[1 1 4 46 1024 36976 1965664 144361456 13997185024 1731678144256 ]
Seidel,A240561,ColOCentral,[0 1 10 178 5296 238816 15214480 1301989648 144118832896 ]
Seidel,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Seidel,A000111,ColRight,[1 1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
Seidel,A001586,BinConv,[1 1 3 11 57 361 2763 24611 250737 2873041 36581523 512343611 ]
Seidel,A000012,InvBinConv,[1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 ]
Seidel,,TransSqrs,[0 1 5 27 143 827 5175 35255 260251 2074623 17780875 163187203 ]
Seidel,,TransNat0,[0 1 3 11 45 211 1113 6551 42585 303271 2348973 19665491 176992725 ]
Seidel,A000111,TransNat1,[1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981 ]
Seidel,A000111,DiagRow1,[0 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
Seidel,A006212,DiagRow2,[0 1 4 14 56 256 1324 7664 49136 345856 2652244 22014464 196658216 ]
Seidel,A006213,DiagRow3,[0 2 10 46 224 1202 7120 46366 329984 2551202 21306880 191252686 ]
Seidel,A000111,DiagCol1,[1 1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
Seidel,A001250,DiagCol2,[1 2 4 10 32 122 544 2770 15872 101042 707584 5405530 44736512 ]
Seidel,A006216,DiagCol3,[2 5 14 46 178 800 4094 23536 150178 1053440 8057774 66750976 ]
Seidel,,PolyTabl,[1 0 1 0 1 1 0 2 2 1 0 5 6 3 1 0 16 26 12 4 1 0 61 140 75 20 5 1 0 ]
Seidel,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Seidel,A002378,PolyRow2,[0 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
Seidel,A048395,PolyRow3,[0 5 26 75 164 305 510 791 1160 1629 2210 2915 3756 4745 5894 7215 ]
Seidel,,PolyCol2,[1 2 6 26 140 930 7280 66034 680544 7865098 100760704 1417772682 ]
Seidel,,PolyCol3,[1 3 12 75 582 5667 65406 879591 13483518 232328391 4444489830 ]
Seidel,,PolyDiag,[1 1 6 75 1672 62025 3404112 260912099 26532106368 3457039470993 ]
Seidel,,PosHalf,[1 1 3 10 47 264 1799 14288 130683 1353152 15679675 201167616 ]
Seidel,,NegHalf,[1 1 -1 2 -5 40 -205 1808 -14921 159424 -1782409 23039744 ]
