Triangle,Anum,Trait,Sequence
SeidelBoust,A008280,Tabl,[1 0 1 1 1 0 0 1 2 2 5 5 4 2 0 0 5 10 14 16 16 61 61 56 46 32 16 0 ]
SeidelBoust,A108040,RevTabl,[1 1 0 0 1 1 2 2 1 0 0 2 4 5 5 16 16 14 10 5 0 0 16 32 46 56 61 61 ]
SeidelBoust,,InvTabl,[]
SeidelBoust,,InvRevTabl,[]
SeidelBoust,,RevInvTabl,[]
SeidelBoust,,AccTabl,[1 0 1 1 2 2 0 1 3 5 5 10 14 16 16 0 5 15 29 45 61 61 122 178 224 ]
SeidelBoust,,RevAccTabl,[1 1 0 2 2 1 5 3 1 0 16 16 14 10 5 61 45 29 15 5 0 272 272 256 224 ]
SeidelBoust,,AccRevTabl,[1 1 1 0 1 2 2 4 5 5 0 2 6 11 16 16 32 46 56 61 61 0 16 48 94 150 ]
SeidelBoust,,AntiDiagTabl,[1 0 1 1 0 1 5 1 0 0 5 2 61 5 4 2 0 61 10 2 1385 61 56 14 0 0 1385 ]
SeidelBoust,,DiffxTabl,[1 0 2 1 2 0 0 2 6 8 5 10 12 8 0 0 10 30 56 80 96 61 122 168 184 ]
SeidelBoust,,BinTabl,[1 0 1 1 2 3 0 1 4 11 5 10 19 34 57 0 5 20 59 152 361 61 122 239 ]
SeidelBoust,,InvBinTabl,[1 0 1 1 0 -1 0 1 0 -1 5 0 -1 0 1 0 5 0 -1 0 1 61 0 -5 0 1 0 -1 0 ]
SeidelBoust,A000111,RowSum,[1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
SeidelBoust,,EvenSum,[1 0 1 2 9 26 149 618 4277 23122 188457 1257154 11812705 93774138 ]
SeidelBoust,,OddSum,[0 1 1 3 7 35 123 767 3659 27399 165335 1445611 10555551 105586843 ]
SeidelBoust,,AltSum,[1 -1 0 -1 2 -9 26 -149 618 -4277 23122 -188457 1257154 -11812705 ]
SeidelBoust,,AntiDiagSum,[1 0 2 1 6 7 72 73 1516 1569 53456 54733 2807796 2856541 204915576 ]
SeidelBoust,,AccSum,[1 1 5 9 61 155 1385 4529 50521 201939 2702765 12767689 199360981 ]
SeidelBoust,,AccRevSum,[1 2 3 16 35 272 791 7936 28839 353792 1542739 22368256 113794603 ]
SeidelBoust,,RowLcm,[1 1 1 2 20 560 314272 165389056 23981211622400 281812254093464320 ]
SeidelBoust,A025474,RowGcd,[1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
SeidelBoust,A000111,RowMax,[1 1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
SeidelBoust,,ColMiddle,[1 0 1 1 4 10 46 178 1024 5296 36976 238816 1965664 15214480 ]
SeidelBoust,A000657,ColECentral,[1 1 4 46 1024 36976 1965664 144361456 13997185024 1731678144256 ]
SeidelBoust,A240561,ColOCentral,[0 1 10 178 5296 238816 15214480 1301989648 144118832896 ]
SeidelBoust,A122045,ColLeft,[1 0 1 0 5 0 61 0 1385 0 50521 0 2702765 0 199360981 0 19391512145 ]
SeidelBoust,A009006,ColRight,[1 1 0 2 0 16 0 272 0 7936 0 353792 0 22368256 0 1903757312 0 ]
SeidelBoust,A001586,BinConv,[1 1 3 11 57 361 2763 24611 250737 2873041 36581523 512343611 ]
SeidelBoust,A000012,InvBinConv,[1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 ]
SeidelBoust,,TransSqrs,[0 1 1 27 39 827 1611 35255 86795 2074623 6180615 163187203 ]
SeidelBoust,,TransNat0,[0 1 1 11 19 211 519 6551 20903 303271 1188947 19665491 91426347 ]
SeidelBoust,,TransNat1,[1 2 3 16 35 272 791 7936 28839 353792 1542739 22368256 113794603 ]
SeidelBoust,,DiagRow1,[0 1 2 2 16 16 272 272 7936 7936 353792 353792 22368256 22368256 ]
SeidelBoust,,DiagRow2,[1 1 4 14 32 256 544 7664 15872 345856 707584 22014464 44736512 ]
SeidelBoust,,DiagRow3,[0 5 10 46 224 800 7120 23536 329984 1053440 21306880 66750976 ]
SeidelBoust,A241209,DiagCol1,[1 1 1 5 5 61 61 1385 1385 50521 50521 2702765 2702765 199360981 ]
SeidelBoust,,DiagCol2,[0 2 4 10 56 122 1324 2770 49136 101042 2652244 5405530 196658216 ]
SeidelBoust,,DiagCol3,[2 2 14 46 178 1202 4094 46366 150178 2551202 8057774 191252686 ]
SeidelBoust,,PolyTabl,[1 0 1 1 1 1 0 2 2 1 5 5 3 3 1 0 16 26 4 4 1 61 61 47 75 5 5 1 0 ]
SeidelBoust,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
SeidelBoust,A000027,PolyRow2,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
SeidelBoust,A048395,PolyRow3,[0 5 26 75 164 305 510 791 1160 1629 2210 2915 3756 4745 5894 7215 ]
SeidelBoust,,PolyCol2,[1 2 3 26 47 930 1799 66034 130683 7865098 15679675 1417772682 ]
SeidelBoust,,PolyCol3,[1 3 4 75 110 5667 8470 879591 1318694 232328391 348467326 ]
SeidelBoust,,PolyDiag,[1 1 3 75 217 62025 178267 260912099 744153009 3457039470993 ]
SeidelBoust,,PosHalf,[1 1 6 10 140 264 7280 14288 680544 1353152 100760704 201167616 ]
SeidelBoust,,NegHalf,[1 1 2 2 52 40 2576 1808 235168 159424 34382720 23039744 7364990464 ]
