Triangle,Anum,Trait,Sequence
Sierpinski,A047999,Tabl,[1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 ]
Sierpinski,A047999,RevTabl,[1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 ]
Sierpinski,A047999,InvTabl,[1 -1 1 -1 0 1 1 -1 -1 1 -1 0 0 0 1 1 -1 0 0 -1 1 1 0 -1 0 -1 0 1 ]
Sierpinski,A047999,RevInvTabl,[1 1 -1 1 0 -1 1 -1 -1 1 1 0 0 0 -1 1 -1 0 0 -1 1 1 0 -1 0 -1 0 1 1 ]
Sierpinski,A047999,InvRevTabl,[1 -1 1 -1 0 1 1 -1 -1 1 -1 0 0 0 1 1 -1 0 0 -1 1 1 0 -1 0 -1 0 1 ]
Sierpinski,A261363,AccTabl,[1 1 2 1 1 2 1 2 3 4 1 1 1 1 2 1 2 2 2 3 4 1 1 2 2 3 3 4 1 2 3 4 5 ]
Sierpinski,A358549,RevAccTabl,[1 2 1 2 1 1 4 3 2 1 2 1 1 1 1 4 3 2 2 2 1 4 3 3 2 2 1 1 8 7 6 5 4 ]
Sierpinski,A261363,AccRevTabl,[1 1 2 1 1 2 1 2 3 4 1 1 1 1 2 1 2 2 2 3 4 1 1 2 2 3 3 4 1 2 3 4 5 ]
Sierpinski,A000012,AntiDiagTabl,[1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 0 1 0 1 1 1 0 ]
Sierpinski,,BinTabl,[1 1 2 1 1 2 1 2 4 8 1 1 1 1 2 1 2 3 4 6 12 1 1 2 4 8 16 32 1 2 4 8 ]
Sierpinski,,InvBinTabl,[1 1 0 1 -1 2 1 0 0 0 1 -1 1 -1 2 1 0 -1 2 -2 0 1 -1 2 -4 8 -16 32 ]
Sierpinski,,DiffxTabl,[1 1 2 1 0 3 1 2 3 4 1 0 0 0 5 1 2 0 0 5 6 1 0 3 0 5 0 7 1 2 3 4 5 ]
Sierpinski,A001316,RowSum,[1 2 2 4 2 4 4 8 2 4 4 8 4 8 8 16 2 4 4 8 ]
Sierpinski,A060632,EvenSum,[1 1 2 2 2 2 4 4 2 2 4 4 4 4 8 8 2 2 4 4 ]
Sierpinski,A001316,OddSum,[0 1 0 2 0 2 0 4 0 2 0 4 0 4 0 8 0 2 0 4 ]
Sierpinski,A001316,AltSum,[1 0 2 0 2 0 4 0 2 0 4 0 4 0 8 0 2 0 4 0 ]
Sierpinski,A002487,AntiDiagSum,[1 1 2 1 3 2 3 1 4 3 5 2 5 3 4 1 5 4 7 3 ]
Sierpinski,,AccSum,[1 3 4 10 6 14 16 36 10 22 24 52 28 60 64 136 18 38 40 84 ]
Sierpinski,,AccRevSum,[1 3 4 10 6 14 16 36 10 22 24 52 28 60 64 136 18 38 40 84 ]
Sierpinski,A000012,RowLcm,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Sierpinski,A000012,RowGcd,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Sierpinski,A000012,RowMax,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
