Triangle,Anum,Trait,Sequence
StirlingCyc,A048994,Tabl,[1 0 1 0 1 1 0 2 3 1 0 6 11 6 1 0 24 50 35 10 1 0 120 274 225 85 15 ]
StirlingCyc,A054654,RevTabl,[1 1 0 1 1 0 1 3 2 0 1 6 11 6 0 1 10 35 50 24 0 1 15 85 225 274 120 ]
StirlingCyc,A048993,InvTabl,[1 0 1 0 -1 1 0 1 -3 1 0 -1 7 -6 1 0 1 -15 25 -10 1 0 -1 31 -90 65 ]
StirlingCyc,,InvRevTabl,[]
StirlingCyc,A106800,RevInvTabl,[1 1 0 1 -1 0 1 -3 1 0 1 -6 7 -1 0 1 -10 25 -15 1 0 1 -15 65 -90 31 ]
StirlingCyc,A349782,AccTabl,[1 0 1 0 1 2 0 2 5 6 0 6 17 23 24 0 24 74 109 119 120 0 120 394 619 ]
StirlingCyc,,RevAccTabl,[1 1 0 2 1 0 6 5 2 0 24 23 17 6 0 120 119 109 74 24 0 720 719 704 ]
StirlingCyc,A096747,AccRevTabl,[1 1 1 1 2 2 1 4 6 6 1 7 18 24 24 1 11 46 96 120 120 1 16 101 326 ]
StirlingCyc,A331327,AntiDiagTabl,[1 0 0 1 0 1 0 2 1 0 6 3 0 24 11 1 0 120 50 6 0 720 274 35 1 0 5040 ]
StirlingCyc,A360174,DiffxTabl,[1 0 2 0 2 3 0 4 9 4 0 12 33 24 5 0 48 150 140 50 6 0 240 822 900 ]
StirlingCyc,,BinTabl,[1 0 1 0 1 3 0 2 7 16 0 6 23 57 115 0 24 98 257 546 1021 0 120 514 ]
StirlingCyc,,InvBinTabl,[1 0 1 0 1 -1 0 2 -1 -2 0 6 -1 -9 19 0 24 2 -43 74 -79 0 120 34 ]
StirlingCyc,A000142,RowSum,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
StirlingCyc,A105752,EvenSum,[1 0 1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
StirlingCyc,A001710,OddSum,[0 1 1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
StirlingCyc,A014032,AltSum,[1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingCyc,A343579,AntiDiagSum,[1 0 1 1 3 9 36 176 1030 7039 55098 486346 4780445 51787405 ]
StirlingCyc,A121586,AccSum,[1 1 3 13 70 446 3276 27252 253296 2602224 29288160 358457760 ]
StirlingCyc,A000774,AccRevSum,[1 2 5 17 74 394 2484 18108 149904 1389456 14257440 160460640 ]
StirlingCyc,A063039,RowLcm,[1 1 1 6 66 4200 4192200 5115600 19083776176080 ]
StirlingCyc,A000012,RowGcd,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
StirlingCyc,A065048,RowMax,[1 1 1 3 11 50 274 1764 13132 118124 1172700 12753576 150917976 ]
StirlingCyc,A154415,ColMiddle,[1 0 1 2 11 50 225 1624 6769 67284 269325 3416930 13339535 ]
StirlingCyc,A187646,ColECentral,[1 1 11 225 6769 269325 13339535 790943153 54631129553 ]
StirlingCyc,,ColOCentral,[0 2 50 1624 67284 3416930 206070150 14409322928 1146901283528 ]
StirlingCyc,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingCyc,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
StirlingCyc,A211210,BinConv,[1 1 3 16 115 1021 10696 128472 1734447 25937683 424852351 ]
StirlingCyc,A317274,InvBinConv,[1 1 -1 -2 19 -79 76 2640 -36945 329371 -1861949 -4438774 355714228 ]
StirlingCyc,A151881,TransSqrs,[0 1 5 23 120 724 5012 39332 345832 3371976 36135792 422379792 ]
StirlingCyc,A000254,TransNat0,[0 1 3 11 50 274 1764 13068 109584 1026576 10628640 120543840 ]
StirlingCyc,A000774,TransNat1,[1 2 5 17 74 394 2484 18108 149904 1389456 14257440 160460640 ]
StirlingCyc,A000217,DiagRow1,[0 1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 ]
StirlingCyc,A000914,DiagRow2,[0 2 11 35 85 175 322 546 870 1320 1925 2717 3731 5005 6580 8500 ]
StirlingCyc,A001303,DiagRow3,[0 6 50 225 735 1960 4536 9450 18150 32670 55770 91091 143325 ]
StirlingCyc,A000142,DiagCol1,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
StirlingCyc,A000254,DiagCol2,[1 3 11 50 274 1764 13068 109584 1026576 10628640 120543840 ]
StirlingCyc,A000399,DiagCol3,[1 6 35 225 1624 13132 118124 1172700 12753576 150917976 1931559552 ]
StirlingCyc,A094587,PolyTabl,[1 0 1 0 1 1 0 2 2 1 0 6 6 3 1 0 24 24 12 4 1 0 120 120 60 20 5 1 0 ]
StirlingCyc,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
StirlingCyc,A002378,PolyRow2,[0 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
StirlingCyc,A007531,PolyRow3,[0 6 24 60 120 210 336 504 720 990 1320 1716 2184 2730 3360 4080 ]
StirlingCyc,A000142,PolyCol2,[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
StirlingCyc,A001710,PolyCol3,[1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
StirlingCyc,A000407,PolyDiag,[1 1 6 60 840 15120 332640 8648640 259459200 8821612800 ]
StirlingCyc,A001147,PosHalf,[1 1 3 15 105 945 10395 135135 2027025 34459425 654729075 ]
StirlingCyc,A330797,NegHalf,[1 1 -1 3 -15 105 -945 10395 -135135 2027025 -34459425 654729075 ]
