Triangle,Anum,Trait,Sequence
StirlingCyc2,A358622,Tabl,[1 0 0 0 1 0 0 2 0 0 0 6 3 0 0 0 24 20 0 0 0 0 120 130 15 0 0 0 0 ]
StirlingCyc2,,RevTabl,[1 0 0 0 1 0 0 0 2 0 0 0 3 6 0 0 0 0 20 24 0 0 0 0 15 130 120 0 0 0 ]
StirlingCyc2,,InvTabl,[]
StirlingCyc2,,RevInvTabl,[]
StirlingCyc2,,InvRevTabl,[]
StirlingCyc2,,AccTabl,[1 0 0 0 1 1 0 2 2 2 0 6 9 9 9 0 24 44 44 44 44 0 120 250 265 265 ]
StirlingCyc2,,RevAccTabl,[1 0 0 1 1 0 2 2 2 0 9 9 9 6 0 44 44 44 44 24 0 265 265 265 265 250 ]
StirlingCyc2,,AccRevTabl,[1 0 0 0 1 1 0 0 2 2 0 0 3 9 9 0 0 0 20 44 44 0 0 0 15 145 265 265 ]
StirlingCyc2,,AntiDiagTabl,[1 0 0 0 0 1 0 2 0 0 6 0 0 24 3 0 0 120 20 0 0 720 130 0 0 0 5040 ]
StirlingCyc2,,BinTabl,[1 0 0 0 1 2 0 2 4 6 0 6 15 27 42 0 24 68 132 216 320 0 120 370 765 ]
StirlingCyc2,,InvBinTabl,[1 0 0 0 1 -2 0 2 -4 6 0 6 -9 9 -6 0 24 -28 12 24 -80 0 120 -110 ]
StirlingCyc2,,DiffxTabl,[1 0 0 0 2 0 0 4 0 0 0 12 9 0 0 0 48 60 0 0 0 0 240 390 60 0 0 0 0 ]
StirlingCyc2,A000166,RowSum,[1 0 1 2 9 44 265 1854 14833 133496 1334961 14684570 176214841 ]
StirlingCyc2,A216778,EvenSum,[1 0 0 0 3 20 130 924 7413 66744 667476 7342280 88107415 1145396460 ]
StirlingCyc2,A216779,OddSum,[0 0 1 2 6 24 135 930 7420 66752 667485 7342290 88107426 1145396472 ]
StirlingCyc2,A022958,AltSum,[1 0 -1 -2 -3 -4 -5 -6 -7 -8 -9 -10 -11 -12 -13 -14 -15 -16 -17 -18 ]
StirlingCyc2,,AntiDiagSum,[1 0 0 1 2 6 27 140 850 5979 47838 429484 4278713 46859940 ]
StirlingCyc2,,AccSum,[1 0 2 6 33 200 1430 11634 106281 1076816 11982834 145281070 ]
StirlingCyc2,,AccRevSum,[1 0 2 4 21 108 690 5052 42049 391640 4036698 45618340 560889989 ]
StirlingCyc2,,RowLcm,[1 1 1 2 6 120 1560 55440 2484720 530490240 1472289436800 ]
StirlingCyc2,A175782,RowGcd,[1 1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ]
StirlingCyc2,,RowMax,[1 0 1 2 6 24 130 924 7308 64224 623376 6636960 76998240 967524480 ]
StirlingCyc2,,ColMiddle,[1 0 1 2 3 20 15 210 105 2520 945 34650 10395 540540 135135 9459450 ]
StirlingCyc2,A001147,ColECentral,[1 1 3 15 105 945 10395 135135 2027025 34459425 ]
StirlingCyc2,A000906,ColOCentral,[0 2 20 210 2520 34650 540540 9459450 183783600 3928374450 ]
StirlingCyc2,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingCyc2,A000007,ColRight,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingCyc2,,BinConv,[1 0 2 6 42 320 2970 31794 385574 5212752 77619060 1260722100 ]
StirlingCyc2,,InvBinConv,[1 0 -2 6 -6 -80 930 -7014 38374 -46416 -2993220 65145300 ]
StirlingCyc2,A162973,TransNat0,[0 0 1 2 12 64 425 3198 27216 258144 2701737 30933770 384675148 ]
StirlingCyc2,,TransNat1,[1 0 2 4 21 108 690 5052 42049 391640 4036698 45618340 560889989 ]
StirlingCyc2,,TransSqrs,[0 0 1 2 18 104 775 6306 57372 575424 6318549 75437570 973440094 ]
StirlingCyc2,A003982,DiagRow1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingCyc2,A109135,DiagRow2,[0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingCyc2,A007253,DiagRow3,[0 6 20 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingCyc2,A000142,DiagCol1,[0 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
StirlingCyc2,A000276,DiagCol2,[0 0 3 20 130 924 7308 64224 623376 6636960 76998240 967524480 ]
StirlingCyc2,A000483,DiagCol3,[0 0 0 15 210 2380 26432 303660 3678840 47324376 647536032 ]
StirlingCyc2,,PolyTabl,[1 0 1 0 0 1 0 1 0 1 0 2 2 0 1 0 9 4 3 0 1 0 44 24 6 4 0 1 0 265 ]
StirlingCyc2,A000004,PolyRow1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingCyc2,A001477,PolyRow2,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
StirlingCyc2,A005843,PolyRow3,[0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 ]
StirlingCyc2,A087981,PolyCol2,[1 0 2 4 24 128 880 6816 60032 589312 6384384 75630080 972387328 ]
StirlingCyc2,A137775,PolyCol3,[1 0 3 6 45 252 1935 16146 153657 1616760 18699579 235498590 ]
StirlingCyc2,A295182,PolyDiag,[1 0 2 6 72 620 8640 122346 2156672 41367672 905126400 21646532270 ]
StirlingCyc2,A053871,PosHalf,[1 0 2 8 60 544 6040 79008 1190672 20314880 387099936 8148296320 ]
StirlingCyc2,A055142,NegHalf,[1 0 -2 8 -36 224 -1880 19872 -251888 3712256 -62286624 1171487360 ]
