Triangle,Anum,Trait,Sequence
StirlingCycB,A028338,Tabl,[1 1 1 3 4 1 15 23 9 1 105 176 86 16 1 945 1689 950 230 25 1 10395 ]
StirlingCycB,A039758,RevTabl,[1 1 1 1 4 3 1 9 23 15 1 16 86 176 105 1 25 230 950 1689 945 1 36 ]
StirlingCycB,A039755,InvTabl,[1 -1 1 1 -4 1 -1 13 -9 1 1 -40 58 -16 1 -1 121 -330 170 -25 1 1 ]
StirlingCycB,,InvRevTabl,[]
StirlingCycB,A039756,RevInvTabl,[1 1 -1 1 -4 1 1 -9 13 -1 1 -16 58 -40 1 1 -25 170 -330 121 -1 1 ]
StirlingCycB,,AccTabl,[1 1 2 3 7 8 15 38 47 48 105 281 367 383 384 945 2634 3584 3814 ]
StirlingCycB,,RevAccTabl,[1 2 1 8 7 3 48 47 38 15 384 383 367 281 105 3840 3839 3814 3584 ]
StirlingCycB,,AccRevTabl,[1 1 2 1 5 8 1 10 33 48 1 17 103 279 384 1 26 256 1206 2895 3840 1 ]
StirlingCycB,,AntiDiagTabl,[1 1 3 1 15 4 105 23 1 945 176 9 10395 1689 86 1 135135 19524 950 ]
StirlingCycB,,DiffxTabl,[1 1 2 3 8 3 15 46 27 4 105 352 258 64 5 945 3378 2850 920 125 6 ]
StirlingCycB,,BinTabl,[1 1 2 3 7 12 15 38 70 112 105 281 543 907 1390 945 2634 5273 9092 ]
StirlingCycB,,InvBinTabl,[1 1 0 3 1 -4 15 8 -22 28 105 71 -161 181 -146 945 744 -1483 1502 ]
StirlingCycB,A000165,RowSum,[1 2 8 48 384 3840 46080 645120 10321920 185794560 3715891200 ]
StirlingCycB,A002866,EvenSum,[1 1 4 24 192 1920 23040 322560 5160960 92897280 1857945600 ]
StirlingCycB,A002866,OddSum,[0 1 4 24 192 1920 23040 322560 5160960 92897280 1857945600 ]
StirlingCycB,A000007,AltSum,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingCycB,,AntiDiagSum,[1 1 4 19 129 1130 12171 155625 2303602 38738501 729408237 ]
StirlingCycB,,AccSum,[1 3 18 148 1520 18656 266112 4324608 78870528 1595142144 ]
StirlingCycB,,AccRevSum,[1 3 14 92 784 8224 102528 1481472 24348672 448598016 9157754880 ]
StirlingCycB,,RowLcm,[1 1 12 1035 794640 2324992950 4810656157072920 ]
StirlingCycB,A000012,RowGcd,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
StirlingCycB,A004041,RowMax,[1 1 4 23 176 1689 19524 264207 4098240 71697105 1396704420 ]
StirlingCycB,,ColMiddle,[1 1 4 23 86 950 3480 57379 208054 4574934 16486680 453714470 ]
StirlingCycB,A293318,ColECentral,[1 4 86 3480 208054 16486680 1628301884 192666441968 26569595376038 ]
StirlingCycB,,ColOCentral,[1 23 950 57379 4574934 453714470 53845005500 7442156684963 ]
StirlingCycB,A001147,ColLeft,[1 1 3 15 105 945 10395 135135 2027025 34459425 654729075 ]
StirlingCycB,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
StirlingCycB,,BinConv,[1 2 12 112 1390 21316 387016 8089152 190810614 5004826108 ]
StirlingCycB,,InvBinConv,[1 0 -4 28 -146 176 13096 -332856 6220278 -100254944 1315515816 ]
StirlingCycB,,TransSqrs,[0 1 8 68 680 7984 108416 1676800 29146624 563014656 11971694592 ]
StirlingCycB,A203159,TransNat0,[0 1 6 44 400 4384 56448 836352 14026752 262803456 5441863680 ]
StirlingCycB,,TransNat1,[1 3 14 92 784 8224 102528 1481472 24348672 448598016 9157754880 ]
StirlingCycB,A000290,DiagRow1,[1 4 9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 361 ]
StirlingCycB,A024196,DiagRow2,[3 23 86 230 505 973 1708 2796 4335 6435 9218 12818 17381 23065 ]
StirlingCycB,A024197,DiagRow3,[15 176 950 3480 10045 24640 53676 106800 197835 345840 576290 ]
StirlingCycB,A004041,DiagCol1,[1 4 23 176 1689 19524 264207 4098240 71697105 1396704420 ]
StirlingCycB,A028339,DiagCol2,[1 9 86 950 12139 177331 2924172 53809164 1094071221 24372200061 ]
StirlingCycB,A028340,DiagCol3,[1 16 230 3480 57379 1038016 20570444 444647600 10431670821 ]
StirlingCycB,,PolyTabl,[1 1 1 3 2 1 15 8 3 1 105 48 15 4 1 945 384 105 24 5 1 10395 3840 ]
StirlingCycB,A000027,PolyRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
StirlingCycB,A005563,PolyRow2,[3 8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 ]
StirlingCycB,,PolyRow3,[15 48 105 192 315 480 693 960 1287 1680 2145 2688 3315 4032 4845 ]
StirlingCycB,A001147,PolyCol2,[1 3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575 ]
StirlingCycB,A002866,PolyCol3,[1 4 24 192 1920 23040 322560 5160960 92897280 1857945600 ]
StirlingCycB,,PolyDiag,[1 2 15 192 3465 80640 2297295 77414400 3011753745 132843110400 ]
StirlingCycB,A008545,PosHalf,[1 3 21 231 3465 65835 1514205 40883535 1267389585 44358635475 ]
StirlingCycB,A007696,NegHalf,[1 -1 5 -45 585 -9945 208845 -5221125 151412625 -4996616625 ]
