Triangle,Anum,Trait,Sequence
StirlingSet,A048993,Tabl,[1 0 1 0 1 1 0 1 3 1 0 1 7 6 1 0 1 15 25 10 1 0 1 31 90 65 15 1 0 1 ]
StirlingSet,A106800,RevTabl,[1 1 0 1 1 0 1 3 1 0 1 6 7 1 0 1 10 25 15 1 0 1 15 65 90 31 1 0 1 ]
StirlingSet,A048994,InvTabl,[1 0 1 0 -1 1 0 2 -3 1 0 -6 11 -6 1 0 24 -50 35 -10 1 0 -120 274 ]
StirlingSet,,InvRevTabl,[]
StirlingSet,A054654,RevInvTabl,[1 1 0 1 -1 0 1 -3 2 0 1 -6 11 -6 0 1 -10 35 -50 24 0 1 -15 85 -225 ]
StirlingSet,A359107,AccTabl,[1 0 1 0 1 2 0 1 4 5 0 1 8 14 15 0 1 16 41 51 52 0 1 32 122 187 202 ]
StirlingSet,,RevAccTabl,[1 1 0 2 1 0 5 4 1 0 15 14 8 1 0 52 51 41 16 1 0 203 202 187 122 32 ]
StirlingSet,,AccRevTabl,[1 1 1 1 2 2 1 4 5 5 1 7 14 15 15 1 11 36 51 52 52 1 16 81 171 202 ]
StirlingSet,A136011,AntiDiagTabl,[1 0 0 1 0 1 0 1 1 0 1 3 0 1 7 1 0 1 15 6 0 1 31 25 1 0 1 63 90 10 ]
StirlingSet,A069138,DiffxTabl,[1 0 2 0 2 3 0 2 9 4 0 2 21 24 5 0 2 45 100 50 6 0 2 93 360 325 90 ]
StirlingSet,,BinTabl,[1 0 1 0 1 3 0 1 5 13 0 1 9 30 71 0 1 17 73 204 456 0 1 33 186 615 ]
StirlingSet,,InvBinTabl,[1 0 1 0 1 -1 0 1 1 -5 0 1 5 -12 15 0 1 13 -17 -4 56 0 1 29 0 -113 ]
StirlingSet,A000110,RowSum,[1 1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
StirlingSet,A024430,EvenSum,[1 0 1 3 8 25 97 434 2095 10707 58194 338195 2097933 13796952 ]
StirlingSet,A024429,OddSum,[0 1 1 2 7 27 106 443 2045 10440 57781 340375 2115664 13847485 ]
StirlingSet,A000587,AltSum,[1 -1 0 1 1 -2 -9 -9 50 267 413 -2180 -17731 -50533 110176 1966797 ]
StirlingSet,A171367,AntiDiagSum,[1 0 1 1 2 4 9 22 58 164 495 1587 5379 19195 71872 281571 1151338 ]
StirlingSet,A359109,AccSum,[1 1 3 10 38 161 747 3753 20253 116642 713130 4607813 31345921 ]
StirlingSet,A000110,AccRevSum,[1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
StirlingSet,A063040,RowLcm,[1 1 1 3 42 150 36270 270900 9440379900 3332912051700 ]
StirlingSet,A090585,RowGcd,[1 1 1 3 1 5 1 7 1 1 1 11 1 13 1 1 1 17 1 19 ]
StirlingSet,A002870,RowMax,[1 1 1 3 7 25 90 350 1701 7770 42525 246730 1379400 9321312 ]
StirlingSet,A343279,ColMiddle,[1 0 1 1 7 15 90 301 1701 7770 42525 246730 1323652 9321312 ]
StirlingSet,A007820,ColECentral,[1 1 7 90 1701 42525 1323652 49329280 2141764053 106175395755 ]
StirlingSet,A247238,ColOCentral,[0 1 15 301 7770 246730 9321312 408741333 20415995028 1144614626805 ]
StirlingSet,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingSet,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
StirlingSet,A122455,BinConv,[1 1 3 13 71 456 3337 27203 243203 2357356 24554426 272908736 ]
StirlingSet,A343841,InvBinConv,[1 1 -1 -5 15 56 -455 -237 16947 -64220 -529494 6833608 -8606015 ]
StirlingSet,A033452,TransSqrs,[0 1 5 22 99 471 2386 12867 73681 446620 2856457 19217243 135610448 ]
StirlingSet,A005493,TransNat0,[0 1 3 10 37 151 674 3263 17007 94828 562595 3535027 23430840 ]
StirlingSet,A000110,TransNat1,[1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
StirlingSet,A000217,DiagRow1,[0 1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 ]
