Triangle,Anum,Trait,Sequence
StirlingSet2,A358623,Tabl,[1 0 0 0 1 0 0 1 0 0 0 1 3 0 0 0 1 10 0 0 0 0 1 25 15 0 0 0 0 1 56 ]
StirlingSet2,,RevTabl,[1 0 0 0 1 0 0 0 1 0 0 0 3 1 0 0 0 0 10 1 0 0 0 0 15 25 1 0 0 0 0 0 ]
StirlingSet2,,InvTabl,[]
StirlingSet2,,InvRevTabl,[]
StirlingSet2,,RevInvTabl,[]
StirlingSet2,,AccTabl,[1 0 0 0 1 1 0 1 1 1 0 1 4 4 4 0 1 11 11 11 11 0 1 26 41 41 41 41 0 ]
StirlingSet2,,RevAccTabl,[1 0 0 1 1 0 1 1 1 0 4 4 4 1 0 11 11 11 11 1 0 41 41 41 41 26 1 0 ]
StirlingSet2,,AccRevTabl,[1 0 0 0 1 1 0 0 1 1 0 0 3 4 4 0 0 0 10 11 11 0 0 0 15 40 41 41 0 0 ]
StirlingSet2,,AntiDiagTabl,[1 0 0 0 0 1 0 1 0 0 1 0 0 1 3 0 0 1 10 0 0 1 25 0 0 0 1 56 15 0 0 ]
StirlingSet2,,DiffxTabl,[1 0 0 0 2 0 0 2 0 0 0 2 9 0 0 0 2 30 0 0 0 0 2 75 60 0 0 0 0 2 168 ]
StirlingSet2,,BinTabl,[1 0 0 0 1 2 0 1 2 3 0 1 5 12 22 0 1 12 33 64 105 0 1 27 93 214 405 ]
StirlingSet2,,InvBinTabl,[1 0 0 0 1 -2 0 1 -2 3 0 1 1 -6 14 0 1 8 -27 56 -95 0 1 23 -57 86 ]
StirlingSet2,A000296,RowSum,[1 0 1 1 4 11 41 162 715 3425 17722 98253 580317 3633280 24011157 ]
StirlingSet2,A097763,EvenSum,[1 0 0 0 3 10 25 56 224 1506 9951 57992 315425 1761552 11022180 ]
StirlingSet2,A097762,OddSum,[0 0 1 1 1 1 16 106 491 1919 7771 40261 264892 1871728 12988977 ]
StirlingSet2,A000587,AltSum,[1 0 -1 -1 2 9 9 -50 -267 -413 2180 17731 50533 -110176 -1966797 ]
StirlingSet2,,AntiDiagSum,[1 0 0 1 1 1 4 11 26 72 225 737 2525 9098 34421 136324 563590 ]
StirlingSet2,,AccSum,[1 0 2 3 13 45 191 868 4306 22963 130939 793661 5089877 34398884 ]
StirlingSet2,,AccRevSum,[1 0 2 2 11 32 137 590 2844 14712 81725 483628 3034561 20100316 ]
StirlingSet2,,RowLcm,[1 1 1 1 3 10 75 840 24990 7077420 20515950 8197427700 ]
StirlingSet2,,RowGcd,[1 1 1 1 3 10 5 7 7 2 3 11 11 13 13 1 1 34 17 19 ]
StirlingSet2,,RowMax,[1 0 1 1 3 10 25 105 490 1918 9450 56980 302995 1636635 12122110 ]
StirlingSet2,A259877,ColMiddle,[1 0 1 1 3 10 15 105 105 1260 945 17325 10395 270270 135135 4729725 ]
StirlingSet2,A001147,ColECentral,[1 1 3 15 105 945 10395 135135 2027025 34459425 ]
StirlingSet2,A000457,ColOCentral,[0 1 10 105 1260 17325 270270 4729725 91891800 1964187225 ]
StirlingSet2,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingSet2,A000007,ColRight,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingSet2,,BinConv,[1 0 2 3 22 105 681 4858 38130 328737 3064195 30647496 327006747 ]
StirlingSet2,,InvBinConv,[1 0 -2 3 14 -95 69 2506 -16766 -6495 949895 -7070624 -7563117 ]
StirlingSet2,,TransSqrs,[0 0 1 1 13 41 236 1170 6567 38407 238255 1555269 10663500 76572952 ]
StirlingSet2,,TransNat0,[0 0 1 1 7 21 96 428 2129 11287 64003 385375 2454244 16467036 ]
