Triangle,Anum,Trait,Sequence
StirlingSetB,A154602,Tabl,[1 1 1 3 4 1 11 19 9 1 49 104 70 16 1 257 641 550 190 25 1 1539 ]
StirlingSetB,,RevTabl,[1 1 1 1 4 3 1 9 19 11 1 16 70 104 49 1 25 190 550 641 257 1 36 425 ]
StirlingSetB,,InvTabl,[1 -1 1 1 -4 1 -1 17 -9 1 1 -96 74 -16 1 -1 729 -690 210 -25 1 1 ]
StirlingSetB,,RevInvTabl,[1 1 -1 1 -4 1 1 -9 17 -1 1 -16 74 -96 1 1 -25 210 -690 729 -1 1 ]
StirlingSetB,,InvRevTabl,[]
StirlingSetB,,AccTabl,[1 1 2 3 7 8 11 30 39 40 49 153 223 239 240 257 898 1448 1638 1663 ]
StirlingSetB,,RevAccTabl,[1 2 1 8 7 3 40 39 30 11 240 239 223 153 49 1664 1663 1638 1448 898 ]
StirlingSetB,,AccRevTabl,[1 1 2 1 5 8 1 10 29 40 1 17 87 191 240 1 26 216 766 1407 1664 1 37 ]
StirlingSetB,,AntiDiagTabl,[1 1 3 1 11 4 49 19 1 257 104 9 1539 641 70 1 10299 4380 550 16 ]
StirlingSetB,,BinTabl,[1 1 2 3 7 12 11 30 58 96 49 153 327 587 950 257 898 2089 4020 6906 ]
StirlingSetB,,InvBinTabl,[1 1 0 3 1 -4 11 8 -18 20 49 55 -89 69 -10 257 384 -475 206 258 ]
StirlingSetB,,DiffxTabl,[1 1 2 3 8 3 11 38 27 4 49 208 210 64 5 257 1282 1650 760 125 6 ]
StirlingSetB,A055882,RowSum,[1 2 8 40 240 1664 12992 112256 1059840 10827264 118758400 ]
StirlingSetB,,EvenSum,[1 1 4 20 120 832 6496 56128 529920 5413632 59379200 694855680 ]
StirlingSetB,,OddSum,[0 1 4 20 120 832 6496 56128 529920 5413632 59379200 694855680 ]
StirlingSetB,A000007,AltSum,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
StirlingSetB,,AntiDiagSum,[1 1 4 15 69 370 2251 15245 113430 917829 8010197 74889352 ]
StirlingSetB,,AccSum,[1 3 18 120 904 7568 69376 689216 7361664 83996672 1018293760 ]
StirlingSetB,,AccRevSum,[1 3 14 80 536 4080 34560 321088 3236736 35103232 406807040 ]
StirlingSetB,,RowLcm,[1 1 12 1881 50960 1721501650 89999024637600 2559252346698100095 ]
StirlingSetB,A000012,RowGcd,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
StirlingSetB,,RowMax,[1 1 4 19 104 641 4531 39515 365324 3575820 36971461 402741581 ]
StirlingSetB,,ColMiddle,[1 1 4 19 70 550 2080 22491 87206 1192086 4719624 77684398 ]
StirlingSetB,,ColECentral,[1 4 70 2080 87206 4719624 312957436 24567605920 2228251766598 ]
StirlingSetB,,ColOCentral,[1 19 550 22491 1192086 77684398 6009565276 538271502483 ]
StirlingSetB,A004211,ColLeft,[1 1 3 11 49 257 1539 10299 75905 609441 5284451 49134923 487026929 ]
StirlingSetB,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
StirlingSetB,,BinConv,[1 2 12 96 950 10988 143976 2094032 33318534 573707692 10600961800 ]
StirlingSetB,,InvBinConv,[1 0 -4 20 -10 -776 7784 -25432 -416634 8540368 -72453016 ]
StirlingSetB,,TransNat0,[0 1 6 40 296 2416 21568 208832 2176896 24275968 288048640 ]
StirlingSetB,,TransNat1,[1 3 14 80 536 4080 34560 321088 3236736 35103232 406807040 ]
StirlingSetB,,TransSqrs,[0 1 8 64 544 4976 48960 516160 5804032 69305344 875277312 ]
StirlingSetB,A000290,DiagRow1,[1 4 9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 361 ]
StirlingSetB,,DiagRow2,[3 19 70 190 425 833 1484 2460 3855 5775 8338 11674 15925 21245 ]
StirlingSetB,,DiagRow3,[11 104 550 2080 6265 16016 36204 74400 141735 253880 432146 704704 ]
StirlingSetB,,DiagCol1,[1 4 19 104 641 4380 32803 266768 2337505 21925236 218946003 ]
StirlingSetB,,DiagCol2,[1 9 70 550 4531 39515 365324 3575820 36971461 402741581 4610187154 ]
StirlingSetB,,DiagCol3,[1 16 190 2080 22491 247072 2792476 32659840 396255541 4991365808 ]
StirlingSetB,,PolyTabl,[1 1 1 3 2 1 11 8 3 1 49 40 15 4 1 257 240 93 24 5 1 1539 1664 681 ]
StirlingSetB,A000027,PolyRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
StirlingSetB,A005563,PolyRow2,[3 8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 ]
StirlingSetB,,PolyRow3,[11 40 93 176 295 456 665 928 1251 1640 2101 2640 3263 3976 4785 ]
StirlingSetB,,PolyCol2,[1 3 15 93 681 5691 53079 544053 6058545 72652179 931542207 ]
StirlingSetB,A308543,PolyCol3,[1 4 24 176 1504 14528 155520 1819392 23019008 312413184 4518705152 ]
StirlingSetB,,PolyDiag,[1 2 15 176 2865 59712 1517607 45521408 1574116353 61652866560 ]
StirlingSetB,,PosHalf,[1 3 21 183 1929 23691 329565 5095551 86394513 1589803923 ]
StirlingSetB,A004213,NegHalf,[1 -1 5 -29 201 -1657 15821 -170389 2032785 -26546673 376085653 ]
