Triangle,Anum,Trait,Sequence
Sylvester,A341101,Tabl,[1 0 2 0 1 4 0 2 6 8 0 6 19 24 16 0 24 80 110 80 32 0 120 418 615 ]
Sylvester,,RevTabl,[1 2 0 4 1 0 8 6 2 0 16 24 19 6 0 32 80 110 80 24 0 64 240 500 615 ]
Sylvester,,InvTabl,[]
Sylvester,,RevInvTabl,[]
Sylvester,,InvRevTabl,[]
Sylvester,,AccTabl,[1 0 2 0 1 5 0 2 8 16 0 6 25 49 65 0 24 104 214 294 326 0 120 538 ]
Sylvester,,RevAccTabl,[1 2 0 5 1 0 16 8 2 0 65 49 25 6 0 326 294 214 104 24 0 1957 1893 ]
Sylvester,,AccRevTabl,[1 2 2 4 5 5 8 14 16 16 16 40 59 65 65 32 112 222 302 326 326 64 ]
Sylvester,,AntiDiagTabl,[1 0 0 2 0 1 0 2 4 0 6 6 0 24 19 8 0 120 80 24 0 720 418 110 16 0 ]
Sylvester,,BinTabl,[1 0 2 0 1 6 0 2 10 32 0 6 31 99 250 0 24 128 422 1096 2452 0 120 ]
Sylvester,,InvBinTabl,[1 0 2 0 1 2 0 2 2 -4 0 6 7 -15 10 0 24 32 -58 24 52 0 120 178 -279 ]
Sylvester,,DiffxTabl,[1 0 4 0 2 12 0 4 18 32 0 12 57 96 80 0 48 240 440 400 192 0 240 ]
Sylvester,A000522,RowSum,[1 2 5 16 65 326 1957 13700 109601 986410 9864101 108505112 ]
Sylvester,,EvenSum,[1 0 4 6 35 160 982 6846 54805 493200 4932056 54252550 651030679 ]
Sylvester,,OddSum,[0 2 1 10 30 166 975 6854 54796 493210 4932045 54252562 651030666 ]
Sylvester,A000027,AltSum,[1 -2 3 -4 5 -6 7 -8 9 -10 11 -12 13 -14 15 -16 17 -18 19 -20 ]
Sylvester,,AntiDiagSum,[1 0 2 1 6 12 51 224 1264 8339 63726 552238 5351033 57309548 ]
Sylvester,,AccSum,[1 2 6 26 145 962 7314 62526 593737 6204370 70795718 876281826 ]
Sylvester,,AccRevSum,[1 4 14 54 245 1320 8342 60774 502273 4646140 47573494 534284630 ]
Sylvester,,RowLcm,[1 2 4 24 912 5280 205656000 2528588160 5874643821231360 ]
Sylvester,,RowGcd,[1 2 4 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 ]
Sylvester,,RowMax,[1 2 4 8 24 110 615 4046 30604 261656 2579380 28167920 334925404 ]
Sylvester,,ColMiddle,[1 0 1 2 19 80 615 4046 28777 259056 1769985 20268050 135131755 ]
Sylvester,,ColECentral,[1 1 19 615 28777 1769985 135131755 12330989671 1309509778577 ]
Sylvester,,ColOCentral,[0 2 80 4046 259056 20268050 1880186880 202043487646 24699845506336 ]
Sylvester,A000007,ColLeft,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
Sylvester,A000079,ColRight,[1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 ]
Sylvester,,BinConv,[1 2 6 32 250 2452 28294 372276 5476902 88843388 1572182524 ]
Sylvester,,InvBinConv,[1 2 2 -4 10 52 -626 3600 -4378 -209092 3583684 -37666352 228658456 ]
Sylvester,,TransNat0,[0 2 9 38 180 994 6385 47074 392672 3659730 37709393 425779518 ]
Sylvester,,TransNat1,[1 4 14 54 245 1320 8342 60774 502273 4646140 47573494 534284630 ]
Sylvester,,TransSqrs,[0 2 17 98 554 3414 23631 184134 1604396 15497994 164595605 ]
Sylvester,A001788,DiagRow1,[0 1 6 24 80 240 672 1792 4608 11520 28160 67584 159744 372736 ]
Sylvester,,DiagRow2,[0 2 19 110 500 1960 6944 22848 71040 211200 605440 1683968 4566016 ]
Sylvester,,DiagRow3,[0 6 80 615 3570 17360 74592 292320 1066560 3674880 12080640 ]
Sylvester,A302190,DiagCol1,[2 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
Sylvester,,DiagCol2,[4 6 19 80 418 2604 18828 154944 1429776 14620320 164089440 ]
Sylvester,,DiagCol3,[8 24 110 615 4046 30604 261656 2495340 26263512 302411736 ]
Sylvester,,PolyTabl,[1 0 1 0 2 1 0 5 4 1 0 16 18 6 1 0 65 92 39 8 1 0 326 536 276 68 10 ]
Sylvester,A005843,PolyRow1,[0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 ]
Sylvester,A007742,PolyRow2,[0 5 18 39 68 105 150 203 264 333 410 495 588 689 798 915 1040 1173 ]
Sylvester,,PolyRow3,[0 16 92 276 616 1160 1956 3052 4496 6336 8620 11396 14712 18616 ]
Sylvester,A081923,PolyCol2,[1 4 18 92 536 3552 26608 223456 2085504 21450752 241320704 ]
Sylvester,,PolyCol3,[1 6 39 276 2133 18018 166203 1670112 18221193 215014014 2733237999 ]
Sylvester,A295183,PolyDiag,[1 2 18 276 5960 165870 5648832 227507336 10577029248 557457222330 ]
Sylvester,A084262,PosHalf,[1 2 6 28 188 1656 17992 232016 3460368 58574368 1109200736 ]
Sylvester,,NegHalf,[1 2 2 4 -4 56 -488 5552 -73456 1117216 -19197664 367902272 ]
