Triangle,Anum,Trait,Sequence
Sympoly,A165675,Tabl,[1 1 1 2 3 1 6 11 5 1 24 50 26 7 1 120 274 154 47 9 1 720 1764 1044 ]
Sympoly,A105954,RevTabl,[1 1 1 1 3 2 1 5 11 6 1 7 26 50 24 1 9 47 154 274 120 1 11 74 342 ]
Sympoly,,InvTabl,[1 -1 1 1 -3 1 0 4 -5 1 0 0 9 -7 1 0 0 0 16 -9 1 0 0 0 0 25 -11 1 0 ]
Sympoly,,InvRevTabl,[]
Sympoly,,RevInvTabl,[1 1 -1 1 -3 1 1 -5 4 0 1 -7 9 0 0 1 -9 16 0 0 0 1 -11 25 0 0 0 0 1 ]
Sympoly,,AccTabl,[1 1 2 2 5 6 6 17 22 23 24 74 100 107 108 120 394 548 595 604 605 ]
Sympoly,,RevAccTabl,[1 2 1 6 5 2 23 22 17 6 108 107 100 74 24 605 604 595 548 394 120 ]
Sympoly,,AccRevTabl,[1 1 2 1 4 6 1 6 17 23 1 8 34 84 108 1 10 57 211 485 605 1 12 86 ]
Sympoly,,AntiDiagTabl,[1 1 2 1 6 3 24 11 1 120 50 5 720 274 26 1 5040 1764 154 7 40320 ]
Sympoly,,DiffxTabl,[1 1 2 2 6 3 6 22 15 4 24 100 78 28 5 120 548 462 188 45 6 720 3528 ]
Sympoly,,BinTabl,[1 1 2 2 5 9 6 17 33 55 24 74 150 259 409 120 394 822 1451 2337 ]
Sympoly,,InvBinTabl,[1 1 0 2 1 -3 6 5 -11 13 24 26 -50 55 -47 120 154 -274 287 -231 136 ]
Sympoly,A093345,RowSum,[1 2 6 23 108 605 3956 29649 250892 2367629 24662700 281153801 ]
Sympoly,,EvenSum,[1 1 3 11 51 283 1839 13719 115675 1088459 11311047 128686087 ]
Sympoly,,OddSum,[0 1 3 12 57 322 2117 15930 135217 1279170 13351653 152467714 ]
Sympoly,,AltSum,[1 0 0 -1 -6 -39 -278 -2211 -19542 -190711 -2040606 -23781627 ]
Sympoly,,AntiDiagSum,[1 1 3 9 36 175 1021 6965 54480 480843 4727469 51234337 606792460 ]
Sympoly,,AccSum,[1 3 13 68 413 2866 22457 196634 1906165 20290322 235457201 ]
Sympoly,,AccRevSum,[1 3 11 47 235 1369 9191 70207 602755 5753597 60495199 695039491 ]
Sympoly,,RowLcm,[1 1 6 330 54600 178489080 7911786960 839338855795440 ]
Sympoly,A000012,RowGcd,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Sympoly,A000254,RowMax,[1 1 3 11 50 274 1764 13068 109584 1026576 10628640 120543840 ]
Sympoly,,ColMiddle,[1 1 3 11 26 154 342 2754 5944 60216 127860 1557660 3272688 ]
Sympoly,,ColECentral,[1 3 26 342 5944 127860 3272688 97053936 3270729600 123418922400 ]
Sympoly,,ColOCentral,[1 11 154 2754 60216 1557660 46536624 1576890000 59753750400 ]
Sympoly,A000142,ColLeft,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
Sympoly,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Sympoly,,BinConv,[1 2 9 55 409 3546 34981 386163 4711281 62903242 911810321 ]
Sympoly,,InvBinConv,[1 0 -3 13 -47 136 1 -5935 88481 -1060568 11963541 -131894883 ]
Sympoly,,TransSqrs,[0 1 7 40 233 1482 10513 83366 735417 7166746 76599497 891914958 ]
Sympoly,,TransNat0,[0 1 5 24 127 764 5235 40558 351863 3385968 35832499 413885690 ]
Sympoly,,TransNat1,[1 3 11 47 235 1369 9191 70207 602755 5753597 60495199 695039491 ]
Sympoly,A004273,DiagRow1,[1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 ]
Sympoly,A080663,DiagRow2,[2 11 26 47 74 107 146 191 242 299 362 431 506 587 674 767 866 971 ]
Sympoly,A165676,DiagRow3,[6 50 154 342 638 1066 1650 2414 3382 4578 6026 7750 9774 12122 ]
Sympoly,A000254,DiagCol1,[1 3 11 50 274 1764 13068 109584 1026576 10628640 120543840 ]
Sympoly,A001705,DiagCol2,[1 5 26 154 1044 8028 69264 663696 6999840 80627040 1007441280 ]
Sympoly,A001711,DiagCol3,[1 7 47 342 2754 24552 241128 2592720 30334320 383970240 5231113920 ]
Sympoly,,PolyTabl,[1 1 1 2 2 1 6 6 3 1 24 23 12 4 1 120 108 56 20 5 1 720 605 300 111 ]
Sympoly,A000027,PolyRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
Sympoly,A002378,PolyRow2,[2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
Sympoly,,PolyRow3,[6 23 56 111 194 311 468 671 926 1239 1616 2063 2586 3191 3884 4671 ]
Sympoly,,PolyCol2,[1 3 12 56 300 1836 12760 99912 873696 8458976 89952192 1043100480 ]
Sympoly,,PolyCol3,[1 4 20 111 678 4569 34038 280197 2541654 25295193 274793742 ]
Sympoly,,PolyDiag,[1 2 12 111 1344 19965 350856 7117677 163705344 4209578829 ]
Sympoly,,PosHalf,[1 3 15 103 903 9663 122287 1787991 29671479 551104591 11328415263 ]
Sympoly,,NegHalf,[1 -1 3 -13 75 -517 3875 -26301 29531 5729003 -227270157 7253745395 ]
